"rownum","Id","[i32]","[i32]","VolumePercentage","i32","i32","i32","i32","[rid]","[i32]","[i32]"
0,"Tarkleigh1","[32,0,120,0,208,0,296,0,384,0,472]",[],100,0,0,1088,0,[],[],[]
1,"Tarkleigh2","[1112,0,1196,0,1280,0]",[],100,0,0,1664,0,[],[],[]
2,"Nessa1","[1680,0,1770,0,1860,0,1950,0,2040,0]",[],100,0,0,2660,0,[],[],[]
3,"Nessa2","[2676,0,2762,0,2848,0,2934,0,3020,0,3106,0,3192,0,3278]",[],100,0,0,4086,0,[],[],[]
4,"Bestel1","[4104,0,4176,0,4248,0,4320,0,4392,0,4464,0]",[],100,0,0,5064,0,[],[],[]
5,"Act1Fairgraves2","[5098,0,5210]",[],100,0,0,5458,0,[64],[],[]
6,"Eramir1","[5492,0,5586,0,5680,0,5774,0,5868,0,5962,0,6056,0,6150]",[],100,0,0,6910,0,[],[],[]
7,"Eramir2","[6928,0,7006,0,7084,0,7162,0]",[],100,0,0,7616,0,[],[],[]
8,"Yeena1","[7632,0,7714,0,7796,0,7878,0,7960,0,8042,0,8124,0,8206,0,8288,0,8370,0,8452,0]",[],100,0,0,9612,0,[],[],[]
9,"Yeena2","[9628,0,9706,0,9784,0,9862,0,9940,0,10018,0,10096,0,10174,0,10252,0,10330]",[],100,0,0,11262,0,[],[],[]
10,"Greust1","[11280,0,11374,0,11468,0,11562,0,11656,0,11750,0,11844,0,11938,0]",[],100,0,0,12912,0,[],[],[]
11,"Greust2","[12930,0,13028,0,13126,0,13224,0,13322,0,13420,0,13518]","[2,2,2,4,4,4,3,3,3,3,4,4,4]",100,0,0,14360,0,[],[],[]
12,"Silk1","[14374,0,14442,0,14510,0,14578,0,14646,0,14714,0,14782,0,14850,0,14918,0,14986,0,15054,0]",[],100,0,0,16046,0,[],[],[]
13,"Silk1b","[14578,0,14646,0,14714,0,14782,0,14850,0]",[],100,0,0,16142,0,[],[],[]
14,"Hargan1","[16160,0,16232,0,16304,0,16376,0,16448,0,16520,0]",[],100,0,0,17120,0,[],[],[]
15,"Hargan2","[17138,0,17208,0,17280,0,17364,0,17448,0,17532]",[],100,0,0,18124,0,[],[],[]
16,"Act3Dialla1","[18150,0,18222,0,18296,0]",[],100,0,0,18632,0,[],[],[]
17,"Act3Dialla2","[18658,0,18730,0,18802,0,18874,0,18946,0,19030]",[],100,0,0,19622,0,[],[],[]
18,"Maramoa1","[19642,0,19732,0,19822,0,19912,0,20002,0,20092,0,20182,0,20272,0,20362,0,20452,0,20542,0]",[],100,0,0,21798,0,[],[],[]
19,"Maramoa2","[21818,0,21912,0,22006,0,22100,0,22194,0,22288,0,22382,0,22476,0,22570,0,22664,0,22758]",[],100,0,0,23960,0,[],[],[]
20,"Grigor1","[23978,0,24050,0,24122,0,24194]",[],100,0,0,24538,0,[],[],[]
21,"Grigor2","[24556,0,24630,0,24704,0,24778,0]",[],100,0,0,25206,0,[],[],[]
22,"Clarissa1","[25228,0,25318,0,25408,0,25498,0,25588]",[],100,0,0,26110,0,[],[],[]
23,"Clarissa2","[26132,0,26206,0,26282,0,26358]",[],100,0,0,26718,0,[],[],[]
