"rownum","HeistContractsKey","HeistObjectivesKey","HeistNPCsKey","HeistJobsKey","i32","i32","i32","bool","HeistRoomsKey1","WorldAreasKey","bool","bool","i32","i32","bool","bool","HaveObjective","bool","QuestActive","HaveQuest","HaveObjective2","bool","bool","Objective (English)","Objective (French)","Objective (German)","Objective (Japanese)","Objective (Korean)","Objective (Portuguese)","Objective (Russian)","Objective (Spanish)","Objective (Thai)","Objective (Traditional Chinese)","bool","BaseItemTypesKey","bool","HeistIntroAreasKey","i32","HeistRoomsKey2","string"
0,4,0,[0],0,738,1,1,"","","","","",737,0,"","","","",2189,2186,"","","","","","","","","","","","","","","","","",0,"",""
1,10,47,[0],0,800,738,1,"",142,"","","",833,0,"","",2256,"",2190,2223,"",1,"","","","","","","","","","","","","","","",0,"",""
2,11,48,[0],0,801,800,1,"",410,"","","",834,0,"","","","",2191,2224,2257,1,"","","","","","","","","","","","",9690,"","",0,"",""
3,12,49,[0],0,802,801,2,"",148,"","","",835,0,"","","","",2192,2225,2258,1,"","","","","","","","","","","","",9691,"","",0,"",""
4,13,50,[3],1,803,738,1,"",375,"","","",836,0,"","",2259,"",2193,2226,"",1,"","","","","","","","","","","","","","","",0,"",""
5,14,51,[3],1,804,803,2,"",195,"","","",837,0,"","","","",2194,2227,2260,1,"","Set Opal Up for Life","Assurer l'avenir d'Opale","Helft Opal zurück ins Leben","オパールの身を立てろ","오팔이 평생 편히 살게 해 주기","Prepare Opalas para a Vida Toda","Обеспечьте Опал безбедную жизнь","Resuélvele la vida a Opal","หาทรัพย์ให้โอปอลมีกินไปตลอดชีวิต","歐帕蘿的一生","",9693,"","",0,"",""
6,15,52,[2],0,805,739,1,"",54,"","","",838,0,"","",2261,"",2195,2228,"",1,"","","","","","","","","","","","","","","",0,"",""
7,16,53,[2],1,806,805,1,"",287,"","","",839,0,"","",2262,"",2196,2229,"",1,"","Find Enoch's Remains","Trouver la dépouille d'Énoch","Findet Enochs Überreste","イーノックの遺体を見つけろ","에녹의 유해 찾기","Encontre os Restos de Enoch","Найдите останки Инока","Encuentra los Restos de Enoch","ตามหาซากศพของอีน๊อก","找尋以諾的遺物","","","","",0,"",""
8,17,54,[5],3,807,743,2,"",93,"","","",840,0,"","",2263,"",2197,2230,"",1,"","","","","","","","","","","","","","","",0,"",""
9,18,55,[5],3,808,807,3,"",94,"","","",841,0,"","",2264,"",2198,2231,"",1,"","","","","","","","","","","","","","","",0,"",""
10,19,56,[7],7,809,744,2,"",371,"","","",842,0,"","",2265,"",2199,2232,"",1,"","","","","","","","","","","","","","","",0,"",""
11,20,57,[7],7,810,809,3,"",409,"","","",843,0,"","",2266,"",2200,2233,"",1,"","","","","","","","","","","","","","","",0,"",""
12,21,58,[6],6,811,740,1,"",196,"","","",844,0,"","",2267,"",2201,2234,"",1,"","","","","","","","","","","","","","","",0,"",""
13,22,59,[],2,812,811,2,"",56,"","","",845,0,"","","","",2202,2235,2268,"","","Return Tullina's Engagement Ring","Restituer la Bague de fiançailles de Tullina","Bringt Tullinas Verlobunsring zurück","トゥリナの婚約指輪を返せ","툴리나의 약혼반지 돌려놓기","Retorne o Anel de Noivado à Tullina","Верните обручальное кольцо Туллины","Devuelve el Anillo de compromiso de Tullina","คืนแหวนหมั้นของทูลีนา","歸還圖利納的訂婚戒指","",9701,"","",0,"",""
14,23,60,[1],4,813,742,1,"",55,"","","",846,0,"","",2269,"",2203,2236,"",1,"","","","","","","","","","","","","","","",0,"",""
15,24,61,[1],4,814,813,3,"",92,"","","",847,0,"","",2270,"",2204,2237,"",1,"","","","","","","","","","","","","","","",0,"",""
16,25,62,[4],4,815,741,1,"",374,"","","",848,0,"","",2271,"",2205,2238,"",1,"","","","","","","","","","","","","","","",0,"",""
17,26,63,[4],4,816,815,2,"",232,1731,"",1,849,0,"",1,"",1,2206,2239,"",1,"","Find Jamanra, Legendary Warrior","Trouver Jamanra, le Guerrier légendaire","Findet Jamanra, Legendärer Krieger","伝説の戦士ヤマンラーを見つけろ","전설적인 전사 자만라 찾기","Encontre Jamanra, Guerreiro Lendário","Найдите Яманру, легендарного воина","Encuentra a Jamanra, Guerrero legendario","ตามหายามันรา นักรบในตำนาน","尋找傳奇戰士賈嫚拉",1,"","","",1,"",""
18,27,64,[8],5,817,738,1,"",373,"","","",850,0,"","",2273,"",2207,2240,"",1,"","","","","","","","","","","","","","","",0,"",""
19,28,65,[8],5,818,817,1,"",372,"","","",851,0,"","",2274,"",2208,2241,"",1,"","","","","","","","","","","","","","","",0,"",""
20,29,65,[8],8,819,818,3,"",58,1734,"",1,852,0,"",1,"",1,2209,2242,"",1,"","Destroy \""The Unbreakable\""","Détruiser « l'Indestructible »","Zerstört \""Das Unzerstörbare\""","「破壊しえない機械」を破壊しろ","\""파괴 불가능한 존재\"" 파괴하기","Destrua \""O Inquebrável\""","Уничтожьте \""Нерушимого\""","Destruye \""El Irrompible\""","ทำลาย \""จักรกลคงกระพัน\""","摧毀不破者",1,"","","",1,"",""
21,30,67,[9],2,820,738,2,"",140,"","","",853,0,"","",2276,"",2210,2243,"",1,1,"","","","","","","","","","","","","","",0,"",""
22,31,68,[9],2,821,820,3,"",141,"","","",854,0,"","",2277,"",2211,2244,"",1,1,"","","","","","","","","","","","","","",0,"",""
23,32,69,[9],2,822,821,4,"",197,1732,"",1,855,0,"",1,"",1,2212,2245,"",1,1,"Confront Nashta","Affronter Nashta","Konfrontiert Nasha","ナシュタに立ち向かえ","나쉬타 대면하기","Confronte Nashta","Встретьте Нашту лицом к лицу","Confronta a Nashta","เผชิญหน้ากับแนชตา","面對納什塔",1,"","","",1,"",""
24,33,70,[],1,823,738,1,"",143,"","","",856,0,"","",2279,"",2213,2246,"","","","Rescue Hapihapi","Porter secours à Hapihapi","Rettet Hapihapi","ハピハピを救出しろ","하피하피 구출하기","Resgate Hapihapi","Спасите Хапихапи","Rescata a Hapihapi","ช่วยชีวิตฮาปีฮาปี","營救黑本哈皮","","","","",0,"",""
25,34,71,[],0,824,823,2,"",376,"","","",857,0,"","",2280,"",2214,2247,"","","","","","","","","","","","","","","","","",0,"",""
26,35,72,[],1,825,824,3,"",145,1730,"",1,858,0,"",1,"",1,2215,2248,"","","","Defeat Friedrich Tarollo","Éliminer Friedrich Tarollo","Vernichtet Friedrich Tarollo","フリードレック・タローロを倒せ","프레드릭 타롤로 처치하기","Derrote Friedrich Tarollo","Победите Фридриха Таролло","Derrota a Friedrich Tarollo","สยบฟรีดริช ทารอลโล","擊敗弗里德里克．塔羅洛",1,"","","",1,"",""
27,36,73,[],5,826,738,1,"",408,"","","",859,0,"","",2282,"",2216,2249,"","","","","","","","","","","","","","","","","",0,"",""
28,37,74,[],6,827,826,2,"",407,"","","",860,0,"","",2283,"",2217,2250,2289,"","","Plant Darnaw's Papers","Placer les papiers de Darnaw","Platziert Darnaws Papiere","ダルノーの書類を仕込め","다나우의 문서 심어 두기","Plante os Papéis de Darnaw","Подложите бумаги Дарнау","Coloca los Papeles de Darnaw","วางเอกสารของดานอร์","栽贓達爾奈的報告","",9716,"","",0,"",""
29,38,75,[],4,828,827,4,"",96,1729,"",1,861,0,"",1,"",1,2218,2251,"","","","Kill Admiral Darnaw","Tuer l'Amiral Darnaw","Tötet Admiral Darnaw","ダルノー提督を倒せ","다나우 제독 처치하기","Mate o Almirante Darnaw","Убейте адмирала Дарнау","Mata al Almirante Darnaw","สังหารพลเรือเอกดานอร์","擊殺達爾奈上將",1,"","","",1,"",""
30,39,76,[],0,829,738,2,"",412,"","","",862,0,"","",2285,"",2219,2252,"","","","","","","","","","","","","","","","","",0,"",""
31,40,77,[10],0,830,829,3,1,414,"",1,"",863,1,"","","",1,2220,2253,"",1,"","","","","","","","","","","","","",1,248,0,416,"MansionKurai"
32,41,78,[10],0,831,830,4,1,411,"","","",864,2304,"","","",1,2221,2254,"",1,"","Rescue Hana the Cat","Secourir Hana, la chatte","Rettet Hana die Katze","猫のハナを救出しろ","고양이 하나 구출하기","Resgate Hana, a Gata","Спасите кошку Хану","Rescata a Hana la gata","ช่วยชีวิตฮานะ เจ้าแมว","營救哈娜","","","","",6,"",""
33,42,79,[10],0,832,831,5,"",415,1733,"",1,865,0,"",1,"",1,2221,2255,"",1,"","Defeat the Vox Twins","Éliminer les jumeaux Vox","Vernichtet die Vox-Zwillinge","双子のヴォックス兄弟を倒せ","복스 쌍둥이 처치하기","Derrote os Gêmeos Vox","Победите близнецов Вокс","Derrota a los Gemelos Vox","สยบคู่แฝดวอกซ์","擊敗瓦克斯雙胞胎",1,"","","",1,"",""
