"rownum","Id","Name (English)","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)","Order","bool"
0,"Boss","Boss Fights","Combats de boss","Bosskämpfe","ボス戦","보스전","Lutas com Chefes","Битвы с боссом","Peleas contra jefes","การต่อสู้กับบอส","頭目戰",10,""
1,"Town","Encampments","Campements","Städte","野営地","야영지","Acampamentos","Города","Campamentos","เมือง","營地",11,1
2,"Act1","Act I","Acte I","Akt I","第1章","1장","Ato I","Акт I","Acto I","บทที่ 1","第 1 章",0,""
3,"Act2","Act II","Acte II","Akt II","第2章","2장","Ato II","Акт II","Acto II","บทที่ 2","第 2 章",1,""
4,"Act3","Act III","Acte III","Akt III","第3章","3장","Ato III","Акт III","Acto III","บทที่ 3","第 3 章",2,""
5,"Act4","Act IV","Acte IV","Akt IV","第4章","4장","Ato IV","Акт IV","Acto IV","บทที่ 4","第 4 章",3,""
6,"Act5","Act V","Acte V","Akt V","第5章","5장","Ato V","Акт V","Acto V","บทที่ 5","第 5 章",4,""
7,"Act6","Act VI","Acte VI","Akt VI","第6章","6장","Ato VI","Акт VI","Acto VI","บทที่ 6","第 6 章",5,""
8,"Act7","Act VII","Acte VII","Akt VII","第7章","7장","Ato VII","Акт VII","Acto VII","บทที่ 7","第 7 章",6,""
9,"Act8","Act VIII","Acte VIII","Akt VIII","第8章","8장","Ato VIII","Акт VIII","Acto VIII","บทที่ 8","第 8 章",7,""
10,"Act9","Act IX","Acte IX","Akt IX","第9章","9장","Ato IX","Акт IX","Acto IX","บทที่ 9","第 9 章",8,""
11,"Act10","Act X","Acte X","Akt X","第10章","10장","Ato X","Акт X","Acto X","บทที่ 10","第 10 章",9,""
12,"Map","Unique Maps","Cartes uniques","Einzigartige Karten","ユニークマップ","고유 지도","Mapas Únicos","Уникальные карты","Mapas Únicos","แผนที่ยูนิค","傳奇地圖",13,""
13,"Expansions","Expansions","Extensions","Erweiterungen","拡張パック","확장팩","Expansões","Дополнения","Expansiones","เนื้อหาเสริม","改版",12,""
14,"Other","Other","Divers","Sonstige","その他","기타","Outros","Другое","Otros","อื่นๆ","其它",14,""
15,"Hideouts","Hideouts","Repaires","Verstecke","隠れ家","은신처","Refúgios","Убежища","Guaridas","ที่ซ่อน","藏身處",15,""
16,"Trailers","Trailers","Trailers","Trailer","予告","트레일러","Trailers","Трейлеры","Tráilers","คลิปตัวอย่าง","預告片",16,""
