"rownum","Id","ClassNo","Characters","CoordinateRect","RGBFlavourTextColour","Name (English)","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)","FlavourText (English)","FlavourText (French)","FlavourText (German)","FlavourText (Japanese)","FlavourText (Korean)","FlavourText (Portuguese)","FlavourText (Russian)","FlavourText (Spanish)","FlavourText (Thai)","FlavourText (Traditional Chinese)","OGGFile","PassiveTreeImage","i32","i32","BackgroundImage"
0,"Juggernaut",1,[0],"215,165,1063,436","175,90,50","Juggernaut","Colosse","Koloss","ジャガーノート","저거넛","Destruidor","Покоритель","Coloso","Juggernaut","勇士","     What divides the conqueror \r\n from the conquered? Perseverance.","     Une seule chose sépare le conquérant \r\ndu conquis : la persévérance.","   Was unterscheidet den Sieger\r\nvom Besiegten? Seine Beharrlichkeit.","征服する者とされる者を分けるもの。\r\nそれは忍耐だ。","정복자와 정복당한 자를 구분 짓는 것은 \r\n 무엇인가? 근성의 차이다.","      O que separa o conquistador\r\ndo conquistado? Perseverança.","    Победителя от \r\nпобеждённого отличает \r\nтолько упорство.","     ¿Qué distingue al conquistador\r\ndel conquistado? Perseverancia","<size:53>{         อะไรที่แบ่งแยกผู้พิชิตจากผู้ถูกพิชิตงั้นหรือ? \r\nความมุ่งมั่นไงล่ะ}","<size:51>{    統治者與被統治者間有什麼區別？\r\n毅力。}","Audio/Dialogue/NPC/Izaro/Iz_18_AscClass_01_Marauder_01_Juggernaught.ogg","Art/2DArt/BaseClassIllustrations/JuggernaughtAscendency.dds",-1736,-1550,"Art/2DArt/UIImages/InGame/Classes/Str/Juggernaut/PassiveSkillScreenBackground"
1,"Berserker",2,[0],"760,345,976,429","175,90,50","Berserker","Berserker","Berserker","バーサーカー","버서커","Berserker","Берсерк","Berserker","Berserker","暴徒","The savage path is \r\nalways swift and sure.","<size:50>{La voie brutale reste \r\nla plus directe \net la plus sûre.}","Der Pfad des Wilden \r\nist immer rasant und\r\nbestimmt.","獰猛の道は常に\r\n迅速かつ確実である。\r\n","<size:55>{야만의 길은 언제나\r\n신속하고 흔들림\n없는 법.}","<size:50>{O caminho selvagem é\r\nsempre rápido e seguro.}","Дикари всегда \r\nдействуют быстро \r\nи прямолинейно.","<size:45>{El camino salvaje siempre\r\nes rápido y seguro.}","<size:55>{ทางของความป่าเถื่อน\r\nย่อมว่องไวและแน่นอน}","<size:55>{通往殘暴的道路\r\n總是快速且\n無法回頭。}","Audio/Dialogue/NPC/Izaro/Iz_18_AscClass_01_Marauder_02_Berserker.ogg","Art/2DArt/BaseClassIllustrations/BeserkerAscendency.dds",-1736,-1550,"Art/2DArt/UIImages/InGame/Classes/Str/Berserker/PassiveSkillScreenBackground"
2,"Chieftain",3,[0],"185,245,1076,449","175,90,50","Chieftain","Chef tribal","Stammesführer","チーフテン","치프틴","Chefe Guerreiro","Вождь","Jefe de guerra","Chieftain","酋長","   The Ancestors speak \r\nthrough your clenched fists.","  Les Ancêtres parlent \r\nà travers vos poings.","     Die Ahnen sprechen \r\ndurch Eure geballten Fäuste.","先祖達は握った拳を通して\r\n語りかけてくる。","선조들께서 그대의 떨리는 \r\n주먹을 통해 말하고 \r\n있지 않은가.","Os Ancestrais falam\r\natravés de punhos cerrados.","Предки говорят через \r\nтвои сжатые кулаки.","   Los ancestros hablan \r\na través de tus\npuños cerrados.","<size:60>{   บรรพบุรุษเอ่ย\r\nผ่านหมัดที่กำแน่นของเจ้า}","祖靈透過\r\n你緊握的雙拳發言。","Audio/Dialogue/NPC/Izaro/Iz_18_AscClass_01_Marauder_03_Chieftain.ogg","Art/2DArt/BaseClassIllustrations/ChieftainAscendency.dds",-1786,-1350,"Art/2DArt/UIImages/InGame/Classes/Str/Chieftain/PassiveSkillScreenBackground"
3,"Raider",1,[3],"365,965,900,1250","124,179,118","Raider","Furie","Jägerin","レイダー","레이더","Saqueadora","Налётчик","Incursora","Raider","俠客","No hunt is complete without\r\nthe gutting and the skinning.","Nulle chasse n'est\r\nachevée sans éviscération.","Ausweiden und Häuten \r\ngehören zu jeder guten Jagd.","内臓を取り出し、皮を剥がなければ\r\n狩りは完了しない。","내장 제거, 무두질까지 확실히 해놔야\r\n사냥이 끝났다고 할 수 있지.","Nenhuma caça está completa\r\nsem estripamento e esfolamento.","Охотница перенимает немало \r\nуловок у своей добычи.","<size:45>{Ninguna caza está completa\r\nsin el destripamiento y el desollamiento.}","<size:60>{ไม่มีการล่าใดที่เสร็จสมบูรณ์ \r\nหากไม่มีการคว้านและถลกหนัง}","女獵戶還有許多要向她們那\r\n詭計多端的獵物學習。","Audio/Dialogue/NPC/Izaro/Iz_18_AscClass_03_Ranger_01_Raider.ogg","Art/2DArt/BaseClassIllustrations/RaiderAscendency.dds",-1650,-2155,"Art/2DArt/UIImages/InGame/Classes/Dex/Raider/PassiveSkillScreenBackground"
4,"Deadeye",2,[3],"335,1045,870,1330","124,179,118","Deadeye","Archère d'élite","Scharfschützin","デッドアイ","데드아이","Atiradora","Снайпер","Tiradora","Deadeye","銳眼","A woman can change the world \r\nwith a single well-placed arrow.","Une femme peut changer le monde\r\n     d'une seule flèche bien placée.","Eine Frau kann die Welt mit\r\neinem gezielten Schuss verändern.","一本の狙い澄ました矢で\r\n彼女は世界を変えることができる。","잘 조준한 화살 한 발이면 \r\n여성도 세상을 바꿀 수 있다.","Uma mulher pode mudar o mundo\r\ncom uma única flecha bem atirada.","Женщина может изменить мир \r\nодним метким выстрелом.","Una mujer puede cambiar el mundo\r\ncon una simple flecha certera.","ผู้หญิงคนหนึ่งสามารถเปลี่ยนโลก\r\nได้ด้วยศรแม่นยำเพียงดอกเดียว","一支精準的箭矢，\r\n即可改變世界的女人。","Audio/Dialogue/NPC/Izaro/Iz_18_AscClass_03_Ranger_02_Deadeye.ogg","Art/2DArt/BaseClassIllustrations/DeadeyeAscendency.dds",-1250,-1955,"Art/2DArt/UIImages/InGame/Classes/Dex/Deadeye/PassiveSkillScreenBackground"
5,"Pathfinder",3,[3],"265,975,900,1250","124,179,118","Pathfinder","Exploratrice","Pfadfinderin","パスファインダー","패스파인더","Desbravadora","Следопыт","Rastreadora","Pathfinder","追獵者","There are venoms and virtues aplenty in \r\n the wilds, if you know where to look.","La nature regorge de poisons et de baumes\r\n              pour qui sait où les trouver.","  Mit geübtem Blick entdeckt Ihr \r\n  eine Vielzahl an Giften und Kräutern\r\n  in der Wildnis.","どこを探せばいいかわかっていれば、\r\n自然は毒と薬で溢れている。","<size:55>{위치만 확실히 파악한다면,\r\n극약이나 이익이 되는\r\n   야생의 재료들은 즐비하다.}","Existem grandes quantidades \r\nde venenos e virtudes\r\n nas selvas, se souber onde procurar. ","В глуши много опасных и желанных мест. \r\nНадо уметь обходить одни и \r\nнаходить другие.","Existen venenos y virtudes en abundancia\r\nen la naturaleza, si sabes dónde buscar.","<size:55>{ในป่ามีทั้งพิษร้ายและประโยชน์มากมาย\r\nหากเจ้ารู้ว่ามันอยู่หนใด}","荒野中充滿了惡毒與美善，\r\n只要你知道在何處尋找。","Audio/Dialogue/NPC/Izaro/Iz_18_AscClass_03_Ranger_03_Pathfinder.ogg","Art/2DArt/BaseClassIllustrations/PathfinderAscendency.dds",-1250,-1855,"Art/2DArt/UIImages/InGame/Classes/Dex/Pathfinder/PassiveSkillScreenBackground"
6,"Occultist",1,[1],"665,385,906,389","154,195,201","Occultist","Occultiste","Okkultistin","オカルティスト","오컬티스트","Ocultista","Оккультист","Ocultista","Occultist","秘術家"," Throw off the chains\r\nof fear and embrace that\r\n which was forbidden.","   Libérez-vous des \r\nchaînes de la peur pour \r\n  étreindre l'interdit.","<size:45>{Löst Euch von den Ketten \r\nEurer Angst und gebt Euch \r\ndem Verbotenen hin.}","恐怖の鎖を解き放ち、\r\n禁じられしものを受け入れよ。","두려움의 사슬을\r\n벗어던지고 금기시되는\r\n것들을 끌어안으라.","Jogue fora as correntes\r\ndo medo e abrace aquilo\r\nque era proibido.","Если сбросить оковы \r\nстраха, можно вкусить \r\nзапретный плод.","<size:43>{  Deshazte de las cadenas \r\ndel miedo y abraza aquello que\r\nestaba prohibido.}","<size:58>{ทิ้งโซ่ตรวนแห่งความกลัวแล้ว\r\nน้อมรับสิ่งต้องห้าม}","拋開恐懼的枷鎖，\r\n擁抱禁忌的秘術。","Audio/Dialogue/NPC/Izaro/Iz_18_AscClass_05_Witch_01_Occultist.ogg","Art/2DArt/BaseClassIllustrations/OccultistAscendency.dds",-2090,-701,"Art/2DArt/UIImages/InGame/Classes/Int/Occultist/PassiveSkillScreenBackground"
7,"Elementalist",2,[1],"125,475,510,768","154,195,201","Elementalist","Élémentaliste","Elementaristin","エレメンタリスト","엘리멘탈리스트","Elementalista","Маг стихий","Elementalista","Elementalist","元素使","Feed a storm with savage intent \r\nand not even the strongest walls\r\nwill hold it back.","Nourrissez une tempête de vos plus \r\nfarouches desseins, et nul rempart \r\nne saura y résister.","Nährt den Sturm mit wilder Entschlossenheit \r\nund selbst die stärksten Gemäuer werden\r\nunter ihm nachgeben.","嵐に凶暴な意思を与えれば、\r\n最強の壁すら抑えることは出来ない。","포악한 의지로 폭풍을 일으켜라\r\n그 어떤 강력한 벽일지라도\r\n무너지리니.","Alimente a tempestade com intenções selvagens\r\ne nem mesmo as paredes mais fortes \r\nirão segurá-la.","Если сильный волей посеет ветер, \r\nбурю не сдержат и крепчайшие \r\nстены.","Alimenta una tormenta con propósito feroz\r\ny ni siquiera las paredes más fuertes\r\npodrán detenerla.","<size:55>{หล่อเลี้ยงพายุด้วยเจตนาอันโหดร้าย\r\nกระทั่งกำแพงอันแสนแกร่ง\r\nก็ไม่อาจต้านทาน}","將野蠻意向奉獻於風暴中，\r\n最堅固的高牆也將無法抵擋。","Audio/Dialogue/NPC/Izaro/Iz_18_AscClass_05_Witch_02_Elementalist.ogg","Art/2DArt/BaseClassIllustrations/ElementalistAscendency.dds",-2232,-669,"Art/2DArt/UIImages/InGame/Classes/Int/Elementalist/PassiveSkillScreenBackground"
8,"Necromancer",3,[1],"720,303,1000,1000","154,195,201","Necromancer","Nécromancienne","Nekromantin","ネクロマンサー","네크로맨서","Necromante","Некромант","Nigromante","Necromancer","死靈師","Embrace the serene\r\npower that is undeath.","Embrassez la douce \r\npuissance de la non-vie.","Macht Euch die\r\ngrenzenlose Macht der\r\nUntoten zu Nutze.","不死という安らかな力を\r\n受け入れよ。","불사의 고요한 힘을\r\n포용하라.","Adote o sereno\r\npoder dos mortos.","Познай смиренную \r\nсилу посмертия.","<size:55>{Abraza el poder\nsereno de la no-muerte.}","<size:55>{น้อมรับพลังอันสงบนิ่ง\r\nที่ไม่มีวันตาย}","<size:48>{擁抱沉寂的不死之力。}","Audio/Dialogue/NPC/Izaro/Iz_18_AscClass_05_Witch_03_Necromancer.ogg","Art/2DArt/BaseClassIllustrations/NecromancerAscendency.dds",-2032,-469,"Art/2DArt/UIImages/InGame/Classes/Int/Necromancer/PassiveSkillScreenBackground"
9,"Slayer",1,[4],"470,310,976,429","150,175,200","Slayer","Sanguinaire","Schlächter","スレイヤー","슬레이어","Executor","Рубака","Verdugo","Slayer","處刑者"," No judge. No jury.\r\nJust the executioner."," Ni juge, ni juré ;\r\nseulement le bourreau.","  Kein Gerichtsherr. \r\nKein Geschworener. \r\n      Lediglich der \r\n      Scharfrichter.","判事も陪審員もいない。\r\nいるのは処刑人だけだ。","법관도, 배심원도 없다.\r\n오직 처형자만 있을 뿐."," Sem juiz. Sem júri.\r\nApenas o executor.","Ни судьи, ни присяжных.\r\nТолько палач.","Ni juez. Ni jurado.\r\nSolamente el verdugo.","<size:55>{ไม่มีผู้พิพากษา\r\nไม่มีคณะลูกขุน \r\nมีเพียงแต่เพชฌฆาต}","<size:55>{沒有法官，沒有陪審團，\r\n只有劊子手。}","Audio/Dialogue/NPC/Izaro/Iz_18_AscClass_02_Duelist_01_Slayer.ogg","Art/2DArt/BaseClassIllustrations/SlayerAscendency.dds",-1959,-1432,"Art/2DArt/UIImages/InGame/Classes/StrDex/Slayer/PassiveSkillScreenBackground"
