"rownum","Width","Height","i32","Item"
0,1,1,0,4837
1,1,2,0,4838
2,1,3,0,4839
3,1,4,0,4840
4,2,1,0,4841
5,2,2,0,4842
6,2,3,0,4843
7,2,4,0,4844
8,3,1,0,4847
9,3,2,0,4845
10,3,3,0,4846
11,4,1,0,4848
12,1,1,1,4871
13,1,2,1,4872
14,1,3,1,4873
15,1,4,1,4874
16,2,1,1,4875
17,2,2,1,4876
18,2,3,1,4877
19,2,4,1,4878
20,3,1,1,4880
21,3,2,1,4879
22,4,1,1,4881
23,1,1,2,4849
24,1,2,2,4850
25,1,3,2,4851
26,1,4,2,4852
27,2,1,2,4853
28,2,2,2,4854
29,2,3,2,4855
30,2,4,2,4856
31,3,2,2,4857
32,3,1,2,4858
33,4,1,2,4859
34,1,1,3,4860
35,1,2,3,4861
36,1,3,3,4862
37,1,4,3,4863
38,2,1,3,4864
39,2,2,3,4865
40,2,3,3,4866
41,2,4,3,4867
42,3,2,3,4868
43,3,1,3,4869
44,4,1,3,4870
