"rownum","i32","i32","i32","Requirement (English)","Requirement (French)","Requirement (German)","Requirement (Japanese)","Requirement (Korean)","Requirement (Portuguese)","Requirement (Russian)","Requirement (Spanish)","Requirement (Thai)","Requirement (Traditional Chinese)"
0,0,0,1024,"Complete the Sanctum Bellum room in the Sanctum Cathedral","Terminez la Salle Sanctum Bellum dans la cathédrale du Sanctuaire","Schließt den Sanktum-Raum des Kriegsrats in der Sanktum-Kathedrale ab","サンクタムの大聖堂でサンクタムの戦争の部屋を完了しろ","성역 대성당에서 전쟁의 성역 방을 완료하십시오","Complete o salão Bellum do Sanctum na Catedral do Sanctum","Пройдите комнату Санктум Беллум в Соборе Святилища","Completa la Sala de guerra en la Catedral del santuario","ผ่าน ห้องการศึก ใน โบสถ์เทวสถาน","在聖域教堂完成聖域戰火房間"
1,1,0,1013,"Complete the Sanctum Archives","Terminez les archives du Sanctuaire","Schließt das Sanktum-Archiv ab","サンクタムの書庫を完了しろ","성역 서고를 완료하십시오","Complete os Arquivos do Sanctum","Пройдите Архивы Святилища","Completa los Archivos del santuario","ผ่าน หอจดหมายเหตุเทวสถาน","完成聖域檔案室"
2,2,0,1014,"Complete the Sanctum Archives","Terminez les archives du Sanctuaire","Schließt das Sanktum-Archiv ab","サンクタムの書庫を完了しろ","성역 서고를 완료하십시오","Complete os Arquivos do Sanctum","Пройдите Архивы Святилища","Completa los Archivos del santuario","ผ่าน หอจดหมายเหตุเทวสถาน","完成聖域檔案室"
3,3,0,1015,"Complete the Sanctum Vaults","Terminez la salle des coffres du Sanctuaire","Schließt das Sanktum-Gewölbe ab","サンクタムの宝物庫を完了しろ","성역 금고를 완료하십시오","Complete os Cofres do Sanctum","Пройдите Хранилища Святилища","Completa las Bóvedas del santuario","ผ่าน พระคลังเทวสถาน","完成聖域寶庫"
4,0,1,1016,"Complete the Sanctum Vaults","Terminez la salle des coffres du Sanctuaire","Schließt das Sanktum-Gewölbe ab","サンクタムの宝物庫を完了しろ","성역 금고를 완료하십시오","Complete os Cofres do Sanctum","Пройдите Хранилища Святилища","Completa las Bóvedas del santuario","ผ่าน พระคลังเทวสถาน","完成聖域寶庫"
5,1,1,1011,"Unlocked","Débloqué","Freigeschaltet","アンロックされている","개방","Destravado","Разблокировано","Desbloqueado","ปลดล็อกแล้ว","已解鎖"
6,2,1,1011,"Unlocked","Débloqué","Freigeschaltet","アンロックされている","개방","Destravado","Разблокировано","Desbloqueado","ปลดล็อกแล้ว","已解鎖"
7,3,1,1011,"Unlocked","Débloqué","Freigeschaltet","アンロックされている","개방","Destravado","Разблокировано","Desbloqueado","ปลดล็อกแล้ว","已解鎖"
8,4,1,1018,"Complete the Sanctum Cathedral","Terminez la cathédrale du Sanctuaire","Schließt die Sanktum-Kathedrale ab","サンクタムの大聖堂を完了しろ","성역 대성당을 완료하십시오","Complete a Catedral do Sanctum","Пройдите Собор Святилища","Completa la Catedral del santuario","ผ่าน โบสถ์เทวสถาน","完成聖域教堂"
9,0,2,1017,"Complete the Sanctum Cathedral","Terminez la cathédrale du Sanctuaire","Schließt die Sanktum-Kathedrale ab","サンクタムの大聖堂を完了しろ","성역 대성당을 완료하십시오","Complete a Catedral do Sanctum","Пройдите Собор Святилища","Completa la Catedral del santuario","ผ่าน โบสถ์เทวสถาน","完成聖域教堂"
