"rownum","BaseItemTypesKey","SpawnWeight","ModsKey","Tier","bool","bool","rid","rid","i32"
0,5297,1818,10044,1,"","","","",3
1,5298,1818,10045,1,"","","","",0
2,5299,1818,10046,1,"","","","",0
3,5300,1818,10048,1,"","","","",0
4,5301,1818,10047,1,"","","","",0
5,5302,1818,10049,1,"","","","",0
6,5303,1818,10050,1,"","","","",0
7,5304,1818,10051,1,"","","","",0
8,5305,1,10069,1,"","","","",0
9,5306,1818,10070,1,"","","","",0
10,5307,1818,10071,1,"","","","",0
11,5308,1818,10072,1,"","","","",0
12,5321,2100,10073,2,"","","","",0
13,5309,2100,11817,2,"","","","",0
14,5310,2100,11813,2,"","","","",0
15,5311,2100,11816,2,"","","","",0
16,5312,2100,11818,2,"","","","",0
17,5313,2100,11814,2,"","","","",0
18,5314,350,11825,2,"","","","",0
19,5315,350,11825,2,"","","","",0
20,5316,350,11824,2,"","","","",0
21,5317,350,11824,2,"","","","",0
22,5318,350,11826,2,"","","","",0
23,5319,350,11826,2,"","","","",0
24,5320,2100,11822,2,"","","","",0
25,5322,2400,11815,3,"","","","",0
26,5323,2400,11823,3,"","","","",0
27,5324,2400,11821,3,"","","","",0
28,5325,2400,11827,3,"","","","",0
29,5326,2400,11819,3,"","","","",0
30,5327,800,11820,3,"","","","",0
31,5328,800,11820,3,"","","","",0
32,5329,800,11820,3,"","","","",0
33,5330,2400,11812,3,"","","","",0
34,5331,100,"",4,"","","","",0
