"rownum","InfluenceMod","UpgradedMod","bool"
0,14672,24538,1
1,14673,24539,1
2,14674,14675,""
3,14675,24540,1
4,14676,14677,""
5,14677,24541,1
6,14678,14679,""
7,14679,24542,1
8,14680,24543,1
9,14682,24544,1
10,14684,14685,""
11,14685,24545,1
12,14686,14687,""
13,14687,24546,1
14,14688,24547,1
15,14689,14690,""
16,14690,24548,1
17,14691,14692,""
18,14692,24549,1
19,14693,14694,""
20,14694,24550,1
21,14695,14696,""
22,14696,24551,1
23,14697,14698,""
24,14698,24552,1
25,14699,14700,""
26,14700,24553,1
27,14701,14702,""
28,14702,24554,1
29,14703,14704,""
30,14704,24555,1
31,14705,14706,""
32,14706,24556,1
33,14707,14708,""
34,14708,24557,1
35,20686,20687,""
36,20687,24558,1
37,20762,20763,""
38,20763,24559,1
39,20764,24560,1
40,20768,20769,""
41,20769,24563,1
42,20770,24564,1
43,20771,20772,""
44,20772,24565,1
45,20773,20774,""
46,20774,24566,1
47,20775,20776,""
48,20776,24567,1
49,20777,24568,1
50,20778,24569,1
51,20779,20780,""
52,20780,20781,""
53,20781,24570,1
54,20782,20783,""
55,20783,24571,1
56,20784,24572,1
57,20785,20786,""
58,20786,24573,1
59,20787,20788,""
60,20788,24574,1
61,20789,24575,1
62,20790,20791,""
63,20791,24576,1
64,20792,24577,1
65,20793,24578,1
66,20794,24579,1
67,20795,20796,""
68,20796,24580,1
69,20797,24581,1
70,20798,20799,""
71,20799,24582,1
72,20800,20801,""
73,20801,24583,1
74,20802,20803,""
75,20803,24584,1
76,20804,20805,""
77,20805,24585,1
78,20806,20807,""
79,20807,24586,1
80,20808,24588,1
81,20809,24589,1
82,20810,20811,""
83,20811,24590,1
84,20812,20813,""
85,20813,24591,1
86,20814,20815,""
87,20815,24592,1
88,20816,20817,""
89,20817,24593,1
90,14605,14606,""
91,14606,14607,""
92,14607,24594,1
93,14608,14609,""
94,14609,14610,""
95,14610,24595,1
96,14611,14612,""
97,14612,24596,1
98,14613,14614,""
99,14614,14615,""
100,14615,24597,1
101,14616,14617,""
102,14617,14618,""
103,14618,24598,1
104,14622,14623,""
105,14623,14624,""
106,14624,24600,1
107,14625,14626,""
108,14626,14627,""
109,14627,24601,1
110,14628,14629,""
111,14629,14630,""
112,14630,24602,1
113,14631,14632,""
114,14632,14633,""
115,14633,24603,1
116,14634,14635,""
117,14635,14636,""
118,14636,24604,1
119,14637,14638,""
120,14638,14639,""
121,14639,24605,1
122,14640,14641,""
123,14641,24606,1
124,14642,24607,1
125,14643,14644,""
126,14644,14645,""
127,14645,24608,1
128,14646,14647,""
129,14647,14648,""
130,14648,24609,1
131,14649,14650,""
132,14650,14651,""
133,14651,24610,1
134,14652,14653,""
135,14653,14654,""
136,14654,24611,1
137,14655,14656,""
138,14656,14657,""
139,14657,24612,1
140,14658,14659,""
141,14659,24613,1
142,14660,14661,""
143,14661,24614,1
144,14662,14663,""
145,14663,24615,1
146,14664,14665,""
147,14665,14666,""
148,14666,24616,1
149,14667,14668,""
150,14668,14669,""
151,14669,24617,1
152,14670,24618,1
153,14671,24619,1
154,20575,20576,""
155,20576,24620,1
156,20682,20683,""
157,20683,24621,1
158,20688,20689,""
159,20689,24623,1
160,20690,24624,1
161,20691,20692,""
162,20692,24625,1
163,20693,20694,""
164,20694,24626,1
165,20695,24627,1
166,20696,20697,""
167,20697,20698,""
168,20698,24628,1
169,20699,20700,""
170,20700,20701,""
171,20701,24629,1
172,20702,20703,""
173,20703,20704,""
174,20704,24630,1
175,20705,24631,1
176,20706,20707,""
177,20707,24632,1
178,20708,20709,""
179,20709,20710,""
180,20710,24633,1
181,20711,20712,""
182,20712,24634,1
183,20713,24635,1
184,20714,20715,""
185,20715,20716,""
186,20716,24636,1
187,20717,20718,""
188,20718,24637,1
189,20719,24638,1
190,20720,20721,""
191,20721,20722,""
192,20722,24639,1
193,20723,20724,""
194,20724,24640,1
195,20725,20726,""
196,20726,24641,1
197,20727,24642,1
198,20728,24643,1
199,20729,20731,""
200,20731,24644,1
201,20733,20734,""
202,20734,24646,1
203,20735,20736,""
204,20736,24647,1
205,20737,20738,""
206,20738,24648,1
207,20739,20740,""
208,20740,24649,1
209,20741,20742,""
210,20742,20743,""
211,20743,24650,1
212,20744,20745,""
213,20745,20746,""
214,20746,24651,1
215,20747,20748,""
216,20748,20749,""
217,20749,24652,1
218,20750,20751,""
219,20751,20752,""
220,20752,24653,1
221,20753,20754,""
222,20754,20755,""
223,20755,24654,1
224,20756,24655,1
225,20757,20758,""
226,20758,24656,1
227,20759,24657,1
228,20760,24658,1
229,20761,24659,1
230,14542,14543,""
231,14543,14544,""
232,14544,24660,1
233,14545,14546,""
234,14546,14547,""
235,14547,24661,1
236,14548,14549,""
237,14549,14550,""
238,14550,24662,1
239,14551,24663,1
240,14552,14553,""
241,14553,14554,""
242,14554,24664,1
243,14555,14556,""
244,14556,14557,""
245,14557,24665,1
246,14558,14559,""
247,14559,14560,""
248,14560,24666,1
249,14561,24667,1
250,14566,14567,""
251,14567,14568,""
252,14568,24670,1
253,14569,14570,""
254,14570,14571,""
255,14571,24671,1
256,14572,14573,""
257,14573,14574,""
258,14574,24672,1
259,14575,14576,""
260,14576,14577,""
261,14577,24673,1
262,14578,14579,""
263,14579,14580,""
264,14580,24674,1
265,14581,14582,""
266,14582,14583,""
267,14583,24675,1
268,14584,14585,""
269,14585,14586,""
270,14586,24676,1
271,14587,14588,""
272,14588,24677,1
273,14591,14592,""
274,14592,14593,""
275,14593,24678,1
276,14594,14595,""
277,14595,24679,1
278,14596,14597,""
279,14597,14598,""
280,14598,24680,1
281,14599,14600,""
282,14600,14601,""
283,14601,24681,1
284,14602,14603,""
285,14603,14604,""
286,14604,24682,1
287,18054,18055,""
288,18055,24683,1
289,18068,18069,""
290,18069,24684,1
291,18083,18084,""
292,18084,24685,1
293,18099,18100,""
294,18100,24686,1
295,20566,20567,""
296,20567,20568,""
297,20568,24687,1
298,20611,20612,""
299,20612,24688,1
300,20615,20616,""
301,20616,24690,1
302,20617,20618,""
303,20618,24691,1
304,20619,20620,""
305,20620,24692,1
306,20621,24693,1
307,20622,24694,1
308,20623,20624,""
309,20624,20625,""
310,20625,24695,1
311,20626,20627,""
312,20627,20628,""
313,20628,24696,1
314,20629,24697,1
315,20630,20631,""
316,20631,20632,""
317,20632,24698,1
318,20633,20634,""
319,20634,20635,""
320,20635,24699,1
321,20636,20637,""
322,20637,20638,""
323,20638,24700,1
324,20639,20640,""
325,20640,20641,""
326,20641,24701,1
327,20642,24702,1
328,20643,20644,""
329,20644,24703,1
330,20645,24704,1
331,20646,20647,""
332,20647,24705,1
333,20648,20649,""
334,20649,24706,1
335,20650,20651,""
336,20651,24707,1
337,20652,20653,""
338,20653,24708,1
339,20654,20655,""
340,20655,24709,1
341,20656,20657,""
342,20657,20658,""
343,20658,24710,1
344,20659,20660,""
345,20660,24711,1
346,20661,20662,""
347,20662,24712,1
348,20663,24713,1
349,20664,24714,1
350,20665,24715,1
351,20666,24716,1
352,20667,20668,""
353,20668,24717,1
354,20670,20671,""
355,20671,24718,1
356,20672,20673,""
357,20673,24719,1
358,20674,20675,""
359,20675,24720,1
360,20676,20677,""
361,20677,24721,1
362,20678,20679,""
363,20679,24722,1
364,20680,20681,""
365,20681,24723,1
366,20898,24724,1
367,14504,24725,1
368,14505,24726,1
369,14506,24727,1
370,14507,24728,1
371,14508,24729,1
372,14509,24730,1
373,14510,24731,1
374,14511,14512,""
375,14512,14513,""
376,14513,24732,1
377,14514,14515,""
378,14515,14516,""
379,14516,24733,1
380,14517,14518,""
381,14518,14519,""
382,14519,24734,1
383,14520,14521,""
384,14521,14522,""
385,14522,24735,1
386,14523,14524,""
387,14524,24736,1
388,14525,14526,""
389,14526,24737,1
390,14527,14528,""
391,14528,14529,""
392,14529,24738,1
393,14530,14531,""
394,14531,14532,""
395,14532,24739,1
396,14533,14534,""
397,14534,14535,""
398,14535,24740,1
399,14536,14537,""
400,14537,14538,""
401,14538,24741,1
402,14539,24742,1
403,14540,24743,1
404,14541,24744,1
405,20540,24745,1
406,20541,24746,1
407,20542,20543,""
408,20543,24747,1
409,20546,20547,""
410,20547,24749,1
411,20548,20549,""
412,20549,24750,1
413,20550,20551,""
414,20551,20552,""
415,20552,24751,1
416,20553,20554,""
417,20554,20555,""
418,20555,24752,1
419,20556,20557,""
420,20557,20558,""
421,20558,24753,1
422,20559,20560,""
423,20560,24754,1
424,20561,24755,1
425,20562,24756,1
426,20563,24757,1
427,20564,20565,""
