"rownum","Id","rid","Name (English)","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)","rid","i32","bool","i32","i32","bool"
0,1,40,"Weapon Skin","Apparence d'arme","Waffen-Skin","武器スキン","무기 스킨","Visual de Arma","Внешний вид оружия","Aspecto para arma","สกินอาวุธ","武器外觀",2,0,"",0,0,1
1,2,42,"Weapon Effect","Effet d'arme","Waffeneffekt","武器エフェクト","무기 이펙트","Efeito de Arma","Эффект оружия","Efecto para arma","เอฟเฟคอาวุธ","武器特效",2,0,"",0,0,1
2,3,44,"Weapon Added Effect","Rajout d'effet d'arme","Zusätzlicher Waffeneffekt","武器追加エフェクト","무기 추가 이펙트","Efeito de Arma Adicional","Добавленный эффект оружия","Efecto agregado para arma","เอฟเฟคอาวุธเพิ่มเติม","武器附加特效",2,0,"",0,17,""
3,4,40,"Weapon Skin","Apparence d'arme","Waffen-Skin","武器スキン","무기 스킨","Visual de Arma","Внешний вид оружия","Aspecto para arma","สกินอาวุธ","武器外觀",3,0,"",0,1,1
4,5,42,"Weapon Effect","Effet d'arme","Waffeneffekt","武器エフェクト","무기 이펙트","Efeito de Arma","Эффект оружия","Efecto para arma","เอฟเฟคอาวุธ","武器特效",3,0,"",0,1,1
5,6,44,"Weapon Added Effect","Rajout d'effet d'arme","Zusätzlicher Waffeneffekt","武器追加エフェクト","무기 추가 이펙트","Efeito de Arma Adicional","Добавленный эффект оружия","Efecto agregado para arma","เอฟเฟคอาวุธเพิ่มเติม","武器附加特效",3,0,"",0,17,""
6,7,46,"Helmet Skin","Apparence de casque","Helm-Skin","兜スキン","투구 스킨","Visual de Elmo","Внешний вид шлема","Aspecto para casco","สกินหมวก","頭部外觀",4,0,"",0,4,""
7,8,47,"Helmet Attachment","Accessoire de casque","Helmzusatz","兜装飾品","투구 부착물","Adorno de Elmo","Эффект шлема","Accesorio para casco","แฟชั่นติดหมวก","頭部特效",4,0,"",0,14,""
8,9,48,"Armour Skin","Apparence d'armure","Körperrüstung-Skin","鎧スキン","갑옷 스킨","Visual de Peitoral","Внешний вид брони","Aspecto para armadura","สกินเสื้อเกราะ","身體外觀",1,0,"",0,2,""
9,10,5,"Armour Attachment","Accessoire d'armure","Körperrüstungszusatz","鎧装飾品","방어구 부착물","Adorno de Peitoral","Заплечное украшение","Accesorio para armadura","แฟชั่นติดหลัง","背飾",1,0,"",0,3,""
10,11,50,"Gloves Skin","Apparence de gants","Handschuhe-Skin","手袋スキン","장갑 스킨","Visual de Luvas","Внешний вид перчаток","Aspecto para guantes","สกินถุงมือ","手部外觀",8,0,"",0,5,""
11,12,51,"Boots Skin","Apparence de bottes","Stiefel-Skin","靴スキン","장화 스킨","Visual de Botas","Внешний вид обуви","Aspecto para botas","สกินรองเท้า","腳部外觀",9,0,"",0,6,""
12,13,52,"Footprints","Empreintes de pas","Fußspuren","足跡","발자국","Pegadas","Следы","Huellas","รอยเท้า","行走特效",9,0,"",0,13,""
13,14,54,"Apparition","Apparition","Erscheinung","幻影","유령","Aparição","Временный эффект","Aparición","ร่างเงา","項鍊特效",5,0,"",0,17,""
14,15,55,"Character Effect","Effet de personnage","Charaktereffekt","キャラクターエフェクト","캐릭터 이펙트","Efeito de Personagem","Эффект персонажа","Efecto para el personaje","เอฟเฟคตัวละคร","角色特效",10,0,"",0,12,""
15,16,58,"Portrait","Portrait","Portrait","ポートレート","초상화","Retrato","Портрет","Retrato","รูปภาพ","角色頭像","",0,"",0,17,""
16,17,57,"Social Frame","Cadre de portrait","Rahmen","ソーシャルフレーム","소셜 액자","Moldura Social","Портретная рамка","Marco social","กรอบรูปตัวละคร","肖像外框","",0,"",0,17,""
17,18,56,"Pet","Familier","Begleiter","ペット","애완동물","Mascote","Питомец","Mascota","สัตว์เลี้ยง","寵物","",0,"",0,17,""
18,19,56,"Pet","Familier","Begleiter","ペット","애완동물","Mascote","Питомец","Mascota","สัตว์เลี้ยง","寵物","",0,"",0,17,""
19,20,59,"Portal","Portail","Portaleffekt","ポータル","포탈","Portal","Портал","Portal","วาร์ป","時空之門","",0,"",0,17,""
20,21,47,"Helmet Attachment","Accessoire de casque","Helmzusatz","兜装飾品","투구 부착물","Adorno de Elmo","Эффект шлема","Accesorio para casco","แฟชั่นติดหมวก","頭部特效",4,0,"",0,15,""
21,22,35,"HUD","Interface","HUD","HUD","HUD","HUD","HUD","HUD","หน้าจอแสดงผล","HUD","",0,"",0,17,""
22,23,34,"Cursor","Curseur","Cursor","カーソル","커서","Cursor","Курсор","Cursor","เคอร์เซอร์","鼠標","",0,"",0,17,""
23,24,38,"Belt Skin","Apparence de ceinture","Gürtel-Skin","ベルトスキン","허리띠 스킨","Visual de Cinto","Внешний вид пояса","Aspecto para cinturón","สกินเข็มขัด","腰帶外觀",10,0,"",0,10,""
24,25,39,"Amulet Skin","Apparence d'amulette","Amulett-Skin","アミュレットスキン","목걸이 스킨","Visual de Amuleto","Внешний вид амулета","Aspecto para amuleto","สกินสร้อย","項鍊外觀",5,0,"",0,11,""
25,26,37,"Flask Skin","Apparence de Flacon","Fläschchen-Skin","フラスコスキン","플라스크 스킨","Visual de Frasco","Внешний вид флакона","Aspecto para frasco","สกินขวดยา","藥劑外觀",11,0,"",0,17,1
26,27,37,"Flask Skin","Apparence de Flacon","Fläschchen-Skin","フラスコスキン","플라스크 스킨","Visual de Frasco","Внешний вид флакона","Aspecto para frasco","สกินขวดยา","藥劑外觀",11,1,"",0,17,1
27,28,37,"Flask Skin","Apparence de Flacon","Fläschchen-Skin","フラスコスキン","플라스크 스킨","Visual de Frasco","Внешний вид флакона","Aspecto para frasco","สกินขวดยา","藥劑外觀",11,2,"",0,17,1
28,29,37,"Flask Skin","Apparence de Flacon","Fläschchen-Skin","フラスコスキン","플라스크 스킨","Visual de Frasco","Внешний вид флакона","Aspecto para frasco","สกินขวดยา","藥劑外觀",11,3,"",0,17,1
29,30,37,"Flask Skin","Apparence de Flacon","Fläschchen-Skin","フラスコスキン","플라스크 스킨","Visual de Frasco","Внешний вид флакона","Aspecto para frasco","สกินขวดยา","藥劑外觀",11,4,"",0,17,1
30,31,60,"Ring Skin","Apparence de bague","Ring-Skin","指輪スキン","반지 스킨","Visual de Anel","Внешний вид кольца","Aspecto para anillo","สกินแหวน","戒指外觀",6,0,"",0,8,""
31,32,60,"Ring Skin","Apparence de bague","Ring-Skin","指輪スキン","반지 스킨","Visual de Anel","Внешний вид кольца","Aspecto para anillo","สกินแหวน","戒指外觀",7,0,"",0,9,""
32,33,61,"Hip Attachment","Accessoire à la hanche","Hüftzusatz","腰装飾品","허리 부착물","Acessório de Cintura","Набедренное украшение","Accesorio para la cadera","แฟชั่นติดสะโพก","臀部附加",10,0,"",0,16,""
33,34,62,"Alternate Charge Skin","Apparence de Charges alternatives","Ladungen-Skin","オルタネートチャージスキン","대체 충전 스킨","Visual Alternativo de Carga","Внешний вид зарядов","Aspecto alternativo para cargas","สกินชาร์จแบบพิเศษ","替代能量球外觀","",0,"",0,17,""
34,35,36,"Passive Jewel Skin","Apparence de Joyau de talent","Juwel-Skin","パッシブジュエルスキン","패시브 주얼 스킨","Visual de Joia Passiva","Внешний вид самоцвета","Aspecto para joya pasiva","สกินจิวเวลพาสซีฟ","天賦珠寶外觀",23,0,1,0,17,""
35,36,8,"Skill Gem Effect","Effet d'aptitude","Fertigkeitseffekt","スキルジェムエフェクト","스킬 젬 이펙트","Efeito de Gema de Habilidade","Эффект камня умения","Efecto para gema de habilidad","เอฟเฟคหินสกิล","技能寶石特效","",0,1,0,17,""
