"rownum","rid"," (English)"," (French)"," (German)"," (Japanese)"," (Korean)"," (Portuguese)"," (Russian)"," (Spanish)"," (Thai)"," (Traditional Chinese)"
0,10015,"<fire>{Fire As Cold}","<fire>{Feu en froid}","<fire>{Feuer- als Kälteschaden}","<fire>{火を冷気として}","<fire>{화염을 냉기로}","<fire>{Fogo como Gelo}","<fire>{огонь > холод}","<fire>{fuego como hielo}","<fire>{ไฟเป็นน้ำแข็ง}","<fire>{火焰為冰冷}"
1,10016,"<fire>{Fire As Cold}","<fire>{Feu en froid}","<fire>{Feuer- als Kälteschaden}","<fire>{火を冷気として}","<fire>{화염을 냉기로}","<fire>{Fogo como Gelo}","<fire>{огонь > холод}","<fire>{fuego como hielo}","<fire>{ไฟเป็นน้ำแข็ง}","<fire>{火焰為冰冷}"
2,10017,"<fire>{Fire As Cold}","<fire>{Feu en froid}","<fire>{Feuer- als Kälteschaden}","<fire>{火を冷気として}","<fire>{화염을 냉기로}","<fire>{Fogo como Gelo}","<fire>{огонь > холод}","<fire>{fuego como hielo}","<fire>{ไฟเป็นน้ำแข็ง}","<fire>{火焰為冰冷}"
3,10018,"<fire>{Fire As Lightning}","<fire>{Feu en foudre}","<fire>{Feuer- als Blitzschaden}","<fire>{火を雷として}","<fire>{화염을 번개로}","<fire>{Fogo como Raio}","<fire>{огонь > молнии}","<fire>{fuego como rayo}","<fire>{ไฟเป็นสายฟ้า}","<fire>{火焰為閃電}"
4,10019,"<cold>{Cold as Fire}","<cold>{Froid en feu}","<cold>{Kälte- als Feuerschaden}","<cold>{冷気を火として}","<cold>{냉기를 화염으로}","<cold>{Gelo como Fogo}","<cold>{холод > огонь}","<cold>{hielo como fuego}","<cold>{น้ำแข็งเป็นไฟ}","<cold>{冰冷為火焰}"
5,10020,"<cold>{Cold as Lightning}","<cold>{Froid en foudre}","<cold>{Kälte- als Blitzschaden}","<cold>{冷気を雷として}","<cold>{냉기를 번개로}","<cold>{Gelo como Raio}","<cold>{холод > молнии}","<cold>{hielo como rayo}","<cold>{น้ำแข็งเป็นสายฟ้า}","<cold>{冰冷為閃電}"
6,10021,"<lightning>{Lightning as Cold}","<lightning>{Foudre en froid}","<lightning>{Blitz- als Kälteschaden}","<lightning>{雷を冷気として}","<lightning>{번개를 냉기로}","<lightning>{Raio como Gelo}","<lightning>{молнии > холод}","<lightning>{rayo como hielo}","<lightning>{สายฟ้าเป็นน้ำแข็ง}","<lightning>{閃電為冰冷}"
7,10022,"<lightning>{Lightning as Fire}","<lightning>{Foudre en feu}","<lightning>{Blitz- als Feuerschaden}","<lightning>{雷を火として}","<lightning>{번개를 화염으로}","<lightning>{Raio como Fogo}","<lightning>{молнии > огонь}","<lightning>{rayo como fuego}","<lightning>{สายฟ้าเป็นไฟ}","<lightning>{閃電為火焰}"
8,10028,"Power","Pouvoir","Energie-Ladung","パワー","권능","Poder","Энергия","Poder","Power","暴擊球"
9,10027,"Frenzy","Frénésie","Raserei-Ladung","フレンジー","격분","Frenesi","Ярость","Frenesí","Frenzy","狂怒球"
10,10029,"Endurance","Endurance","Widerstands-Ladung","エンデュランス","인내","Tolerância","Выносливость","Aguante","Endurance","耐力球"
11,23634,"Fire/Cold","Feu/Froid","Feuer/Kälte","火/冷気","화염/냉기","Fogo/Gelo","Огонь/Холод","Fuego/hielo","ไฟ/น้ำแข็ง","火焰/冰冷"
12,23635,"Fire/Lightning","Feu/Foudre","Feuer/Blitz","火/雷","화염/번개","Fogo/Raio","Огонь/Молния","Fuego/rayo","ไฟ/สายฟ้า","火焰/閃電"
13,23636,"Cold/Lightning","Froid/Foudre","Kälte/Blitz","冷気/雷","냉기/번개","Gelo/Raio","Холод/Молния","Hielo/rayo","น้ำแข็ง/สายฟ้า","冰冷/閃電"
