"rownum","Id","Order","Width","Height","TotalCount","i32","Name (English)","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)","StandardCount","Image","ChallengeLeagueCount","IsDisabled"
0,"Flask",1,1,2,40,2,"Flask","Flacons","Fläschchen","フラスコ","플라스크","Frascos","Флакон","Frasco","ขวดยา","藥劑",35,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/Filter Buttons/Flask",35,""
1,"Amulet",2,1,1,111,1,"Amulet","Amulettes","Amulett","アミュレット","목걸이","Amuletos","Амулет","Amuleto","สร้อย","項鍊",79,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/Filter Buttons/Amulet",81,""
2,"Ring",3,1,1,126,1,"Ring","Bagues & Anneaux","Ring","指輪","반지","Anéis","Кольцо","Anillo","แหวน","戒指",93,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/Filter Buttons/Ring",95,""
3,"Claw",4,2,2,44,2,"Claw","Griffes","Klaue","鉤爪","클로","Garras","Коготь","Garra","กรงเล็บ","爪",20,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/Filter Buttons/Claw",20,""
4,"Dagger",5,1,3,25,3,"Dagger","Dagues","Dolch","短剣","단검","Adagas","Кинжал","Daga","มีด","匕首",21,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/Filter Buttons/Dagger",21,""
5,"Wand",6,1,3,26,3,"Wand","Baguettes","Zauberstab","ワンド","마법봉","Varinhas","Жезл","Varita","ไม้กายสิทธิ์","法杖",22,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/Filter Buttons/Wand",22,""
6,"Sword",7,2,3,134,3,"Sword","Épées","Schwert","剣","검","Espadas","Меч","Espada","ดาบ","劍",53,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/Filter Buttons/Swords",54,""
7,"Axe",8,2,4,66,4,"Axe","Haches","Axt","斧","도끼","Machados","Топор","Hacha","ขวาน","斧",27,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/Filter Buttons/Axe",27,""
8,"Mace",9,2,4,116,4,"Mace","Masses","Streitkolben","メイス","철퇴","Maças","Булава","Maza","กระบอง","錘",48,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/Filter Buttons/Maces",49,""
9,"Bow",10,2,4,70,4,"Bow","Arcs","Bogen","弓","활","Arcos","Лук","Arco","ธนู","弓",28,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/Filter Buttons/Bow",28,""
10,"Staff",11,2,4,92,4,"Staff","Bâtons","Stab","スタッフ","지팡이","Cajados","Посох","Báculo","ไม้พลอง","長杖",36,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/Filter Buttons/Staff",36,""
11,"Quiver",12,2,3,54,3,"Quiver","Carquois","Köcher","矢筒","화살통","Aljavas","Колчан","Carcaj","ซองธนู","箭袋",20,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/Filter Buttons/Quiver",21,""
12,"Belt",13,2,1,136,1,"Belt","Ceintures","Gürtel","ベルト","허리띠","Cintos","Пояс","Cinturón","เข็มขัด","腰帶",53,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/Filter Buttons/Belt",55,""
13,"Gloves",14,2,2,178,2,"Gloves","Gants","Handschuhe","手袋","장갑","Luvas","Перчатки","Guantes","ถุงมือ","手套",80,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/Filter Buttons/Gloves",80,""
14,"Boots",15,2,2,172,2,"Boots","Bottes","Stiefel","靴","장화","Botas","Сапоги","Botas","รองเท้า","鞋子",70,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/Filter Buttons/Boots",71,""
15,"Body Armour",16,2,3,204,3,"Body Armour","Armures","Körperrüstung","鎧","갑옷","Peitorais","Нательный доспех","Armadura","เสื้อเกราะ","胸甲",88,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/Filter Buttons/Armour",89,""
16,"Helmet",17,2,2,246,2,"Helmet","Casques","Helm","兜","투구","Elmos","Шлем","Casco","หมวก","頭盔",100,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/Filter Buttons/Helmet",101,""
17,"Shield",18,2,4,158,4,"Shield","Boucliers","Schild","盾","방패","Escudos","Щит","Escudo","โล่","盾牌",66,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/Filter Buttons/Shield",67,""
18,"Map",19,1,1,32,1,"Map","Cartes","Karte","マップ","지도","Mapas","Карта","Mapa","แผนที่","地圖",31,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/Filter Buttons/Maps",31,""
19,"Jewel",20,1,1,187,1,"Jewel","Joyaux","Juwel","ジュエル","주얼","Joias","Самоцвет","Joya","จิวเวล","珠寶",107,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/Filter Buttons/Jewels",107,""
20,"Watchstone",21,1,1,15,1,"Watchstone","Pierre de veille","Wächterstein","ウォッチストーン","감시자의 돌","Pedras Sentinela","Камень Хранителя","Roca del vigilante","อัญมณีผู้พิทักษ์","守望石",15,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/Filter Buttons/Watchstone",15,1
21,"HeistContract",22,1,1,6,1,"Contract","Contrat","Auftrag","依頼書","계약","Contrato","Контракт","Contrato","สัญญาจ้าง","契約書",5,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/Filter Buttons/Contract",5,""
