"rownum","Id","Currencies","CurrencyCount","[rid]","Disabled","ItemClassText (English)","ItemClassText (French)","ItemClassText (German)","ItemClassText (Japanese)","ItemClassText (Korean)","ItemClassText (Portuguese)","ItemClassText (Russian)","ItemClassText (Spanish)","ItemClassText (Thai)","ItemClassText (Traditional Chinese)","i32"
0,"AltSpam","[0,1,2,3,4,5,6]","[1,200,100,1,3,20,1]",[],"","<whiteitem>{Normal} Item","<whiteitem>{Normal} Objet","<whiteitem>{normalen} Gegenstand","<whiteitem>{ノーマル} アイテム","<whiteitem>{일반} 아이템","<whiteitem>{Normal} Item","<whiteitem>{Normal} предмет","Objeto <whiteitem>{normal}","ไอเทม<whiteitem>{ธรรมดา}","<whiteitem>{普通} 物品",1
1,"Essences","[7,12,12,12,12,12,4,6]","[20,4,4,4,4,4,20,1]","[35,41,50,37]",1,"<whiteitem>{Normal} Essence craftable Item","<whiteitem>{Normal} Essence","<whiteitem>{normalen} mit Essenzen anfertigbaren Gegenstand","<whiteitem>{ノーマル} エッセンスでクラフトできるアイテム","<whiteitem>{일반} 에센스 제작 아이템","<whiteitem>{Normal} Item forjável com Essência","<whiteitem>{Normal} предмет под ремесло с Сущностью","Objeto de fabricación de esencias <whiteitem>{normal}","ไอเทม<whiteitem>{ธรรมดา}ที่​คราฟท์​ได้​ด้วย​เอสเซนส์","<whiteitem>{普通} 精髓工藝物品",1
2,"ChaosSpam","[8,9,4,5,10,6]","[1,200,6,20,20,1]",[],"","<whiteitem>{Normal} Item","<whiteitem>{Normal} Objet","<whiteitem>{normalen} Gegenstand","<whiteitem>{ノーマル} アイテム","<whiteitem>{일반} 아이템","<whiteitem>{Normal} Item","<whiteitem>{Normal} предмет","Objeto <whiteitem>{normal}","ไอเทม<whiteitem>{ธรรมดา}","<whiteitem>{普通} 物品",1
3,"ExaltAnnul","[8,11,4,5,10,6]","[1,100,100,5,5,1]",[],"","<whiteitem>{Normal} Item","<whiteitem>{Normal} Objet","<whiteitem>{normalen} Gegenstand","<whiteitem>{ノーマル} アイテム","<whiteitem>{일반} 아이템","<whiteitem>{Normal} Item","<whiteitem>{Normal} предмет","Objeto <whiteitem>{normal}","ไอเทม<whiteitem>{ธรรมดา}","<whiteitem>{普通} 物品",1
4,"HardModeShieldCraft","[0,1,2,3,4,11,6]","[1,20,20,1,20,20,1]",[26],"","<whiteitem>{Normal} Shield","<whiteitem>{Normal} Bouclier","<whiteitem>{normalen} Schild","<whiteitem>{ノーマル} 盾","<whiteitem>{일반} 방패","<whiteitem>{Normal} Escudo","<whiteitem>{Normal} щит","Escudo <whiteitem>{normal}","โล่<whiteitem>{ธรรมดา}","<whiteitem>{普通} 盾牌",1
5,"HardModeBeltCraft","[0,1,2,3,4,11,6]","[1,20,20,1,20,20,1]",[21],"","<whiteitem>{Normal} Belt","<whiteitem>{Normal} Ceinture","<whiteitem>{normalen} Gürtel","<whiteitem>{ノーマル} ベルト","<whiteitem>{일반} 허리띠","<whiteitem>{Normal} Cinto","<whiteitem>{Normal} пояс","Cinturón <whiteitem>{normal}","เข็มขัด<whiteitem>{ธรรมดา}","<whiteitem>{普通} 腰帶",1
6,"HardModeGloveCraft","[0,1,2,3,4,11,6]","[1,20,20,1,20,20,1]",[22],"","<whiteitem>{Normal} Gloves item","<whiteitem>{Normal} Gants","<whiteitem>{normale} Handschuhe","<whiteitem>{ノーマル} 手袋","<whiteitem>{일반} 장갑 아이템","<whiteitem>{Normal} Item Luvas","<whiteitem>{Normal} перчатки","Guantes <whiteitem>{normales}","ไอเทมถุงมือ<whiteitem>{ธรรมดา}","<whiteitem>{普通} 手套",1
7,"HardModeBodyArmourCraft","[0,1,2,3,4,11,6]","[1,20,20,1,20,20,1]",[24],"","<whiteitem>{Normal} Body Armour","<whiteitem>{Normal} Armure","<whiteitem>{normale} Körperrüstung","<whiteitem>{ノーマル} 鎧","<whiteitem>{일반} 갑옷","<whiteitem>{Normal} Peitoral","<whiteitem>{Normal} нательный доспех","Armadura <whiteitem>{normal}","เสื้อเกราะ<whiteitem>{ธรรมดา}","<whiteitem>{普通} 胸甲",1
8,"HardModeHelmetCraft","[0,1,2,3,4,11,6]","[1,20,20,1,20,20,1]",[25],"","<whiteitem>{Normal} Helmet","<whiteitem>{Normal} Casque","<whiteitem>{normalen} Helm","<whiteitem>{ノーマル} 兜","<whiteitem>{일반} 투구","<whiteitem>{Normal} Elmo","<whiteitem>{Normal} шлем","Casco <whiteitem>{normal}","หมวก<whiteitem>{ธรรมดา}","<whiteitem>{普通} 頭盔",1
9,"HardModeRingCraft","[0,1,2,3,4,11,6]","[1,20,20,1,20,20,1]",[5],"","<whiteitem>{Normal} Ring","<whiteitem>{Normal} Bague","<whiteitem>{normalen} Ring","<whiteitem>{ノーマル} 指輪","<whiteitem>{일반} 반지","<whiteitem>{Normal} Anel","<whiteitem>{Normal} кольцо","Anillo <whiteitem>{normal}","แหวน<whiteitem>{ธรรมดา}","<whiteitem>{普通} 戒指",1
