"rownum","Id","Text (English)","Text (French)","Text (German)","Text (Japanese)","Text (Korean)","Text (Portuguese)","Text (Russian)","Text (Spanish)","Text (Thai)","Text (Traditional Chinese)","StatsKeys1","CharacterPanelDescriptionModesKey","StatsKeys2","StatsKeys3","CharacterPanelTabsKey","bool","[i32]","i32"
0,"Life","Life","Vie","Leben","ライフ","생명력","Vida","Здоровье","Vida","พลังชีวิต","生命",[244],0,[],[],4,"",[],0
1,"Mana","Mana","Mana","Mana","マナ","마나","Mana","Мана","Maná","มานา","魔力",[245],0,[],[],4,"",[],0
2,"EnergyShield","Maximum Energy Shield","Bouclier d'énergie maximal","Energieschild","最大エナジーシールド","에너지 보호막 최대치","Escudo de Energia Máximo","Максимум энергетического щита","Escudo de energía máximo","โล่พลังงานสูงสุด","最大能量護盾",[246],0,[],[],4,"",[],4
3,"GamepadEnergyShield","Energy Shield","Bouclier d'énergie","Energieschild","エナジーシールド","에너지 보호막","Escudo de Energia","Энергетический щит","Escudo de energía","โล่พลังงาน","能量護盾",[246],0,[],[],4,"",[],2
4,"GamepadArmour","Armour","Armure","Rüstung","アーマー","방어도","Armadura","Броня","Armadura","ค่าเกราะ","護甲值",[240],0,[],[],4,1,[],2
5,"GamepadEvasion","Evasion","Évasion","Ausweichen","回避力","회피","Evasão","Уклонение","Evasión","การหลบหลีก","閃避值",[281],0,[],[],4,1,[],2
6,"GamepadFireResist","Fire","Feu","Feuer","火耐性","화염","Fogo","Огонь","Fuego","ไฟ","火焰","[307,2046]",5,[],[],5,"",[],2
7,"GamepadColdResist","Cold","Froid","Kälte","冷気耐性","냉기","Gelo","Холод","Hielo","น้ำแข็ง","冰冷","[306,2047]",5,[],[],5,"",[],2
8,"GamepadLightningResist","Lightning","Foudre","Blitz","雷耐性","번개","Raio","Молнии","Rayo","สายฟ้า","閃電","[308,2048]",5,[],[],5,"",[],2
9,"GamepadChaosResist","Chaos","Chaos","Chaos","混沌耐性","카오스","Caos","Хаос","Caos","เคออส","混沌","[309,2049]",5,[],[],5,"",[],2
10,"DPS","Damage per Second","Dégâts par seconde","Schaden pro Sekunde","秒間ダメージ","DPS","Dano por Segundo","Урон в секунду","Daño por segundo","ความเสียหายต่อวินาที","每秒傷害",[676],0,[],[2096],0,1,[14],0
11,"DamagePerUse","Damage per Use","Dégâts par utilisation","Schaden pro Nutzung","使用ごとのダメージ","사용 시 피해","Dano por Utilização","Урон за использование","Daño por uso","ความเสียหายต่อการใช้หนึ่งครั้ง","每次施放傷害",[1996],0,[],[],0,1,[14],0
12,"MH_HitChance","Main Hand Chance to Hit","Chances de toucher (Main principale)","Haupthand: Trefferchance","メインハンド命中率","주 무기 명중 확률","Chance de Acertar","Шанс попадания правой рукой","Probabilidad de golpear de la mano principal","โอกาสปะทะ ของมือหลัก","主手命中機率",[673],1,[7650],"[435,1635]",0,1,[],0
13,"MH_HitChanceEvasive","Main Hand Chance to Hit Evasive Monsters","Chances de toucher les monstres avec de l'Évasion (Main principale)","Haupthand: Trefferchance gegen ausweichende Monster","回避力の高い敵へのメインハンド命中率","주 무기 회피 몬스터 명중 확률","Chance da Mão Principal de Acertar Monstros Evasivos","Шанс попадания по увёртливым врагам правой рукой","<size:22>{Probabilidad de golpear a monstruos evasivos de la mano principal}","โอกาสปะทะมอนสเตอร์ที่หลบเก่ง ของมือหลัก","主手命中高閃避怪物機率",[9376],1,[7650],"[435,1635]",0,1,[],0
14,"OH_HitChance","Off Hand Chance to Hit","Chances de toucher (Main secondaire)","Nebenhand: Trefferchance","オフハンド命中率","보조 장비 명중 확률","Chance de Acerto com Mão Secundária","Шанс попадания левой рукой","Probabilidad de golpear de la mano secundaria","โอกาสปะทะ ของมือรอง","副手命中機率",[674],1,[7651],"[435,1635]",0,1,[],0
15,"OH_HitChanceEvasive","Off Hand Chance to Hit Evasive Monsters","Chances de toucher les monstres avec de l'Évasion (Main secondaire)","Nebenhand: Trefferchance gegen ausweichende Monster","回避力の高い敵へのオフハンド命中率","보조 장비 회피 몬스터 명중 확률","Chance da Mão Secundária de Acertar Monstros Evasivos","Шанс попадания по увёртливым врагам левой рукой","<size:22>{Probabilidad de golpear a monstruos evasivos de la mano secundaria}","โอกาสปะทะมอนสเตอร์ที่หลบเก่ง ของมือรอง","副手命中高閃避怪物機率",[9377],1,[7651],"[435,1635]",0,1,[],0
16,"APS","Attacks per Second","Attaques par seconde","Angriffe pro Sekunde","秒間アタック回数","초당 공격 횟수","Ataques por Segundo","Атак в секунду","Ataques por segundo","จำนวนการโจมตีต่อวินาที","每秒攻擊次數",[675],0,[],"[435,1635,8140]",0,1,[14],0
17,"CPS","Casts per Second","Incantations par seconde","Zauber pro Sekunde","秒間キャスト回数","초당 시전 횟수","Conjurações por Segundo","Количество сотворений в секунду","Lanzamientos de hechizos por segundo","จำนวนการร่ายต่อวินาที","每秒施放次數",[679],0,[435],"[1635,8140]",0,1,[14],0
18,"MH_TotalDamage","Main Hand Total Combined Damage","Total des Dégâts (Main principale)","Haupthand: Gesamtschaden","メインハンド合計ダメージ","주 무기 총 종합 피해","Dano Combinado Total da Mão Principal","Общий комбинированный урон оружия в правой руке","Daño combinado total de la mano principal","ความเสียหาย ทุกชนิดรวมกัน ของมือหลัก","主手傷害總和","[667,668]",2,[7650],"[435,1635]",0,1,[],0
