"rownum","Id","StoredItem","XOffset","YOffset","FirstSlotIndex","Width","Height","SlotSize","BackgroundImage","ButtonImage"
0,"Metadata/Items/Currency/CurrencyJewelleryQualityElemental",285,184,62,0,1,1,72,"",""
1,"Metadata/Items/Currency/CurrencyJewelleryQualityCaster",286,282,62,1,1,1,72,"",""
2,"Metadata/Items/Currency/CurrencyJewelleryQualityAttack",287,380,62,2,1,1,72,"",""
3,"Metadata/Items/Currency/CurrencyJewelleryQualityDefense",283,202,172,3,1,1,72,"",""
4,"Metadata/Items/Currency/CurrencyJewelleryQualityResource",284,300,172,4,1,1,72,"",""
5,"Metadata/Items/Currency/CurrencyJewelleryQualityResistance",288,563,172,5,1,1,72,"",""
6,"Metadata/Items/Currency/CurrencyJewelleryQualityAttribute",289,659,172,6,1,1,72,"",""
7,"GenericSlot","",405,165,7,2,4,64,"",""
8,"Metadata/Items/Metamorphosis/MetamorphosisBrain",9518,-199,0,9,10,5,54,"Art/2DArt/UIImages/InGame/MTX/Metamorph/MetamorphTabBackgroundSubInventoryBrain","Art/2DArt/UIImages/InGame/MTX/Metamorph/BrainButton"
9,"Metadata/Items/Metamorphosis/MetamorphosisEye",9519,-100,0,19,10,5,54,"Art/2DArt/UIImages/InGame/MTX/Metamorph/MetamorphTabBackgroundSubInventoryEyeball","Art/2DArt/UIImages/InGame/MTX/Metamorph/EyeButton"
10,"Metadata/Items/Metamorphosis/MetamorphosisLiver",9520,198,0,29,10,5,54,"Art/2DArt/UIImages/InGame/MTX/Metamorph/MetamorphTabBackgroundSubInventoryLiver","Art/2DArt/UIImages/InGame/MTX/Metamorph/LiverButton"
11,"Metadata/Items/Metamorphosis/MetamorphosisLung",9521,-1,0,39,10,5,54,"Art/2DArt/UIImages/InGame/MTX/Metamorph/MetamorphTabBackgroundSubInventoryLungs","Art/2DArt/UIImages/InGame/MTX/Metamorph/LungsButton"
12,"Metadata/Items/Metamorphosis/MetamorphosisHeart",9522,98,0,49,10,5,54,"Art/2DArt/UIImages/InGame/MTX/Metamorph/MetamorphTabBackgroundSubInventoryHeart","Art/2DArt/UIImages/InGame/MTX/Metamorph/HeartButton"
13,"Metadata/Items/Currency/CurrencyJewelleryQualityCritical",292,478,62,59,1,1,72,"",""
14,"Metadata/Items/Currency/CurrencyJewelleryQualitySpeed",291,576,62,60,1,1,72,"",""
15,"Metadata/Items/Currency/CurrencyJewelleryQualityPhysicalChaos",290,674,62,61,1,1,72,"",""
