"rownum","Id","TimeoutInSeconds","ChargesShared","Player_ShrineBuffsKey","i32","i32","Monster_ShrineBuffsKey","SummonMonster_MonsterVarietiesKey","SummonPlayer_MonsterVarietiesKey","i32","Duration","ShrineSoundsKey","bool","AchievementItemsKeys","IsPVPOnly","bool","IsLesserShrine","Description","Name","bool","rid","[rid]"
0,"Acceleration",0,"",374,30,1,375,"","",50,45,3,"",[10390],"",1,"",6036,6035,"","",[]
1,"Lightning",0,"",386,80,4,"",2853,2854,0,45,2,"",[10390],"","","",6038,6037,"","",[]
2,"Cold",0,"",385,80,4,"",2855,2856,0,45,0,"",[10390],"","","",6040,6039,"","",[]
3,"Fire",0,"",384,0,10,"",2851,2852,0,45,1,"",[10390],"","","",6042,6041,"","",[]
4,"Arc",0,"",387,0,10,"",2859,2860,0,45,2,"","[516,10390]","","","",6044,6043,"","",[]
5,"Criticals",0,"",382,30,1,383,"","",50,45,7,"",[10390],"",1,"",6046,6045,"","",[]
6,"Brutal",0,"",378,30,1,379,"","",50,45,5,"",[10390],"",1,"",6048,6047,"","",[]
7,"Thorns",0,"",380,0,40,381,"","",50,45,6,"","[519,10390]","",1,"",6050,6049,"","",[]
8,"Regen",0,1,376,30,1,377,"","",50,45,4,"",[10390],"",1,"",6052,6051,"","",[]
9,"Massive",0,"",394,60,10,395,"","",50,45,4,"",[10390],"",1,"",6054,6053,"","",[]
10,"Defence",0,"",396,80,25,397,"","",50,45,6,"",[10390],"",1,"",6056,6055,"","",[]
11,"Resistance",0,"",398,80,40,399,"","",50,45,6,"",[10390],"",1,"",6058,6057,"","",[]
12,"GodMode",0,"",400,3,60,401,"","",50,20,6,"",[10390],"",1,"",6060,6059,"","",[]
13,"Multi",0,"",391,10,60,390,"","",50,45,7,"",[10390],"",1,"",6062,6061,"","",[]
14,"Curses",0,"",393,0,25,392,"",3138,50,45,5,"","[526,10390]","","","",6064,6063,"","",[]
15,"Skeletons",0,"",388,40,25,"",2861,2862,0,45,8,"",[10390],"","","",6066,6065,"","",[]
16,"Smoke",0,"",389,60,40,"",2857,2858,0,45,9,"",[10390],"","","",6068,6067,"","",[]
17,"PVPAcceleration",45,"",374,100,0,"","","",0,12,3,1,[],"","","",6070,6069,"","",[]
18,"PVPRegen",45,1,376,100,0,"","","",0,12,4,1,[],"","","",6072,6071,"","",[]
19,"PVPBrutal",45,"",378,100,0,"","","",0,20,5,1,[],"","","",6074,6073,"","",[]
20,"CTFBrutal",45,"",378,100,0,"","","",0,20,5,1,[],1,"","",6076,6075,"","",[]
21,"CTFRegen",45,1,376,100,0,"","","",0,20,4,1,[],1,"","",6078,6077,"","",[]
22,"CTFMassive",45,"",394,100,0,"","","",0,20,4,1,[],1,"","",6080,6079,"","",[]
23,"CTFDefence",45,"",396,100,0,"","","",0,20,6,1,[],1,"","",6082,6081,"","",[]
24,"AccelerationLesser",0,"",403,30,1,"","","",0,20,3,"",[],"",1,1,6036,6083,"","",[]
25,"BrutalLesser",0,"",404,30,1,"","","",0,20,5,"",[],"",1,1,6048,6084,"","",[]
26,"RegenLesser",0,"",405,30,1,"","","",0,20,4,"",[],"",1,1,6052,6085,"","",[]
27,"MassiveLesser",0,"",406,60,1,"","","",0,20,4,"",[],"",1,1,6054,6086,"","",[]
28,"ResistanceLesser",0,"",407,80,1,"","","",0,20,6,"",[],"",1,1,6058,6087,"","",[]
29,"DefenceLesser",0,"",408,80,1,"","","",0,20,6,"",[],"",1,1,6056,6088,"","",[]
30,"Resonating",0,"",409,10,60,410,"","",50,45,10,"",[10390],"",1,"",6090,6089,"","",[]
31,"Gloom",0,"",411,10,60,412,"","",50,45,11,"",[10390],"",1,"",6092,6091,"","",[]
32,"RoyaleShrineAccelerating",60,"",419,100,0,"","","",0,10,3,"",[],"","","",6036,6035,1,"",[]
33,"RoyaleShrineBrutal",60,"",420,100,0,"","","",0,10,5,"",[],"","","",6048,6047,1,"",[]
34,"RoyaleShrineBurning",60,"",421,0,0,"",2851,2852,0,10,1,"",[],"","","",6042,6041,1,"",[]
35,"RoyaleShrineCharged",60,"",422,100,0,"","","",0,10,10,"",[],"","","",6090,6089,1,"",[]
36,"RoyaleShrineDiamond",60,"",423,100,0,"","","",0,10,7,"",[],"","","",6046,6045,1,"",[]
37,"RoyaleShrineEchoing",60,"",424,100,0,"","","",0,10,7,"",[],"","","",6062,6061,1,"",[]
