"rownum","Tattoo","Override","Set","Tribe","OverrideType"
0,4647,0,0,0,""
1,4648,1,0,0,""
2,4649,2,0,0,""
3,4650,3,0,0,""
4,4651,4,0,0,""
5,4652,5,0,0,""
6,4653,6,0,0,""
7,4654,7,0,1,""
8,4655,8,0,1,""
9,4656,9,0,1,""
10,4657,10,2,1,""
11,4658,11,0,1,""
12,4659,12,0,1,""
13,4660,13,0,1,""
14,4661,14,0,2,""
15,4662,15,0,2,""
16,4663,16,0,2,""
17,4664,17,0,2,""
18,4665,18,0,2,""
19,4666,19,0,2,""
20,4667,20,0,2,""
21,4668,21,0,3,""
22,4669,22,0,3,""
23,4670,23,0,3,""
24,4671,24,2,3,""
25,4672,25,0,3,""
26,4673,26,0,3,""
27,4674,27,0,3,""
28,4675,28,0,4,""
29,4676,29,1,4,""
30,4677,30,2,4,""
31,4678,31,1,4,""
32,4679,32,1,4,""
33,4680,33,1,4,""
34,4681,34,2,4,""
35,4682,35,1,5,""
36,4683,36,1,5,""
37,4684,37,1,5,""
38,4685,38,2,5,""
39,4686,39,2,5,""
40,4687,40,1,5,""
41,4688,41,1,5,""
42,4689,42,1,6,""
43,4690,43,1,6,""
44,4691,44,1,6,""
45,4692,45,1,6,""
46,4693,46,1,6,""
47,4694,47,1,6,""
48,4695,48,1,6,""
49,4696,49,2,7,""
50,4697,50,2,7,""
51,4698,51,2,7,""
52,4699,52,2,7,""
53,4700,53,2,7,""
54,4701,54,2,7,""
55,4702,55,2,7,""
56,4703,56,1,8,""
57,4704,57,1,8,""
58,4705,58,2,8,""
59,4706,59,1,8,""
60,4707,60,2,8,""
61,4708,61,2,8,""
62,4709,62,1,8,""
63,4710,63,2,9,""
64,4711,64,2,9,""
65,4712,65,2,9,""
66,4713,66,0,9,""
67,4714,67,2,9,""
68,4715,68,2,9,""
69,4716,69,2,9,""
70,4717,70,3,10,""
71,4718,71,3,10,""
72,4719,72,3,10,""
73,4720,73,3,10,""
74,4721,74,3,10,""
75,4722,75,3,10,""
76,4723,76,3,10,""
77,4724,77,3,10,""
78,4725,78,4,10,""
79,4726,79,4,10,""
80,4727,80,4,10,""
81,4728,81,5,10,""
82,4729,82,5,10,""
83,4730,83,5,10,""
84,4731,84,6,10,""
85,4732,85,6,10,""
86,4733,86,6,10,""
87,4734,87,3,10,""
88,4735,88,3,10,""
89,4736,89,4,10,""
90,4737,90,5,10,""
91,4738,91,6,10,""
92,4739,92,7,10,15
