"rownum","HideoutArea","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","rid","i32","i32","string","[i32]","bool","bool","bool","rid","string"
0,1543,589667,0,65536,0,8650752,0,101056512,0,0,0,9699328,0,268500992,0,0,"Lush Hideout",[],"",1,1,"",""
1,1523,19794273,0,65536,0,28966912,0,99876864,0,0,0,30015488,0,553713664,0,16777216,"Robber's Trench Hideout",[],"",1,1,"",""
2,1571,41578294,0,65536,0,50462720,0,103022592,0,0,0,51511296,0,3355508736,0,16777216,"Battle-scarred Hideout",[],"",1,1,"",""
3,1567,63865549,0,65536,0,71827456,0,102760448,0,0,0,72876032,0,3355508736,0,16777216,"Coastal Hideout",[],"",1,1,"",""
4,1573,83501761,0,65536,0,91750400,0,103153664,0,0,0,92798976,0,3355508736,0,16777216,"Enlightened Hideout",[],"",1,1,"",""
5,1577,104527247,0,65536,0,112721920,0,103415808,0,0,0,113770496,0,1677787136,0,16777216,"Overgrown Hideout",[],"",1,1,"",""
6,1575,124925101,0,65536,0,133169152,0,103284736,0,0,0,134217728,0,3355508736,0,16777216,"Immaculate Hideout",[],"",1,1,"",""
7,1569,145666192,0,65536,0,154271744,0,102891520,0,0,0,155320320,0,3355508736,0,16777216,"Unearthed Hideout",[],"",1,1,"",""
8,1565,166524075,0,65536,0,174456832,0,102629376,0,0,0,175505408,0,3355508736,0,16777216,"Backstreet Hideout",[],"",1,1,"",""
9,1545,186937898,0,65536,0,195035136,0,101187584,0,0,0,196083712,0,268500992,0,0,"Undercity Hideout",[],"",1,1,"",""
10,1549,207280367,0,65536,0,215089152,0,101449728,0,0,0,216137728,0,268500992,0,0,"Excavated Hideout",[],"",1,1,"",""
11,1535,227310816,0,131072,0,235405312,0,100663296,0,0,0,237502464,0,268500992,0,0,"Stately Hideout",[],"",1,1,"",""
12,1526,248137331,0,65536,0,256114688,0,99942400,0,0,0,257163264,0,268500992,0,0,"Coral Hideout",[],"",1,1,"",""
13,1551,267261930,0,65536,0,276168704,0,101580800,0,0,0,277217280,0,268500992,0,0,"Baleful Hideout",[],"",1,1,"",""
14,1553,287834862,0,65536,0,295829504,0,101711872,0,0,0,296878080,0,268500992,0,0,"Desert Hideout",[],"",1,1,"",""
15,1533,307294003,0,65536,0,315490304,0,100532224,0,0,0,316538880,0,268500992,0,0,"Skeletal Hideout",[],"",1,1,"",""
16,1531,327473228,0,65536,0,335413248,0,100401152,0,0,0,336461824,0,268500992,0,0,"Luxurious Hideout",[],"",1,1,"",""
17,1564,347658358,0,65536,0,356253696,0,0,0,0,0,357302272,0,65536,0,16777216,"Cartographer's Hideout",[],"",1,1,"",""
18,1554,369425940,0,0,0,378404864,0,-16908288,-16843010,-16843010,-16843010,378470142,0,65536,0,16777216,"Towering Hideout",[],"",1,1,6655,""
19,1555,389318192,0,0,0,398065664,0,-16908288,-16843010,-16843010,-16843010,398130942,0,65536,0,16777216,"Corrupted Hideout",[],"",1,1,6656,""
20,1556,409252394,0,0,0,418381824,0,-16908288,-16843010,-16843010,-16843010,418447102,0,65536,0,16777216,"Innocent Hideout",[],"",1,1,6657,""
21,1557,429302290,0,0,0,438042624,0,-16908288,-16843010,-16843010,-16843010,438107902,0,65536,0,16777216,"Shaped Hideout",[],"",1,1,6658,""
22,1558,448423937,0,0,0,456916992,0,-16908288,-16843010,-16843010,-16843010,456982270,0,65536,0,16777216,"Furious Hideout",[],"",1,1,6659,""
23,1559,467583732,0,0,0,476446720,0,-16908288,-16843010,-16843010,-16843010,476511998,0,65536,0,16777216,"Champion's Hideout",[],"",1,1,6660,""
24,1560,487770993,0,0,0,496631808,0,-16908288,-16843010,-16843010,-16843010,496697086,0,65536,0,16777216,"Indomitable Hideout",[],"",1,1,6661,""
25,1561,508339197,0,0,0,516947968,0,-16908288,-16843010,-16843010,-16843010,517013246,0,65536,0,16777216,"Morbid Hideout",[],"",1,1,6662,""
26,1562,527339684,0,0,0,537133056,0,-16908288,-16843010,-16843010,-16843010,537198334,0,65536,0,16777216,"Eclipsed Hideout","[8,9]","",1,1,6663,""
27,1563,548572698,0,0,0,557973504,0,-16908288,-16843010,-16843010,-16843010,558038782,0,65536,0,16777216,"Ravenous Hideout",[],"",1,1,6664,""
28,1537,568871262,0,65536,0,577241088,0,100794368,0,0,0,578289664,0,553713664,0,16777216,"Sunken Hideout",[],"",1,1,"",""
29,1527,589203244,0,65536,0,597295104,0,0,0,0,0,598343680,0,65536,0,16777216,"Celestial Hideout",[],"",1,1,"",""
30,1583,609928174,0,65536,0,619053056,0,103809024,0,0,0,620101632,0,3288399872,0,16777216,"Divided Hideout",[],"",1,1,"",""
31,1539,631697042,0,65536,0,640417792,0,100925440,0,0,0,641466368,0,553713664,0,16777216,"Arboreal Hideout",[],"",1,1,"",""
32,1587,652761790,0,65536,0,661913600,0,104071168,0,0,0,662962176,0,553713664,0,16777216,"Haunted Hideout",[],"",1,1,"",""
33,1529,673617636,0,65536,0,682360832,0,100270080,0,0,0,683409408,0,1677787136,0,16777216,"Brutal Hideout",[],"",1,1,"",""
34,1581,694458638,0,65536,0,703463424,0,103677952,0,0,0,704512000,0,553713664,0,16777216,"Sanguine Hideout",[],"",1,1,"",""
35,1579,716110621,0,65536,0,724303872,0,103546880,0,0,0,725352448,0,1677787136,0,16777216,"Glacial Hideout",[],"",1,1,"",""
36,1585,735978867,0,65536,0,744357888,0,103940096,0,0,0,745406464,0,1677787136,0,16777216,"Alpine Hideout",[],"",1,1,"",""
37,1593,756077666,0,0,0,764542976,0,-16908288,-16843010,-16843010,-16843010,764608254,0,65536,0,16777216,"Doomguard Hideout",[],"",1,1,6665,""
38,1594,775721989,0,0,0,784072704,0,-16908288,-16843010,-16843010,-16843010,784137982,0,65536,0,16777216,"Sunspire Hideout",[],"",1,1,6666,""
39,1595,794953419,0,0,0,803340288,0,-16908288,-16843010,-16843010,-16843010,803405566,0,65536,0,16777216,"Glimmerwood Hideout",[],"",1,1,6667,""
40,1546,814647502,0,0,0,822607872,0,-16908288,-16843010,-16843010,-16843010,822673150,0,65536,0,16777216,"Celestial Nebula Hideout",[],"",1,1,6668,""
41,1547,835483709,0,0,0,845152256,0,-16908288,-16843010,-16843010,-16843010,845217534,0,65536,0,16777216,"Entombed Hideout",[],"",1,1,6669,""
42,1596,856057278,0,0,0,864681984,0,-16908288,-16843010,-16843010,-16843010,864747262,0,65536,0,16777216,"Void Hideout",[],"",1,1,6670,""
43,1597,874576266,0,0,0,882638848,0,-16908288,-16843010,-16843010,-16843010,882704126,0,65536,0,16777216,"Chiyou Hideout",[],1,1,1,6671,""
44,1598,893026401,0,0,0,901644288,0,-16908288,-16843010,-16843010,-16843010,901709566,0,65536,0,16777216,"Infinite Abyss Hideout",[],"",1,1,6672,""
45,1599,912680988,0,0,0,921174016,0,-16908288,-16843010,-16843010,-16843010,921239294,0,65536,0,16777216,"Urban Sprawl Hideout",[],"",1,1,6673,""
46,1600,931852615,0,0,0,940572672,0,-16908288,-16843010,-16843010,-16843010,940637950,0,65536,0,16777216,"Boundless Skies Hideout",[],"",1,1,6674,""
47,1601,951874031,0,0,0,960626688,0,-16908288,-16843010,-16843010,-16843010,960691966,0,65536,0,16777216,"Endless Sands Hideout",[],"",1,1,6675,""
48,1602,971671258,0,0,0,980156416,0,-16908288,-16843010,-16843010,-16843010,980221694,0,65536,0,16777216,"Eternal Wasteland Hideout",[],"",1,1,6676,""
49,1603,991434497,0,0,0,1000079360,0,-16908288,-16843010,-16843010,-16843010,1000144638,0,65536,0,16777216,"Vast Plains Hideout",[],"",1,1,6677,""
50,1604,1010754506,0,0,0,1019084800,0,-16908288,-16843010,-16843010,-16843010,1019150078,0,65536,0,16777216,"All at Sea Hideout",[],"",1,1,6678,""
51,1605,1029312010,0,0,0,1037828096,0,-16908288,-16843010,-16843010,-16843010,1037893374,0,65536,0,16777216,"Glacial Expanse Hideout",[],"",1,1,6679,""
52,1606,1048843613,0,0,0,1057619968,0,-16908288,-16843010,-16843010,-16843010,1057685246,0,65536,0,16777216,"Thaumaturgical Hideout",[],"",1,1,6680,""
53,1607,1070125650,0,0,0,1078198272,0,-16908288,-16843010,-16843010,-16843010,1078263550,0,65536,0,16777216,"Yaochi Hideout",[],1,1,1,6681,""
54,1608,1088618054,0,0,0,1097334784,0,-16908288,-16843010,-16843010,-16843010,1097400062,0,65536,0,16777216,"Humanoid Pet Hideout",[],1,1,1,6682,""
55,1589,1109183110,0,65536,0,1118044160,0,104202240,0,0,0,1119092736,0,553713664,0,16777216,"Nocturnal Hideout",[],"",1,1,"",""
56,1591,1130426206,0,65536,0,1138753536,0,104333312,0,0,0,1139802112,0,553713664,0,16777216,"Primeval Hideout",[20],"",1,1,"",""
57,1609,1151620902,0,0,0,1160511488,0,-16908288,-16843010,-16843010,-16843010,1160576766,0,65536,0,16777216,"Ritualist's Hideout",[],1,1,1,6683,""
58,1610,1171534527,0,0,0,1180172288,0,-16908288,-16843010,-16843010,-16843010,1180237566,0,65536,0,16777216,"Crucible Hideout",[],"",1,1,6684,""
59,1611,1191079359,0,0,0,1199177728,0,-16908288,-16843010,-16843010,-16843010,1199243006,0,65536,0,16777216,"Tavern Hideout",[],"",1,1,6685,""
60,1612,1209557355,0,0,0,1218314240,0,-16908288,-16843010,-16843010,-16843010,1218379518,0,65536,0,16777216,"Azurite Cavern Hideout",[],"",1,1,6686,""
61,1613,1230641689,0,0,0,1239547904,0,-16908288,-16843010,-16843010,-16843010,1239613182,0,65536,0,16777216,"Synthesis Hideout",[],"",1,1,6687,""
62,1614,1250740574,0,0,0,1259864064,0,-16908288,-16843010,-16843010,-16843010,1259929342,0,65536,0,16777216,"Redeemer's Hideout",[],"",1,1,6688,""
63,1616,1271151395,0,0,0,1280704512,0,-16908288,-16843010,-16843010,-16843010,1280769790,0,65536,0,16777216,"Cataclysmic Hideout",[],1,1,1,"",""
64,1615,814626646,0,0,0,1292369920,0,-16908288,-16843010,-16843010,-16843010,822673150,0,65536,0,16777216,"Black Void Hideout",[],"",1,1,"",""
65,1617,1295012103,0,0,0,1303773184,0,-16908288,-16843010,-16843010,-16843010,1303838462,0,65536,0,16777216,"Ancestral Hideout",[],"",1,1,6689,""
66,1618,1314979169,0,0,0,1322909696,0,-16908288,-16843010,-16843010,-16843010,1322974974,0,65536,0,16777216,"Timekeeper's Hideout","[31,32]","",1,1,6690,""
67,1619,1335242312,0,0,0,1343094784,0,-16908288,-16843010,-16843010,-16843010,1343160062,0,65536,0,16777216,"Ghost-lit Graveyard Hideout","[29,30]","",1,1,6691,""
68,1620,1356204040,0,0,0,1365377024,0,-16908288,-16843010,-16843010,-16843010,1365442302,0,65536,0,16777216,"Polaric Hideout",[33],"",1,1,6692,""
69,1621,1376569611,0,0,0,1386348544,0,-16908288,-16843010,-16843010,-16843010,1386413822,0,65536,0,16777216,"Seething Hideout",[],"",1,1,6693,""
