"rownum","Contract_BaseItemTypesKey","Level","Cost","CostHardmode"
0,0,1,0,""
1,2,1,1,""
2,4,1,2,""
3,5,1,3,""
4,6,1,4,""
5,7,1,5,""
6,8,1,6,""
7,10,1,7,38
8,11,1,8,""
9,12,1,9,""
10,13,1,10,""
11,14,1,11,""
12,15,1,12,""
13,16,1,13,""
14,17,1,14,""
15,18,1,15,""
16,19,1,16,""
17,20,1,17,""
18,21,1,18,""
19,22,1,19,""
20,23,1,20,""
21,24,1,21,""
22,47,1,22,122
23,49,1,23,122
24,51,1,24,""
25,186,1,25,""
26,187,1,26,""
27,188,1,27,""
28,9,1,28,123
29,230,1,29,""
30,231,1,30,""
31,232,1,31,""
32,233,1,32,""
33,234,1,33,""
34,235,1,34,""
35,236,1,35,""
36,237,1,36,""
37,238,1,37,""
38,363,1,39,115
39,364,1,40,115
40,365,1,41,115
41,366,1,42,115
42,367,1,43,115
43,368,1,43,115
44,370,1,43,115
45,371,1,43,115
46,372,1,44,116
47,373,1,44,116
48,374,1,44,116
49,376,1,44,116
50,377,1,44,116
51,378,1,45,117
52,379,1,45,117
53,380,1,45,117
54,388,1,39,""
55,385,1,41,115
56,386,1,43,116
57,387,1,45,117
58,389,1,39,115
59,390,1,40,115
60,391,1,41,115
61,392,1,42,115
62,393,1,43,115
63,394,1,43,115
64,395,1,43,115
65,396,1,43,115
66,398,1,43,115
67,399,1,43,115
68,400,1,43,115
69,401,1,44,116
70,402,1,44,116
71,403,1,44,116
72,404,1,44,116
73,406,1,44,116
74,407,1,44,116
75,408,1,45,117
76,409,1,45,117
77,410,1,45,117
78,411,1,45,117
79,412,1,45,117
80,420,1,39,115
81,421,1,46,115
82,422,1,41,115
83,423,1,42,115
84,424,1,43,115
85,425,1,43,115
86,426,1,43,115
87,427,1,43,115
88,429,1,43,115
89,430,1,43,115
90,431,1,44,116
91,432,1,44,116
92,433,1,44,116
93,434,1,44,116
94,435,1,44,116
95,437,1,44,116
96,438,1,45,117
97,439,1,45,117
98,440,1,45,117
99,441,1,45,117
100,442,1,45,117
101,443,1,45,117
102,448,1,39,115
103,449,1,40,115
104,450,1,41,115
105,451,1,42,115
106,452,1,43,115
107,453,1,43,115
108,454,1,43,115
109,455,1,43,115
110,457,1,43,115
111,458,1,43,115
112,459,1,43,115
113,460,1,44,116
114,461,1,44,116
115,462,1,44,116
116,463,1,44,116
117,465,1,44,116
118,466,1,44,116
119,467,1,45,117
120,468,1,45,117
121,469,1,45,117
122,470,1,45,117
123,471,1,45,117
124,478,1,39,115
125,479,1,40,115
126,480,1,41,115
127,481,1,42,115
128,482,1,43,115
129,483,1,43,115
130,484,1,43,115
131,485,1,43,115
132,487,1,43,115
133,488,1,43,115
134,489,1,43,115
135,490,1,44,116
136,491,1,44,116
137,492,1,44,116
138,493,1,44,116
139,495,1,44,116
140,496,1,44,116
141,497,1,45,117
142,498,1,45,117
143,499,1,45,117
144,500,1,45,117
145,501,1,45,117
146,506,1,39,115
147,507,1,46,115
148,508,1,41,115
149,509,1,42,115
150,510,1,43,115
151,511,1,43,115
152,512,1,43,115
153,513,1,43,115
154,515,1,43,115
155,516,1,43,115
156,517,1,44,115
157,518,1,44,116
158,519,1,44,116
