"rownum","Id","WitnessesRequired","AreaLevel","i32","i32","BaseItemType","i32","MinMapTier","rid","i32","WitnessAreas","rid","bool","[rid]","Achievements1","Achievements2"
0,"Void1",4,83,974,4,3950,225,0,2333,1100,"[1249,1251,1250,1248]",2297,1,[],[8796],[10253]
1,"Void2",4,83,975,4,3951,225,0,2333,1101,"[1753,1752,1750,1751]",2298,1,[],[8797],[10255]
2,"Void3",4,83,976,4,3952,225,0,2333,1102,"[459,457,456,458]",2299,1,[],[8798],[10252]
3,"Void4",4,83,977,4,3953,225,0,2333,1103,"[1078,1080,1081,1082]",2300,1,[],[8799],[10254]
4,"Void5",5,83,978,5,3954,225,0,2333,1104,"[455,1079,759,1252,1290]",2348,1,[],[8800],[10251]
5,"Void6",4,83,1162,4,3955,225,0,2333,1161,"[1754,1755,1756,1757]",2350,1,[],[8801],[10250]
6,"Atlas1",3,73,979,2,3956,225,6,2334,1019,[],2301,"",[],[],[]
7,"Atlas2",4,75,980,2,3957,979,8,2334,1019,[],2302,"",[],[],[]
8,"Atlas3",5,78,981,3,3958,980,10,2334,1019,[],2303,"",[],[],[]
9,"Atlas4",6,80,982,3,3959,981,12,2334,1019,[],2304,"",[],[],[]
10,"Atlas5",10,83,983,10,3961,982,14,2334,1019,[],2349,"",[],[],[]
