"rownum","Id","Name","Metadata","rid","NPCMasterKey","ShortName","i32","NPCAudios1","NPCAudios2","i32","i32","i32","i32","i32","rid","i32","i32","i32","i32","i32","i32","i32","i32"
0,"Metadata/NPC/Act1/Tarkleigh","Tarkleigh","Metadata/NPC/NPC","","","",1,[0],[1],-16889959,-16843010,-16843010,-16843010,-16843010,"",-16843010,130814,0,0,0,-1610612736,0,0
1,"Metadata/NPC/Act1/Nessa","Nessa","Metadata/NPC/NPC","","","",1,[2],[3],-16892253,-16843010,-16843010,-16843010,-16843010,"",-16843010,184680190,0,0,0,100663296,1,0
2,"Metadata/NPC/Act1/Bestel","Bestel","Metadata/NPC/NPC","","","",1,[4],[],-16851800,-16843010,-16843010,-16843010,-16843010,"",-16843010,-33423618,-16843010,-16843010,-16843010,-1593901314,0,0
3,"Metadata/NPC/Act1/Doorman","Doorman","Metadata/NPC/NPC","","","",1,[],[],-16876457,-16843010,-16843010,-16843010,-16843010,"",-16843010,-33423618,-16843010,-16843010,-16843010,-1593901314,0,0
4,"Metadata/NPC/Act1/Fairgraves","Captain Fairgraves","Metadata/NPC/NPC","","","Fairgraves",1,[],[5],-16868568,-16843010,-16843010,-16843010,-16843010,"",-16843010,-33423618,-16843010,-16843010,-16843010,-1593901314,0,0
5,"Metadata/Monsters/Skeletons/SkeletonBossFairgraves","Captain Fairgraves","Metadata/Monsters/Skeletons/SkeletonBossEmerge","","","Fairgraves",0,[],[],-16860985,-16843010,-16843010,-16843010,-16843010,"",-16843010,-33423618,-16843010,-16843010,-16843010,-1593901314,0,0
6,"Metadata/NPC/Act1/WoundedExile","Dying Exile","Metadata/NPC/NPC","","","",1,[],[],-16859668,-16843010,-16843010,-16843010,-16843010,"",-16843010,-33423618,-16843010,-16843010,-16843010,-1593901314,0,0
7,"Metadata/NPC/Act1/Brutus","Brutus, the Warden","Metadata/NPC/NPC","","","Brutus",1,[],[],-16863253,-16843010,-16843010,-16843010,-16843010,"",-16843010,-33423618,-16843010,-16843010,-16843010,-1593901314,0,0
8,"Metadata/NPC/Act1/Merveil","Merveil","Metadata/NPC/NPC","","","",1,[],[],-16887641,-16843010,-16843010,-16843010,-16843010,"",-16843010,-33423618,-16843010,-16843010,-16843010,117374718,1,0
9,"Metadata/NPC/Act2/Eramir","Eramir","Metadata/NPC/NPC","","","",2,[6],[7],-16903013,-16843010,-16843010,-16843010,-16843010,"",-16843010,-33423618,-16843010,-16843010,-16843010,-1593901314,0,0
10,"Metadata/NPC/Act2/Yeena","Yeena","Metadata/NPC/NPC","","","",2,[8],[9],-16908222,-16843010,-16843010,-16843010,-16843010,"",-16843010,201457406,0,0,0,100663296,1,0
11,"Metadata/NPC/Act2/Greust","Greust","Metadata/NPC/NPC","","","",2,[10],[11],-16847977,-16843010,-16843010,-16843010,-16843010,"",-16843010,16908030,0,0,0,-1610612736,0,0
12,"Metadata/NPC/Act2/Silk","Silk","Metadata/NPC/NPC","","","",2,[12],[],-16848024,-16843010,-16843010,-16843010,-16843010,"",-16843010,-33423618,-16843010,-16843010,-16843010,-1593901314,0,0
13,"Metadata/Monsters/BanditLeaderInt/BanditLeaderAlira","Alira","Metadata/NPC/NPC","","","",2,[],[],-16855426,-16843010,-16843010,-16843010,-16843010,"",-16843010,-33423618,-16843010,-16843010,-16843010,117374718,1,0
14,"Metadata/Monsters/BanditLeaderInt/BanditLeaderAliraGauntlet","Alira","Metadata/NPC/NPC","","","",2,[],[],-16881444,-16843010,-16843010,-16843010,-16843010,"",-16843010,-33423618,-16843010,-16843010,-16843010,117374718,1,0
15,"Metadata/Monsters/BanditLeaderDexInt/BanditLeaderKraityn","Kraityn","Metadata/NPC/NPC","","","",2,[],[],-16886216,-16843010,-16843010,-16843010,-16843010,"",-16843010,-33423618,-16843010,-16843010,-16843010,-1593901314,0,0
16,"Metadata/Monsters/BanditLeaderDexInt/BanditLeaderKraitynGauntlet","Kraityn","Metadata/NPC/NPC","","","",2,[],[],-16843759,-16843010,-16843010,-16843010,-16843010,"",-16843010,-33423618,-16843010,-16843010,-16843010,-1593901314,0,0
17,"Metadata/Monsters/BanditLeaderStrDex/BanditLeaderOak","Oak","Metadata/NPC/NPC","","","",2,[],[],-16901969,-16843010,-16843010,-16843010,-16843010,"",-16843010,-33423618,-16843010,-16843010,-16843010,-1593901314,0,0
18,"Metadata/Monsters/LeagueAffliction/AfflictionDemonBossPhysicalWildOakGauntlet","Definitely Oak","Metadata/NPC/NPC","","","",2,[],[],-16852155,-16843010,-16843010,-16843010,-16843010,"",-16843010,-33423618,-16843010,-16843010,-16843010,-1593901314,0,0
19,"Metadata/NPC/Act3/Hargan","Hargan","Metadata/NPC/NPC","","","",3,[14],[15],-16853580,-16843010,-16843010,-16843010,-16843010,"",-16843010,33685246,0,0,0,-1610612736,0,0
20,"Metadata/NPC/Act3/Dialla","Lady Dialla","Metadata/NPC/NPC","","","Dialla",3,[16],[17],-16895990,-16843010,-16843010,-16843010,-16843010,"",-16843010,-33423618,-16843010,-16843010,-16843010,117374718,1,0
21,"Metadata/NPC/Act3/DiallaTower","Lady Dialla","Metadata/NPC/NPC","","","Dialla",3,[16],[],-16906450,-16843010,-16843010,-16843010,-16843010,"",-16843010,-33423618,-16843010,-16843010,-16843010,117374718,1,0
22,"Metadata/NPC/Act3/Maramoa","Maramoa","Metadata/NPC/NPC",843,"","",3,[18],[19],-16887800,-16843010,-16843010,-16843010,-16843010,"",-16843010,-33423618,-16843010,-16843010,-16843010,117374718,1,0
23,"Metadata/NPC/Act3/Grigor","Grigor","Metadata/NPC/NPC","","","",3,[20],[21],-16850398,-16843010,-16843010,-16843010,-16843010,"",-16843010,-33423618,-16843010,-16843010,-16843010,-1593901314,0,0
24,"Metadata/NPC/Act3/ClarissaTown","Clarissa","Metadata/NPC/NPC","","","",3,[22],[23],-16875668,-16843010,-16843010,-16843010,-16843010,"",-16843010,218234622,0,0,0,100663296,1,0
25,"Metadata/NPC/Act3/ClarissaSlums","Clarissa","Metadata/NPC/NPC","","","",3,[],[],-16849946,-16843010,-16843010,-16843010,-16843010,"",-16843010,-33423618,-16843010,-16843010,-16843010,117374718,1,0
26,"Metadata/NPC/Info/PrisonDiary","Shavronne's Journal","Metadata/NPC/Info/StoryGlyphBase",542,"","",1,[],[],-16897554,-16843010,-16843010,-16843010,-16843010,"",-16843010,-33423618,-16843010,-16843010,-16843010,2097086206,0,0
27,"Metadata/NPC/Act2/HelenaTown","Helena","Metadata/NPC/NPC","",3,"",2,[24],[25],-16889347,-16843010,-16843010,-16843010,-16843010,"",-16843010,-33423618,-16843010,-16843010,-16843010,117374718,1,0
28,"Metadata/NPC/Act2/HelenaSins","Helena","Metadata/NPC/NPC","",3,"",2,[],[],-16885361,-16843010,-16843010,-16843010,-16843010,"",-16843010,-33423618,-16843010,-16843010,-16843010,117374718,1,0
29,"Metadata/NPC/Act3/Siosa","Siosa","Metadata/NPC/NPC",844,"","",3,[26],[27],-16903600,-16843010,-16843010,-16843010,-16843010,"",-16843010,520224510,0,0,0,-1610612736,0,0
30,"Metadata/NPC/Act3/Fairgraves","Captain Fairgraves","Metadata/NPC/NPC","","","Fairgraves",3,[28],[],-16873858,-16843010,-16843010,-16843010,-16843010,"",-16843010,-33423618,-16843010,-16843010,-16843010,-1593901314,0,0
31,"Metadata/NPC/Piety","Piety","Metadata/NPC/NPC","","","",0,[],[],-16882219,-16843010,-16843010,-16843010,-16843010,"",-16843010,-33423618,-16843010,-16843010,-16843010,117374718,1,0
32,"Metadata/NPC/Gravicius","Gravicius","Metadata/NPC/NPC","","","",0,[],[],-16904119,-16843010,-16843010,-16843010,-16843010,"",-16843010,-33423618,-16843010,-16843010,-16843010,-1593901314,0,0
33,"Metadata/NPC/Dominus","Dominus","Metadata/NPC/NPC","","","",0,[],[],-16906352,-16843010,-16843010,-16843010,-16843010,"",-16843010,-33423618,-16843010,-16843010,-16843010,-1593901314,0,0
34,"Metadata/NPC/Act4/Kaom","King Kaom","Metadata/NPC/NPC","","","Kaom",0,[],[],-16860715,-16843010,-16843010,-16843010,-16843010,"",-16843010,-33423618,-16843010,-16843010,-16843010,-1593901314,0,0
35,"Metadata/NPC/Act4/Maligaro","Maligaro, the Inquisitor","Metadata/NPC/NPC","","","Maligaro",0,[],[],-16858324,-16843010,-16843010,-16843010,-16843010,"",-16843010,-33423618,-16843010,-16843010,-16843010,-1593901314,0,0
36,"Metadata/NPC/Act4/Shavronne","Shavronne","Metadata/NPC/NPC","","","",0,[],[],-16891156,-16843010,-16843010,-16843010,-16843010,"",-16843010,-33423618,-16843010,-16843010,-16843010,117374718,1,0
37,"Metadata/NPC/Act4/Malachai","Malachai","Metadata/NPC/NPC","","","",0,[],[],-16863489,-16843010,-16843010,-16843010,-16843010,"",-16843010,-33423618,-16843010,-16843010,-16843010,-1593901314,0,0
38,"Metadata/NPC/Act4/Daresso","Daresso","Metadata/NPC/NPC","","","",0,[],[],-16893182,-16843010,-16843010,-16843010,-16843010,"",-16843010,-33423618,-16843010,-16843010,-16843010,-1593901314,0,0
39,"Metadata/NPC/Oba","Oba","Metadata/NPC/NPC","","","",0,[],[],-16900213,-16843010,-16843010,-16843010,-16843010,"",-16843010,-33423618,-16843010,-16843010,-16843010,-1593901314,0,0
40,"Metadata/NPC/Info/ArteriLetter","Arteri's Letter","Metadata/NPC/Info/StoryGlyphBase",1903,"","",2,[],[],-16852382,-16843010,-16843010,-16843010,-16843010,"",-16843010,-33423618,-16843010,-16843010,-16843010,2097086206,0,0
41,"Metadata/NPC/Info/BeachEncampmentNotes","Letters of Exile","Metadata/NPC/Info/StoryGlyphBase","","","",1,[],[],-16897995,-16843010,-16843010,-16843010,-16843010,"",-16843010,-33423618,-16843010,-16843010,-16843010,2097086206,0,0
42,"Metadata/NPC/Info/Karui/Stone1","Weathered Carving","Metadata/NPC/Info/StoryGlyphBase",535,"","",1,[],[],-16864164,-16843010,-16843010,-16843010,-16843010,"",-16843010,-33423618,-16843010,-16843010,-16843010,2097086206,0,0
43,"Metadata/NPC/Info/Karui/Stone2","Weathered Carving","Metadata/NPC/Info/StoryGlyphBase",536,"","",1,[],[],-16884180,-16843010,-16843010,-16843010,-16843010,"",-16843010,-33423618,-16843010,-16843010,-16843010,2097086206,0,0
44,"Metadata/NPC/Info/Karui/Stone3","Weathered Carving","Metadata/NPC/Info/StoryGlyphBase",537,"","",1,[],[],-16845307,-16843010,-16843010,-16843010,-16843010,"",-16843010,-33423618,-16843010,-16843010,-16843010,2097086206,0,0
45,"Metadata/NPC/Info/Karui/Stone4","Weathered Carving","Metadata/NPC/Info/StoryGlyphBase",538,"","",1,[],[],-16881559,-16843010,-16843010,-16843010,-16843010,"",-16843010,-33423618,-16843010,-16843010,-16843010,2097086206,0,0
46,"Metadata/NPC/Info/Karui/Stone5","Weathered Carving","Metadata/NPC/Info/StoryGlyphBase",539,"","",1,[],[],-16907270,-16843010,-16843010,-16843010,-16843010,"",-16843010,-33423618,-16843010,-16843010,-16843010,2097086206,0,0
47,"Metadata/NPC/Info/Karui/Stone6","Weathered Carving","Metadata/NPC/Info/StoryGlyphBase",540,"","",1,[],[],-16878310,-16843010,-16843010,-16843010,-16843010,"",-16843010,-33423618,-16843010,-16843010,-16843010,2097086206,0,0
