"rownum","Id","i32","i32","i32","i32","i32","i32","i32","bool","bool","rid","rid"
0,"Accuracy1",123133,0,1966080,0,2621440,0,0,"","",8881,""
1,"Accuracy2",116683,0,4456448,0,65536,0,0,"","",8881,""
2,"Accuracy3",130311,0,6946816,0,65536,0,0,"","",8881,""
3,"Accuracy4",75168,0,9437184,0,65536,0,0,"","",8881,""
4,"Accuracy5",104714,0,11927552,0,3276800,0,0,"","",8881,""
5,"Accuracy6",140827,0,14417920,0,32768000,-131072,65535,"","",8881,""
6,"Armour1",111716,0,17694720,0,65536,0,0,"","",8881,""
7,"Armour2",114256,0,19922944,0,1966080,0,0,"","",8881,""
8,"Armour3",125290,0,22151168,0,1310720,0,0,"","",8881,""
9,"Armour4",72673,0,24379392,0,65536,0,0,"","",8881,""
10,"Armour5",125472,0,26607616,0,1310720,0,0,"","",8881,""
11,"Armour6",76216,0,28835840,0,6553600,0,0,"","",8881,""
12,"ArmourEvasion1",180594,0,31981568,0,7864320,327680,0,"","",8881,""
13,"ArmourEvasion2",193357,0,36175872,0,524288,524288,0,"","",8881,""
14,"ArmourEvasion3",70644,0,40370176,0,5242880,0,0,"","",8881,""
15,"ArmourEvasion4",89491,0,43515904,0,65536,0,0,"","",8881,""
16,"ArmourEvasion5",189948,0,46661632,0,2621440,2621440,0,"","",8881,""
17,"ArmourEvasion6",174330,0,50855936,0,65536,65536,0,"","",8881,""
18,"ArmourEnergyShield1",106114,0,55705600,0,131072,0,0,"","",8881,""
19,"ArmourEnergyShield2",103150,0,59506688,0,327680,0,0,"","",8881,""
20,"ArmourEnergyShield3",81751,0,63307776,0,1310720,0,0,"","",8881,""
21,"ArmourEnergyShield4",83837,0,67108864,0,1310720,0,0,"","",8881,""
22,"ArmourEnergyShield5",74189,0,70909952,0,6553600,0,0,"","",8881,""
23,"ArmourEnergyShield6",131040,0,74711040,0,-1310720,65535,0,"","",8881,""
24,"Attack1",94060,0,76939264,0,196608,0,0,"","",8881,""
25,"Attack2",104690,0,79167488,0,65536,0,0,"","",8881,""
26,"Attack3",169473,0,81395712,0,65536,393216000,0,"","",8881,""
27,"Attack4",130047,0,84672512,0,65536,0,0,"","",8881,""
28,"Attack5",77474,0,86900736,0,327680,0,0,"","",8881,""
29,"Attack6",85036,0,89128960,0,1310720,0,0,"","",8881,""
30,"Attributes1",70892,0,91881472,0,327680,0,0,"","",8881,""
31,"Attributes2",107019,0,94633984,0,65536,0,0,"","",8881,""
32,"Attributes3",92157,0,97386496,0,327680,0,0,"","",8881,""
33,"Attributes4",118140,0,100139008,0,327680,0,0,"","",8881,""
34,"Attributes5",81362,0,102891520,0,327680,0,0,"","",8881,""
35,"Axe1",93890,0,104726528,0,65536,0,0,"","",8881,""
36,"Axe2",76585,0,106561536,0,983040,0,0,"","",8881,""
37,"Axe3",74624,0,108396544,0,2621440,0,0,"","",8881,""
38,"Axe4",181247,0,110231552,0,1966080,983040,0,"","",8881,""
39,"Axe5",129764,0,113115136,0,655360,0,0,"","",8881,""
40,"Axe6",65769,0,114950144,0,131072,0,0,"","",8881,""
41,"Banner1",105573,0,117178368,0,65536,0,0,"","",8881,""
42,"Banner2",82527,0,119406592,0,327680,0,0,"","",8881,""
43,"Banner3",102470,0,121634816,0,655360,0,0,"","",8881,""
44,"Banner4",75804,0,123863040,0,196608,0,0,"","",8881,""
45,"Bleeding1",125162,0,126353408,0,65536,0,0,"","",8881,""
46,"Bleeding2",76082,0,128843776,0,3276800,0,0,"","",8881,""
47,"Bleeding3",68985,0,131334144,0,262144000,0,0,"","",8881,""
48,"Bleeding4",89472,0,133824512,0,5242880,0,0,"","",8881,""
49,"Bleeding5",104239,0,136314880,0,196608,0,0,"","",8881,""
50,"Bleeding6",124817,0,138805248,0,1638400,0,0,"","",8881,""
51,"Blind1",109060,0,140902400,0,2621440,0,0,"","",8881,""
52,"Blind2",73367,0,142999552,0,6553600,0,0,"","",8881,""
53,"Blind3",122999,0,145096704,0,3932160,0,0,"","",8881,""
54,"Blind4",77636,0,147193856,0,6553600,0,0,"","",8881,""
55,"Block1",120549,0,149291008,0,131072,0,0,"","",8881,""
56,"Block2",110376,0,151388160,0,131072,0,0,"","",8881,""
57,"Block3",154514,0,153485312,0,1310720,1310720,0,"","",8881,""
58,"Block4",70036,0,156631040,0,65536,0,0,"","",8881,""
59,"Bow1",125170,0,158466048,0,6553600,0,0,"","",8881,""
60,"Bow2",111048,0,160301056,0,1310720,0,0,"","",8881,""
61,"Bow3",108488,0,162136064,0,6553600,0,0,"","",8881,""
62,"Bow4",92430,0,163971072,0,6553600,0,0,"","",8881,""
63,"Bow5",102503,0,165806080,0,6553600,0,0,"","",8881,""
64,"Bow6",122487,0,167641088,0,65536,0,0,"","",8881,""
65,"Brand1",102722,0,169738240,0,655360,0,0,"","",8881,""
66,"Brand2",71443,0,171835392,0,1966080,0,0,"","",8881,""
67,"Brand3",86166,0,173932544,0,65536,0,0,"","",8881,""
68,"Brand4",105399,0,176029696,0,3276800,0,0,"","",8881,""
69,"Brand5",98413,0,178126848,0,131072,0,0,"","",8881,""
70,"Brand6",112208,0,180224000,0,2621440,0,0,"","",8881,""
71,"Caster1",113894,0,182452224,0,1966080,0,0,"","",8881,""
72,"Caster2",98625,0,184680448,0,1638400,0,0,"","",8881,""
73,"Caster3",126607,0,186908672,0,393216,0,0,"","",8881,""
74,"Caster4",116442,0,189136896,0,65536,0,0,"","",8881,""
75,"Caster5",92937,0,191365120,0,65536,0,0,"","",8881,""
76,"Caster6",89007,0,193593344,0,1638400,0,0,"","",8881,""
77,"Chaos1",116469,0,195690496,0,65536,0,0,"","",8881,""
78,"Chaos2",190646,0,197787648,0,65536,655360,0,"","",8881,""
79,"Chaos3",67263,0,200933376,0,65536,0,0,"","",8881,""
80,"Chaos4",87188,0,203030528,0,2621440,0,0,"","",8881,""
81,"Chaos5",94214,0,205127680,0,655360,0,0,"","",8881,""
82,"Chaos6",130551,0,207224832,0,327680,0,0,"","",8881,""
83,"Charges1",94256,0,209584128,0,65536,0,0,"","",8881,""
84,"Charges2",114197,0,211943424,0,65536,0,0,"","",8881,""
85,"Charges3",79636,0,214302720,0,65536,0,0,"","",8881,""
86,"Charges4",95188,0,216662016,0,6553600,0,0,"","",8881,""
87,"Charges5",105843,0,219021312,0,196608,0,0,"","",8881,""
88,"Charges6",84678,0,221380608,0,65536,0,0,"","",8881,""
89,"Claw1",171113,0,223346688,0,1638400,1638400,0,"","",8881,""
90,"Claw2",72925,0,226361344,0,65536,0,0,"","",8881,""
91,"Claw3",102011,0,228327424,0,3932160,0,0,"","",8881,""
92,"Claw4",70052,0,230293504,0,655360,0,0,"","",8881,""
93,"Claw5",68359,0,232259584,0,3276800,0,0,"","",8881,""
94,"Claw6",87592,0,234225664,0,2621440,0,0,"","",8881,""
95,"Cold1",69652,0,236191744,0,2621440,0,0,"","",8881,""
96,"Cold2",78803,0,238157824,0,655360,0,0,"","",8881,""
97,"Cold3",104350,0,240123904,0,1310720,0,0,"","",8881,""
98,"Cold4",98665,0,242089984,0,65536,0,0,"","",8881,""
99,"Cold5",85031,0,244056064,0,655360,0,0,"","",8881,""
100,"Cold6",92318,0,246022144,0,327680,0,0,"","",8881,""
101,"Criticals1",75522,0,248643584,0,3276800,0,0,"","",8881,""
102,"Criticals2",68523,0,251265024,0,1638400,0,0,"","",8881,""
103,"Criticals3",125270,0,253886464,0,6553600,0,0,"","",8881,""
104,"Criticals4",103606,0,256507904,0,196608,0,0,"","",8881,""
105,"Criticals5",127070,0,259129344,0,1966080,0,0,"","",8881,""
106,"Criticals6",118220,0,261750784,0,9830400,0,0,"","",8881,""
107,"Curse1",78918,0,263847936,0,1310720,0,0,"","",8881,""
108,"Curse2",108786,0,265945088,0,-2621440,65535,0,"","",8881,""
109,"Curse3",111227,0,268042240,0,65536,0,0,"","",8881,""
110,"Curse4",100962,0,270139392,0,1310720,0,0,"","",8881,""
111,"Curse5",100199,0,272236544,0,65536,0,0,"","",8881,""
112,"Curse6",149202,0,274333696,0,65536,65536,0,"","",8881,""
113,"Dagger1",128759,0,277610496,0,6553600,0,0,"","",8881,""
114,"Dagger2",98851,0,279838720,0,65536,0,0,"","",8881,""
115,"Dagger3",86051,0,282066944,0,655360,0,0,"","",8881,""
116,"Dagger4",108095,0,284295168,0,524288,0,0,"","",8881,""
117,"Dagger5",123845,0,286523392,0,3276800,0,0,"","",8881,""
118,"Dagger6",110405,0,288751616,0,2621440,0,0,"","",8881,""
119,"DamageOverTime1",67995,0,292028416,0,1966080,0,0,"","",8881,""
120,"DamageOverTime2",66787,0,295305216,0,655360,0,0,"","",8881,""
121,"DamageOverTime3",165492,0,298582016,0,983040,983040,0,"","",8881,""
122,"DamageOverTime4",77057,0,302907392,0,-655360,65535,0,"","",8881,""
123,"DualWield1",145868,0,305528832,0,65536,1310720,0,"","",8881,""
124,"DualWield2",71626,0,309198848,0,6553600,0,0,"","",8881,""
125,"DualWield3",112029,0,311820288,0,3932160,0,0,"","",8881,""
126,"DualWield4",73508,0,314441728,0,1310720,0,0,"","",8881,""
127,"DualWield5",125976,0,317063168,0,983040,0,0,"","",8881,""
128,"DualWield6",165031,0,319684608,0,1310720,1310720,0,"","",8881,""
129,"Duration1",83388,0,323223552,0,655360,0,0,"","",8881,""
130,"Duration2",87266,0,325713920,0,-655360,65535,0,"","",8881,""
131,"Duration3",89888,0,328204288,0,983040,0,0,"","",8881,""
132,"Duration4",80417,0,330694656,0,1310720,0,0,"","",8881,""
133,"Elemental1",113921,0,333316096,0,-1179648,65535,0,"","",8881,""
134,"Elemental2",69655,0,335937536,0,-3932160,65535,0,"","",8881,""
135,"Elemental3",124879,0,338558976,0,-3276800,65535,0,"","",8881,""
