"rownum","MTX","TierThresholds","rid","[i32]","rid","TierCount","[rid]","[i32]","[i32]","bool","bool","rid","bool"
0,3511,"[0,10000,500000,2000000]",16215,[],"",4,[],[],[],1,"","",""
1,3519,"[0,150,500,1000,1500]",571,[],572,5,[],[],[],"","","",""
2,3518,"[0,150,500,1000,1500]",574,[],575,5,[],[],[],"","","",""
3,3582,"[74,75]",305,[],146,2,[],[],[],"","","",""
4,3581,"[74,75]",306,[],144,2,[],[],[],"","","",""
5,3583,"[74,75]",307,[],148,2,[],[],[],"","","",""
6,3584,"[74,75]",16127,[],141,2,[],[],[],"","","",""
7,3523,"[0,25,50,100,200,250,325]",242,[],177,7,[],[],[],"","","",""
8,3524,"[0,25,50,100,200,250,325]",242,[],177,7,[],[],[],"","","",""
9,3525,"[0,25,50,100,200,250,325]",242,[],177,7,[],[],[],"","","",""
10,3526,"[0,25,50,100,200,250,325]",242,[],177,7,[],[],[],"","","",""
11,3527,"[0,25,50,100,200,250,325]",242,[],177,7,[],[],[],"","","",""
12,3537,"[0,1,3,7,13,25,30]",16283,[],"",7,[],[],[],"","","",""
13,3538,"[0,1,3,7,13,25,30]",16283,[],"",7,[],[],[],"","","",""
14,3539,"[0,1,3,7,13,25,30]",16283,[],"",7,[],[],[],"","","",""
15,3540,"[0,1,3,7,13,25,30]",16283,[],"",7,[],[],[],"","","",""
16,3541,"[0,1,3,7,13,25,30]",16283,[],"",7,[],[],[],"","","",""
17,3528,"[0,20,30]",16281,[],"",3,[],[],[],"","","",""
18,3529,"[0,20,30]",16281,[],"",3,[],[],[],"","","",""
19,3530,"[0,20,30]",16281,[],"",3,[],[],[],"","","",""
20,3531,"[0,20,30]",16281,[],"",3,[],[],[],"","","",""
21,3553,"[0,1,3,5,7,9,11,12]",16359,[],"",8,[],[],[],"","","",""
22,3554,"[0,1,3,5,7,9,11,12]",16359,[],"",8,[],[],[],"","","",""
23,3555,"[0,1,3,5,7,9,11,12]",16359,[],"",8,[],[],[],"","","",""
24,3556,"[0,1,3,5,7,9,11,12]",16359,[],"",8,[],[],[],"","","",""
25,3573,"[0,1,5,10]",16335,[],"",4,[],[],[],"","","",""
26,3574,"[0,1,5,10]",16335,[],"",4,[],[],[],"","","",""
27,3575,"[0,1,5,10]",16335,[],"",4,[],[],[],"","","",""
28,3576,"[0,1,5,10]",16335,[],"",4,[],[],[],"","","",""
29,3549,"[0,20,40,60,80,90,100]",0,[],"",7,[],[],[],1,"","",""
30,3550,"[0,20,40,60,80,90,100]",0,[],"",7,[],[],[],1,"","",""
31,3551,"[0,20,40,60,80,90,100]",0,[],"",7,[],[],[],1,"","",""
32,3552,"[0,20,40,60,80,90,100]",0,[],"",7,[],[],[],1,"","",""
33,3565,"[0,1,3,5,7,9,11,13]",2648,[],8445,8,[],[],[],"","","",""
34,3566,"[0,1,3,5,7,9,11,13]",2648,[],8445,8,[],[],[],"","","",""
35,3567,"[0,1,3,5,7,9,11,13]",2648,[],8445,8,[],[],[],"","","",""
36,3568,"[0,1,3,5,7,9,11,13]",2648,[],8445,8,[],[],[],"","","",""
37,3502,"[0,1,10,15,20,25]",16114,[],"",6,[],[],[],"","","",""
38,3532,"[0,50,100,150,200,250,300,350]",571,[],572,8,[],[],[],"","","",""
39,3533,"[0,50,100,150,200,250,300,350]",577,[],578,8,[],[],[],"","","",""
