"rownum","Hideout_NPCsKey","Regular_NPCsKeys","HideoutDoodadsKey","NPCMasterKey","rid","rid","i32","rid","i32","bool","rid"
0,172,[174],1355,1,"","",112,108,54,"",""
1,329,"[344,328]",1356,2,"","",606,110,54,"",""
2,342,"[27,229,341]",1352,3,"",242,1464,11,54,1,""
3,337,"[332,335]",1357,4,"","",68,111,54,"",76
4,340,[338],1358,5,"","",592,118,54,"",87
5,397,"[395,396]",1359,13,"","",372,122,54,"",""
6,412,[410],1361,15,"","",353,106,54,"",15
7,511,[511],1362,21,"","",1092,"",54,1,""
8,520,[512],1363,22,"","",1093,"",54,1,""
9,521,[513],1364,23,"","",1094,"",54,1,""
10,522,[514],1365,24,"","",1095,"",54,1,""
11,533,"[531,532]",1366,26,"","",1155,"",41,1,""
12,535,"[192,298,313,314]",1367,0,"","",1163,73,54,1,""
13,667,"[665,666]",1370,60,"","",608,"",54,"",""
14,676,[675],1371,61,"","",686,"",54,"",""
