"rownum","string","i32","string","string","string","string","string","string","rid","rid","rid","string","i32","i32","i32","i32","i32","bool","string","bool","bool","bool"
0,"Metadata/Items/MicrotransactionCurrency/MicrotransactionPetUpgradeScroll",234032333,"Pet Upgrade Scroll","","Can be used with an Upgradeable Pet","Combine this item with an Upgradeable Pet to use it","","","","",365,"",3,1,1,1,5,"","",1,"",""
1,"Metadata/Items/MicrotransactionCurrency/MicrotransactionPetConvertToNormalScroll",1025707758,"Pet Convert to Normal Scroll","","Can be used with an Upgradeable Pet","Combine this item with an Upgradeable Pet to use it","","","","",365,"",3,1,1,1,5,"","",1,"",""
2,"Metadata/Items/MicrotransactionCurrency/MicrotransactionPetConvertToSpecialScroll",-1711290524,"Pet Convert to Special Scroll","","Can be used with an Upgradeable Pet","Combine this item with an Upgradeable Pet to use it","","","","",365,"",3,1,1,1,5,"","",1,"",""
3,"Metadata/Items/MicrotransactionCurrency/MicrotransactionPetConvertAndUpgradeScroll",-1103115581,"Pet Convert Styles and Upgrade Scroll","","Can be used with an Upgradeable Pet","Combine this item with an Upgradeable Pet to use it","","","","",365,"",3,1,1,1,5,"","",1,"",""
4,"Metadata/Items/MicrotransactionCurrency/MicrotransactionPetConvertToNormalScrollSpringDaughterOfSin",1695817319,"Spring Daughter of Sin Pet Convert to Normal Scroll","","Can be used with an Upgradeable Microtransaction","Combine this item with an Upgradeable Microtransaction to use it","","","","",365,"",3,1,1,1,5,"","",1,"",""
5,"Metadata/Items/MicrotransactionCurrency/MicrotransactionPetConvertToSpecialScrollSpringDaughterOfSin",1493497742,"Spring Daughter of Sin Pet Convert to Special Scroll","","Can be used with an Upgradeable Microtransaction","Combine this item with an Upgradeable Microtransaction to use it","","","","",365,"",3,1,1,1,5,"","",1,"",""
6,"Metadata/Items/MicrotransactionCurrency/MicrotransactionPetConvertAndUpgradeScrollSpringDaughterOfSin",476187717,"Spring Daughter of Sin Pet Convert Styles and Upgrade Scroll","","Can be used with an Upgradeable Microtransaction","Combine this item with an Upgradeable Microtransaction to use it","","","","",365,"",3,1,1,1,5,"","",1,"",""
7,"Metadata/Items/MicrotransactionCurrency/MicrotransactionPetConvertToNormalScrollSpringHasina",-1585418902,"Spring Hasina Pet Convert to Normal Scroll","","Can be used with an Upgradeable Microtransaction","Combine this item with an Upgradeable Microtransaction to use it","","","","",365,"",3,1,1,1,5,"","",1,"",""
8,"Metadata/Items/MicrotransactionCurrency/MicrotransactionPetConvertToSpecialScrollSpringHasina",734384000,"Spring Hasina Pet Convert to Special Scroll","","Can be used with an Upgradeable Microtransaction","Combine this item with an Upgradeable Microtransaction to use it","","","","",365,"",3,1,1,1,5,"","",1,"",""
9,"Metadata/Items/MicrotransactionCurrency/MicrotransactionPetConvertAndUpgradeScrollSpringHasina",1073969766,"Spring Hasina Pet Convert Styles and Upgrade Scroll","","Can be used with an Upgradeable Microtransaction","Combine this item with an Upgradeable Microtransaction to use it","","","","",365,"",3,1,1,1,5,"","",1,"",""
10,"Metadata/Items/MicrotransactionCurrency/MicrotransactionPetConvertToBlueGhostrider",-694308065,"Blue Ghostrider Convert Scroll","","Can be used with an Upgradeable Microtransaction","Combine this item with an Upgradeable Microtransaction to use it","","","","",365,"",3,1,1,1,5,"","TencentPetConvertScrollGhostriderBlue",1,"",""
11,"Metadata/Items/MicrotransactionCurrency/MicrotransactionConvertAndUpgradeScrollBlueGhostrider",-1055389643,"Blue Ghostrider Convert and Upgrade Scroll","","Can be used with an Upgradeable Microtransaction","Combine this item with an Upgradeable Microtransaction to use it","","","","",365,"",3,1,1,1,5,"","TencentPetConvertAndUpgradeScrollGhostriderBlue",1,"",""
12,"Metadata/Items/MicrotransactionCurrency/MicrotransactionDaughterUpgradeScroll",1595256219,"Daughter Upgrade Scroll","","","","","","","",365,"",3,1,1,1,5,"","",1,"",""
13,"Metadata/Items/MicrotransactionCurrency/MicrotransactionGoddessSetUpgradeScroll",331287612,"Goddess Set Upgrade Scroll","","","","","","","",365,"",3,1,1,1,5,"","",1,"",""
14,"Metadata/Items/MicrotransactionCurrency/MicrotransactionLunarSetUpgradeScroll",-2075607652,"Lunar Set Upgrade Scroll","","Can be used with a Lunar Body Armour","Combine this item with a Lunar Body Armour to use it","","","",2,365,"",3,1,1,1,5,"","LunarBodyArmourUpgradeScroll",1,"",""
15,"Metadata/Items/MicrotransactionCurrency/MicrotransactionWuzhiqiSetUpgradeScroll",1853910181,"Wuzhiqi Set Upgrade Scroll","","Can be used with a Wuzhiqi Body Armour","Combine this item with a Wuzhiqi Body Armour to use it","","","",2,365,"",3,1,1,1,5,"","WuzhiqiBodyArmourUpgradeScroll",1,"",""
16,"Metadata/Items/MicrotransactionCurrency/MicrotransactionUpgradeScroll",2042640349,"Upgrade Scroll","","Can be used with an Upgradeable Microtransaction","Combine this item with an Upgradeable Microtransaction to use it","","","","",365,"",3,1,1,1,5,"","",1,"",""
17,"Metadata/Items/MicrotransactionCurrency/MicrotransactionUpgradeScrollS6",819183312,"Upgrade Scroll S6","","Can be used with an Upgradeable Microtransaction","Combine this item with an Upgradeable Microtransaction to use it","","","","",365,"",3,1,1,1,5,"","",1,"",""
18,"Metadata/Items/MicrotransactionCurrency/MicrotransactionUpgradeScrollS7",-1021262595,"Upgrade Scroll S7","","Can be used with an Upgradeable Microtransaction","Combine this item with an Upgradeable Microtransaction to use it","","","","",365,"",3,1,1,1,5,"","",1,"",""
19,"Metadata/Items/MicrotransactionCurrency/MicrotransactionUpgradeScrollS8",-1778561505,"Upgrade Scroll S8","","Can be used with an Upgradeable Microtransaction","Combine this item with an Upgradeable Microtransaction to use it","","","","",365,"",3,1,1,1,5,"","",1,"",""
20,"Metadata/Items/MicrotransactionCurrency/MicrotransactionUpgradeScrollS10",755689600,"Upgrade Scroll S10","","Can be used with an Upgradeable Microtransaction","Combine this item with an Upgradeable Microtransaction to use it","","","","",365,"",3,1,1,1,5,"","",1,"",""
21,"Metadata/Items/MicrotransactionCurrency/MicrotransactionUpgradeScrollS11",1497172548,"Upgrade Scroll S11","","Can be used with an Upgradeable Microtransaction","Combine this item with an Upgradeable Microtransaction to use it","","","","",365,"",3,1,1,1,5,"","",1,"",""
22,"Metadata/Items/MicrotransactionCurrency/MicrotransactionUpgradeScrollS12",1177335231,"Upgrade Scroll S12","","Can be used with an Upgradeable Microtransaction","Combine this item with an Upgradeable Microtransaction to use it","","","","",365,"",3,1,1,1,5,"","",1,"",""
23,"Metadata/Items/MicrotransactionCurrency/MicrotransactionUpgradeScrollS13",2040186011,"Upgrade Scroll S13","","Can be used with an Upgradeable Microtransaction","Combine this item with an Upgradeable Microtransaction to use it","","","","",365,"",3,1,1,1,5,"","",1,"",""
24,"Metadata/Items/MicrotransactionCurrency/MicrotransactionUpgradeScrollS15",-922318474,"Upgrade Scroll S15","","Can be used with an Upgradeable Microtransaction","Combine this item with an Upgradeable Microtransaction to use it","","","","",365,"",3,1,1,1,5,"","",1,"",""
