"rownum","Id","Text","Tier","Command","Parameters","[rid]","i32","i32","i32","i32","i32","i32","[string]","bool","bool","bool","bool"
0,"ReforgeFire","<white>{Reforge} a Rare item with random modifiers, including a <craftingfire>{Fire} modifier",0,"reroll_with_mod","fire ON rare",[],18785253,0,16777216,838860800,0,0,"[""tional to stack size.""]",1,"","",""
1,"ReforgeCold","<white>{Reforge} a Rare item with random modifiers, including a <craftingcold>{Cold} modifier",0,"reroll_with_mod","cold ON rare",[],44994990,0,33554432,838860800,0,0,"[""tional to stack size.""]",1,"","",""
2,"ReforgeLightning","<white>{Reforge} a Rare item with random modifiers, including a <craftinglightning>{Lightning} modifier",0,"reroll_with_mod","lightning ON rare",[],73808471,0,50331648,838860800,0,0,"[""tional to stack size.""]",1,"","",""
3,"ReforgePhysical","<white>{Reforge} a Rare item with random modifiers, including a <craftingphysical>{Physical} modifier",0,"reroll_with_mod","physical ON rare",[],102788631,0,33554432,838860800,0,0,"[""tional to stack size.""]",1,"","",""
4,"ReforgeLife","<white>{Reforge} a Rare item with random modifiers, including a <craftinglife>{Life} modifier",0,"reroll_with_mod","life ON rare",[],129519502,0,16777216,1258291200,0,0,"[""tional to stack size.""]",1,"","",""
5,"ReforgeDefences","<white>{Reforge} a Rare item with random modifiers, including a <craftingdefences>{Defence} modifier",0,"reroll_with_mod","defences ON rare",[],157702868,0,50331648,1258291200,0,0,"[""tional to stack size.""]",1,"","",""
6,"ReforgeChaos","<white>{Reforge} a Rare item with random modifiers, including a <craftingchaos>{Chaos} modifier",0,"reroll_with_mod","chaos ON rare",[],184876958,0,33554432,1677721600,0,0,"[""tional to stack size.""]",1,"","",""
7,"ReforgeAttack","<white>{Reforge} a Rare item with random modifiers, including an <craftingattack>{Attack} modifier",0,"reroll_with_mod","attack ON rare",[],212369348,0,16777216,1258291200,0,0,"[""tional to stack size.""]",1,"","",""
8,"ReforgeSpell","<white>{Reforge} a Rare item with random modifiers, including a <craftingcaster>{Caster} modifier",0,"reroll_with_mod","caster ON rare",[],239884820,0,50331648,1258291200,0,0,"[""tional to stack size.""]",1,"","",""
9,"ReforgeSpeed","<white>{Reforge} a Rare item with random modifiers, including a <craftingspeed>{Speed} modifier",0,"reroll_with_mod","speed ON rare",[],266883804,0,33554432,-1778384896,0,0,"[""tional to stack size.""]",1,"","",""
