"rownum","Id","DaggerEPKFile","BowEPKFile","OneHandedMaceEPKFile","OneHandedSwordEPKFile","string","TwoHandedSwordEPKFile","TwoHandedStaffEPKFile","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","bool","bool","bool"
0,"Weapon_Necro","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/green/necro/Dagger_Claw_Wand/necro_epk.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/green/necro/Bow/necro_epk.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/green/necro/1h Mace_1h Axe/necro_epk.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/green/necro/1h Sword/necro_epk.epk","","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/green/necro/2h Sword/necro_epk.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/green/necro/Staff/necro_epk.epk",82859243,0,29229056,0,29229056,0,2359296,0,95944704,0,65536,0,120061952,0,"","",""
1,"Weapon_Acid","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/green/acid/Dagger_Claw_Axe_Wand/acid_epk.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/green/acid/Bow/acid_epk.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/green/acid/2h Mace/acid_epk.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/green/acid/1h Sword_ 2h Axe/acid_epk.epk","","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/green/acid/2h Sword/acid_epk.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/green/acid/Staff/acid_epk.epk",149168706,0,122290176,0,162004992,0,122290176,0,201588736,0,65536,0,225312768,0,"","",""
2,"Weapon_Arcane","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/blue/arcane/Dagger_Claw_Wand/arcane_epk.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/blue/arcane/Bow/arcane_epk.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/blue/arcane/1 h Mace_ 1h Axe/arcane_epk.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/blue/arcane/1h Sword/arcane_epk.epk","","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/blue/arcane/2h Sword/arcane_epk.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/blue/arcane/Staff/arcane_epk.epk",309114804,0,254935040,0,309067776,0,227803136,0,322306048,0,65536,0,346554368,0,"","",""
3,"Weapon_Aqua","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/general_glow/aqua/aqua_small_epk.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/general_glow/aqua/aqua_bow_epk.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/general_glow/aqua/aqua_small_epk.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/general_glow/aqua/aqua_epk.epk","","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/general_glow/aqua/aqua_epk.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/general_glow/aqua/aqua_epk.epk",375578899,0,348782592,0,375521280,0,348782592,0,388235264,0,65536,0,413794304,0,"","",""
4,"Weapon_Ebony","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/black/shadow/1h_daggerwand.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/black/shadow/2h_bow.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/black/shadow/1h_mace.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/black/shadow/1h_sword.epk","","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/black/shadow/2h_sword.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/black/shadow/2h_staff.epk",488813780,0,500695040,0,512491520,0,524288000,0,56492032,0,65536,0,547618816,0,"","",""
5,"Weapon_Blue","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/general_glow/blue/blue_small_epk.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/general_glow/blue/blue_bow_epk.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/general_glow/blue/blue_small_epk.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/general_glow/blue/blue_epk.epk","","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/general_glow/blue/blue_epk.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/general_glow/blue/blue_epk.epk",576603669,0,549847040,0,576585728,0,549847040,0,589299712,0,65536,0,614858752,0,"","",""
6,"Weapon_Green","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/general_glow/green/green_small_epk.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/general_glow/green/green_bow_epk.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/general_glow/green/green_small_epk.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/general_glow/green/green_epk.epk","","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/general_glow/green/green_epk.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/general_glow/green/green_epk.epk",644489879,0,617218048,0,644481024,0,617218048,0,657457152,0,65536,0,683409408,0,"","",""
7,"Weapon_Purple","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/general_glow/purple/purple_small_epk.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/general_glow/purple/purple_bow_epk.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/general_glow/purple/purple_small_epk.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/general_glow/purple/purple_epk.epk","","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/general_glow/purple/purple_epk.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/general_glow/purple/purple_epk.epk",713711454,0,685899776,0,713687040,0,685899776,0,726925312,0,65536,0,753270784,0,"","",""
8,"Weapon_Red","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/general_glow/red/red_small_epk.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/general_glow/red/red_bow_epk.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/general_glow/red/red_small_epk.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/general_glow/red/red_epk.epk","","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/general_glow/red/red_epk.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/general_glow/red/red_epk.epk",781628481,0,755367936,0,781582336,0,755367936,0,794034176,0,65536,0,819200000,0,"","",""
9,"Weapon_White","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/general_glow/white/white_small_epk.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/general_glow/white/white_bow_epk.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/general_glow/white/white_small_epk.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/general_glow/white/white_epk.epk","","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/general_glow/white/white_epk.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/general_glow/white/white_epk.epk",848875050,0,821559296,0,848822272,0,821559296,0,861798400,0,65536,0,875167744,0,"","",""
