"rownum","Id","rid","i32","[rid]","[i32]","i32","i32","rid","i32","Suffix","rid"
0,"MemoryLineAnarchy1",2,52576,[16781],[3],4,1224,1244,0,"of Organised Chaos",6190
1,"MemoryLineAnarchy2",2,45329,[],[],1,1225,1245,0,"of Ransacked Relics",6190
2,"MemoryLineDomination1",8,37208,"[15457,16771]","[10,100]",6,1226,1246,0,"of Formidable Shrines",6190
3,"MemoryLineDomination2",8,35260,"[16634,17558]","[4,300]",3,1227,1247,0,"of the Pantheon",32144
4,"MemoryLineEssence1",9,53818,[],[],1,1228,1248,0,"of Collective Stasis",6190
5,"MemoryLineEssence2",9,23679,"[16646,13539,13630,15460,13631]","[1,100,1,1,100]",5,1229,1249,0,"of Crystal Prisons",32145
6,"MemoryLineAmbush1",1,46590,"[461,5131]","[0,1]",4,1230,1250,0,"of Cascading Fortunes",32146
7,"MemoryLineAmbush2",1,33628,"[5073,5134]","[1,2]",3,1231,1251,0,"of Hidden Behemoths",6190
8,"MemoryLineBreach1",6,40744,"[16689,13273,16104]","[1,40,1]",4,1232,1252,0,"of Demonic Onslaught",32147
9,"MemoryLineBreach2",6,36724,"[16765,13663,13512]","[1,100,100]",6,1233,1253,0,"of Grasping Hands",32148
10,"MemoryLineTorment1",17,19174,[2768],[1],1,1234,1254,0,"of Self-Possession",6190
11,"MemoryLineTorment2",17,24671,[2768],[1],3,1235,1255,0,"of Tormented Souls",32149
12,"MemoryLineHarbinger1",18,24813,"[16792,16846]","[1,50]",4,1236,1256,0,"of Survivor's Guilt",32150
13,"MemoryLineHarbinger2",18,29521,[16663],[1],4,1237,1257,0,"of Phaaryl",32151
14,"MemoryLineBestiary1",3,50665,[19847],[1],3,1238,1258,0,"of Harvest Beasts",32152
15,"MemoryLineBestiary2",3,46008,"[19847,13712]","[1,100]",4,1239,1259,0,"of the Menagerie",6190
16,"MemoryLineIncursion1",13,23896,"[1361,2334,13747]","[100,1,50]",4,1240,1260,0,"of Reverse Incursion",32153
17,"MemoryLineBetrayal1",4,60599,[2310],[6],1,1241,1261,0,"of Bounty Hunters",6190
18,"MemoryLineHarvest1",11,39024,"[16776,16778,16818]","[1,1,1]",4,1242,1262,0,"of the Sacred Grove",32154
19,"MemoryLineAbyss1",0,55290,[16100],[1],4,1243,1263,0,"of Chasms",32155
