"rownum","Id","CraftFamily","Text","Script","ScriptArgument","rid","i32","[rid]","bool","rid","i32"
0,"ChangeNormalGemIntoAlternateGemOfSameColour1",10,"<white>{Transform} a <white>{Skill Gem} to be a random <white>{Transfigured Gem} of the same colour","change_gem_to_random_alternate_gem_of_same_colour","",91653,16777216,[],"",562,0
1,"ChangeNormalGemIntoAlternateGem1",9,"<white>{Transform} a <white>{non-Transfigured Skill Gem} to be a random <white>{Transfigured} version","change_gem_to_alternate_gem","",16835641,0,[],1,562,0
2,"AddGemExperienceCruel1",1,"Add 3m experience to a <white>{Gem}","add_experience_to_gem","3000000",12176,0,[],"",562,1
3,"AddGemExperienceCruel2",1,"Add 5m experience to a <white>{Gem}","add_experience_to_gem","5000000",11863,0,[],"",562,1
4,"AddGemExperienceMerciless1",1,"Add 15m experience to a <white>{Gem}","add_experience_to_gem","15000000",35111,0,[],"",562,1
5,"AddGemExperienceMerciless2",1,"Add 30m experience to a <white>{Gem}","add_experience_to_gem","30000000",6745,0,[],"",562,1
6,"AddGemExperienceMerciless3",1,"Add 50m experience to a <white>{Gem}","add_experience_to_gem","50000000",31873,0,[],"",562,1
7,"AddGemExperienceMerciless4",1,"Add 75m experience to a <white>{Gem}","add_experience_to_gem","75000000",16833889,0,[],"",562,1
8,"AddGemExperienceUber1",1,"Add 30m experience to a <white>{Gem}","add_experience_to_gem","30000000",17232,0,[],"",562,1
9,"AddGemExperienceUber2",1,"Add 50m experience to a <white>{Gem}","add_experience_to_gem","50000000",2301,0,[],"",562,1
10,"AddGemExperienceUber3",1,"Add 100m experience to a <white>{Gem}","add_experience_to_gem","100000000",57389,0,[],"",562,1
11,"AddGemExperienceUber4",1,"Add 150m experience to a <white>{Gem}","add_experience_to_gem","150000000",16790036,0,[],"",562,1
12,"AddGemQualityNormal1",2,"Add +2% quality to a <white>{Gem}","use_x_gemcutter","2",31564,0,[],"",562,1
13,"AddGemQualityNormal2",2,"Add +3% quality to a <white>{Gem}","use_x_gemcutter","3",22945,0,[],"",562,1
14,"AddGemQualityNormal3",2,"Add +5% quality to a <white>{Gem}","use_x_gemcutter","5",34477,0,[],"",562,1
15,"AddGemQualityNormal4",2,"Add +8% quality to a <white>{Gem}","use_x_gemcutter","8",16800654,0,[],"",562,1
16,"AddGemQualityCruel1",2,"Add +3% quality to a <white>{Gem}","use_x_gemcutter","3",64942,0,[],"",562,1
17,"AddGemQualityCruel2",2,"Add +4% quality to a <white>{Gem}","use_x_gemcutter","4",49670,0,[],"",562,1
18,"AddGemQualityCruel3",2,"Add +6% quality to a <white>{Gem}","use_x_gemcutter","6",44189,0,[],"",562,1
19,"AddGemQualityCruel4",2,"Add +10% quality to a <white>{Gem}","use_x_gemcutter","10",16805710,0,[],"",562,1
20,"AddGemQualityMerciless1",2,"Add +4% quality to a <white>{Gem}","use_x_gemcutter","4",44996,0,[],"",562,1
21,"AddGemQualityMerciless2",2,"Add +6% quality to a <white>{Gem}","use_x_gemcutter","6",36641,0,[],"",562,1
22,"AddGemQualityMerciless3",2,"Add +10% quality to a <white>{Gem}","use_x_gemcutter","10",29212,0,[],"",562,1
23,"AddGemQualityMerciless4",2,"Add +15% quality to a <white>{Gem}","use_x_gemcutter","15",16786006,0,[],"",562,1
24,"AddGemQualityUber1",2,"Add +8% quality to a <white>{Gem}","use_x_gemcutter","8",11545,0,[],"",562,1
25,"AddGemQualityUber2",2,"Add +10% quality to a <white>{Gem}","use_x_gemcutter","10",49427,0,[],"",562,1
26,"AddGemQualityUber3",2,"Add +15% quality to a <white>{Gem}","use_x_gemcutter","15",40587,0,[],"",562,1
27,"AddGemQualityUber4",2,"Add +20% quality to a <white>{Gem}","use_x_gemcutter","20",16803575,0,[],"",562,1
28,"GemExperienceToFacetorsLensMerciless1",3,"<white>{Sacrifice} a <white>{Gem} to gain 20% of the gem's total experience stored as a <white>{Facetor's Lens}","sacrifice_gem_for_currency","experience 20",16819532,0,[],"",562,0
29,"GemExperienceToFacetorsLensMerciless2",3,"<white>{Sacrifice} a <white>{Gem} to gain 40% of the gem's total experience stored as a <white>{Facetor's Lens}","sacrifice_gem_for_currency","experience 40",33562277,0,[],"",562,0
30,"GemExperienceToFacetorsLensUber1",3,"<white>{Sacrifice} a <white>{Gem} to gain 30% of the gem's total experience stored as a <white>{Facetor's Lens}","sacrifice_gem_for_currency","experience 30",16798585,0,[],"",562,0
31,"GemExperienceToFacetorsLensUber2",3,"<white>{Sacrifice} a <white>{Gem} to gain 60% of the gem's total experience stored as a <white>{Facetor's Lens}","sacrifice_gem_for_currency","experience 60",33568768,0,[],"",562,0
32,"GemExperienceToCharacterExperienceCruel1",4,"<white>{Sacrifice} a <white>{Gem} to gain 10% of the gem's total experience stored as your own experience","sacrifice_gem_for_experience","10",16785410,0,[],"",562,0
33,"GemExperienceToCharacterExperienceCruel2",4,"<white>{Sacrifice} a <white>{Gem} to gain 15% of the gem's total experience stored as your own experience","sacrifice_gem_for_experience","15",33573421,0,[],"",562,0
34,"GemExperienceToCharacterExperienceMerciless1",4,"<white>{Sacrifice} a <white>{Gem} to gain 20% of the gem's total experience stored as your own experience","sacrifice_gem_for_experience","20",16837610,0,[],"",562,0
35,"GemExperienceToCharacterExperienceMerciless2",4,"<white>{Sacrifice} a <white>{Gem} to gain 25% of the gem's total experience stored as your own experience","sacrifice_gem_for_experience","25",33557280,0,[],"",562,0
36,"GemExperienceToCharacterExperienceUber1",4,"<white>{Sacrifice} a <white>{Gem} to gain 25% of the gem's total experience stored as your own experience","sacrifice_gem_for_experience","25",16837092,0,[],"",562,0
37,"GemExperienceToCharacterExperienceUber2",4,"<white>{Sacrifice} a <white>{Gem} to gain 40% of the gem's total experience stored as your own experience","sacrifice_gem_for_experience","40",33581506,0,[],"",562,0
38,"SacrificeGemForTreasureKeys1",5,"<white>{Sacrifice} a <white>{Gem} for Treasure Keys","sacrifice_gem_for_treasure_keys","",16777374,0,[],"",563,1
39,"SacrificeGemForRandomCurrency1",6,"<white>{Sacrifice} a <white>{Gem} for Currency Items","sacrifice_gem_for_random_currency","",16801616,0,[],"",563,1
40,"ExchangeGemForExceptionalGem1",7,"<white>{Exchange} a <white>{Support Gem} for a random <white>{Exceptional Gem}","exchange_gem_for_exceptional_gem","",33572642,0,[],"",562,1
