"rownum","Id","Icon_DDSFile","Stats","Stat1Value","Stat2Value","Stat3Value","Stat4Value","i32","i32","i32","i32","i32","i32","i32","string","bool","rid","bool","rid","bool","[rid]","i32","bool","bool","i32","[rid]","rid","bool","bool","i32","bool","bool","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","[rid]","i32","[rid]","bool","rid","rid"
0,"lava_lash1","Art/2DArt/SkillIcons/passives/lavalash.dds","[6039,3893]",30,8,0,0,9991911,0,0,0,11403264,0,16777216,"","",6954,"","","",[],0,"","",0,[],"","","",0,"","",-33554432,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-1359020290,0,0,0,0,0,0,0,[],0,[],"","",""
1,"two_handed_weapon_damage_and_accuracy9","Art/2DArt/SkillIcons/passives/accuracy2h.dds","[332,11535,3088]",12,12,80,0,26110468,0,0,0,30670848,0,0,"","","","","","",[],0,"","",0,[],"","","",0,"","",-33554432,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-1359020290,0,0,0,0,0,0,0,[],0,[],"","",""
2,"two_handed_weapon_damage12","Art/2DArt/SkillIcons/passives/2handeddamage.dds","[332,11535]",16,16,0,0,42920713,0,0,0,46137344,0,0,"","","","","","",[],0,"","",0,[],"","","",0,"","",-33554432,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-1359020290,0,0,0,0,0,0,0,[],0,[],"","",""
3,"two_handed_weapon_damage13","Art/2DArt/SkillIcons/passives/2handeddamage.dds","[332,11535,3088]",12,12,40,0,26148144,0,0,0,52953088,0,0,"","","","","","",[],0,"","",0,[],"","","",0,"","",-33554432,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-1359020290,0,0,0,0,0,0,0,[],0,[],"","",""
4,"two_handed_weapon_attack_speed15","Art/2DArt/SkillIcons/passives/2handedspeed.dds","[332,334,11535]",12,3,12,0,66903101,0,0,0,72351744,0,0,"","","","","","",[],0,"","",0,[],"","","",0,"","",-33554432,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-1359020290,0,0,0,0,0,0,0,[],0,[],"","",""
5,"totem_life20","Art/2DArt/SkillIcons/passives/totemandbranddamage.dds","[1786,8571]",14,14,0,0,83515947,0,0,0,86638592,0,0,"","","","","","",[],0,"","",0,[],"","","",0,"","",-33554432,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-1359020290,0,0,0,0,0,0,0,[],0,[],"","",""
6,"totem_duration22","Art/2DArt/SkillIcons/passives/totemlife.dds","[166,1786]",10,10,0,0,97004711,0,0,0,100007936,0,0,"","","","","","",[],0,"","",0,[],"","","",0,"","",-33554432,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-1359020290,0,0,0,0,0,0,0,[],0,[],"","",""
7,"staff_block23","Art/2DArt/SkillIcons/passives/blockstaff.dds","[408,2851]",3,3,0,3,110119470,0,0,0,111804416,0,0,"","","","","","",[],0,"","",0,[],"","","",0,"","",-33554432,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-1359020290,0,0,0,0,0,0,0,[],0,[],"","",""
8,"whirling_barrier24","Art/2DArt/SkillIcons/passives/whirlingstaff.dds","[408,2851,2605]",8,8,20,0,124037029,0,0,0,126353408,0,16777216,"","",6954,"","","",[],0,"","",0,[],"","","",0,"","",-33554432,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-1359020290,0,0,0,0,0,0,0,[],0,[],"","",""
9,"shield_block_and_block_recovery29","Art/2DArt/SkillIcons/passives/ElementalResistance2.dds","[2355,407]",3,3,0,0,140440326,0,0,0,148242432,0,0,"","","","","","",[],0,"","",0,[],"","","",0,"","",-33554432,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-1359020290,0,0,0,0,0,0,0,[],0,[],"","",""
10,"shield_block31","Art/2DArt/SkillIcons/passives/lifepercentage.dds",[450],36,0,0,0,158001621,0,0,0,160432128,0,0,"","","","","","",[],0,"","",0,[],"","","",0,"","",-33554432,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-1359020290,0,0,0,0,0,0,0,[],0,[],"","",""
11,"shield_block32","Art/2DArt/SkillIcons/passives/ElementalResistance2.dds",[407],5,0,0,0,163642282,0,0,0,168427520,0,0,"","","","","","",[],0,"","",0,[],"","","",0,"","",-33554432,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-1359020290,0,0,0,0,0,0,0,[],0,[],"","",""
12,"shield_block33","Art/2DArt/SkillIcons/passives/blockstr.dds","[19,22]",3,30,0,0,178432405,0,0,0,182714368,0,0,"","","","","","",[],0,"","",0,[],"","","",0,"","",-33554432,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-1359020290,0,0,0,0,0,0,0,[],0,[],"","",""
