"rownum","Stat","StatValue"
0,0,100
1,7696,600
2,9363,1
3,8289,10
4,8290,10
5,2382,10
6,9318,10
7,9319,10
8,5416,10
9,5551,10
10,3476,10
11,2243,100
12,3242,1
13,3241,1
14,5604,10
15,2241,7
16,2952,10
17,2953,8
18,4612,1
19,5627,1
20,8114,10
21,6200,5
22,13177,1
23,9728,1
24,8841,10
25,11155,1
26,12622,100
27,4768,0
28,9513,10
29,8021,4
30,11147,10
31,7641,1
32,11487,100
33,12847,10
34,12954,100
35,12955,100
36,12984,100
37,15227,100
38,13081,1
39,13125,100
40,13887,1
41,13946,10
42,14776,1
43,15466,100
44,15482,100
45,16295,1
46,16294,1
47,15478,1
48,15472,1
49,15476,1
50,16292,1
51,15993,10
52,16069,10
53,16135,10
54,16179,10
55,16296,0
56,2265,1
57,4753,1
58,16301,1
59,16344,100
60,16380,100
61,16375,100
62,16379,100
63,16453,10
64,16796,1
65,19347,1
66,20120,10
67,2449,1
