"rownum","rid","rid","i32","rid","rid"
0,11,0,0,"",""
1,11,3,0,"",""
2,11,2,0,"",""
3,12,0,0,"",""
4,12,3,0,"",""
5,12,2,0,"",""
6,14,0,0,"",""
7,14,3,0,"",""
8,14,2,0,"",""
9,16,0,0,"",""
10,16,3,0,"",""
11,16,2,0,"",""
12,17,0,0,"",""
13,17,3,0,"",""
14,17,2,0,"",""
15,18,0,0,"",""
16,18,3,0,"",""
17,18,2,0,"",""
18,5,0,0,"",""
19,5,3,0,"",""
20,5,2,0,"",""
21,20,0,0,"",""
22,20,3,0,"",""
23,20,2,0,"",""
24,21,0,0,"",""
25,21,3,0,"",""
26,21,2,0,"",""
27,22,0,0,"",""
28,22,3,0,"",""
29,22,2,0,"",""
30,23,0,0,"",""
31,23,3,0,"",""
32,23,2,0,"",""
33,24,0,0,"",""
34,24,3,0,"",""
35,24,2,0,"",""
36,25,0,0,"",""
37,25,3,0,"",""
38,25,2,0,"",""
39,26,0,0,"",""
40,26,3,0,"",""
41,26,2,0,"",""
42,27,0,0,"",""
43,27,3,0,"",""
44,27,2,0,"",""
45,28,0,0,"",""
46,28,3,0,"",""
47,28,2,0,"",""
48,29,0,0,"",""
49,29,3,0,"",""
50,29,2,0,"",""
51,30,0,0,"",""
52,30,3,0,"",""
53,30,2,0,"",""
54,31,0,0,"",""
55,31,3,0,"",""
56,31,2,0,"",""
57,32,0,0,"",""
58,32,3,0,"",""
59,32,2,0,"",""
60,33,0,0,"",""
61,33,3,0,"",""
62,33,2,0,"",""
63,34,0,0,"",""
64,34,3,0,"",""
65,34,2,0,"",""
66,35,0,0,"",""
67,35,3,0,"",""
68,35,2,0,"",""
69,36,0,0,"",""
70,36,3,0,"",""
71,36,2,0,"",""
72,7,0,0,"",""
73,7,3,0,"",""
74,7,2,0,"",""
75,9,0,0,"",""
76,9,3,0,"",""
77,9,2,0,"",""
78,0,0,0,"",""
79,0,3,0,"",""
80,0,2,0,"",""
81,37,0,0,"",""
82,37,3,0,"",""
83,37,2,0,"",""
84,38,0,0,"",""
85,38,3,0,"",""
86,38,2,0,"",""
87,39,0,0,"",""
88,39,3,0,"",""
89,39,2,0,"",""
90,40,0,0,"",""
91,40,3,0,"",""
92,40,2,0,"",""
93,42,0,0,"",""
94,42,3,0,"",""
95,42,2,0,"",""
96,44,0,0,"",""
97,44,3,0,"",""
98,44,2,0,"",""
99,45,0,0,"",""
100,45,3,0,"",""
101,45,2,0,"",""
102,4,0,0,"",""
103,4,3,0,"",""
104,4,2,0,"",""
105,46,0,0,"",""
106,46,3,0,"",""
107,46,2,0,"",""
108,47,0,0,"",""
109,47,3,0,"",""
110,47,2,0,"",""
