"rownum","Item","TriggeredQuestFlag","rid","i32","[rid]","bool","bool","rid","rid","Script","rid","rid","i32","[rid]","rid"
0,1059,2285,"",225,[],"","",902,916,"upgrade_map_device","","",4119,[],""
1,1060,1871,"",351,[],"","",6288,6286,"upgrade_map_device","","",4119,[],""
2,1061,1870,"",352,[],"","",6287,6285,"upgrade_map_device","","",4119,[],""
3,1068,2302,"",979,[],"",1,903,"","","","",4119,[],""
4,1069,2303,"",980,[],"",1,903,"","","","",4119,[],""
5,1070,2304,"",981,[],"",1,903,"","","","",4119,[],""
6,1071,2305,"",982,[],"",1,903,"","","","",4119,[],""
7,1584,954,"",207,[],"",1,905,"","","","",4119,[],""
8,1586,955,"",212,[],"",1,6265,"","","","",4119,[],""
9,1588,956,"",323,[],"",1,906,"","","","",4119,[],""
10,1590,957,"",328,[],"",1,6266,"","","","",4119,[],""
11,317,2008,"",662,[],"","",901,915,"skill_book","","",4119,[],""
12,318,2009,"",663,[],"","",901,915,"skill_book","","",4119,[],""
13,319,2010,"",664,[],"","",901,915,"skill_book","","",4119,[],""
14,320,2011,"",665,[],"","",901,915,"skill_book","","",4119,[],""
15,321,2013,"",675,[],"","",901,915,"skill_book","","",4119,[],""
16,322,2014,"",676,[],"","",901,915,"skill_book","","",4119,[],""
17,323,2694,"",4004,[],"","",7872,7878,"skill_book","","",4119,[],""
18,324,2695,"",4005,[],"","",7872,7878,"skill_book","","",4119,[],""
19,325,2696,"",4006,[],"","",7872,7878,"skill_book","","",4119,[],""
20,326,2697,"",4007,[],"","",7872,7878,"skill_book","","",4119,[],""
21,327,2698,"",4008,[],"","",7872,7878,"skill_book","","",4119,[],""
22,328,4958,"",4042,[],"","",7872,7878,"skill_book","","",4119,[],""
23,329,4959,"",4043,[],"","",7872,7878,"skill_book","","",4119,[],""
24,330,4960,"",4044,[],"","",7872,7878,"skill_book","","",4119,[],""
25,331,4961,"",4045,[],"","",7872,7878,"skill_book","","",4119,[],""
26,332,4962,"",4046,[],"","",7872,7878,"skill_book","","",4119,[],""
27,333,4963,"",4047,[],"","",7872,7878,"skill_book","","",4119,[],""
28,334,4964,"",4048,[],"","",7872,7878,"skill_book","","",4119,[],""
29,335,4965,"",4049,[],"","",7872,7878,"skill_book","","",4119,[],""
30,336,4966,"",4050,[],"","",7872,7878,"skill_book","","",4119,[],""
31,337,4967,"",4051,[],"","",7872,7878,"skill_book","","",4119,[],""
32,338,2699,"",4009,[],"","",7873,7879,"skill_book","","",4119,[],""
33,339,2700,"",4010,[],"","",7873,7879,"skill_book","","",4119,[],""
34,340,2701,"",4011,[],"","",7873,7879,"skill_book","","",4119,[],""
35,341,2702,"",4012,[],"","",7873,7879,"skill_book","","",4119,[],""
36,342,2703,"",4013,[],"","",7874,7880,"skill_book","","",4119,[],""
37,343,2704,"",4014,[],"","",7874,7880,"skill_book","","",4119,[],""
38,344,2705,"",4015,[],"","",7874,7880,"skill_book","","",4119,[],""
39,345,2706,"",4016,[],"","",7874,7880,"skill_book","","",4119,[],""
40,346,2707,"",4017,[],"","",7875,7881,"skill_book","","",4119,[],""
41,347,2708,"",4018,[],"","",7875,7881,"skill_book","","",4119,[],""
42,348,2709,"",4019,[],"","",7875,7881,"skill_book","","",4119,[],""
43,349,2710,"",4020,[],"","",7875,7881,"skill_book","","",4119,[],""
44,350,2711,"",4021,[],"","",7876,7882,"skill_book","","",4119,[],""
45,351,2712,"",4022,[],"","",7876,7882,"skill_book","","",4119,[],""
46,352,2713,"",4023,[],"","",7876,7882,"skill_book","","",4119,[],""
47,353,2714,"",4024,[],"","",7876,7882,"skill_book","","",4119,[],""
48,354,2726,"",677,[],"","",7877,7883,"skill_book","","",4119,[],""
49,355,2727,"",678,[],"","",7877,7883,"skill_book","","",4119,[],""
50,356,2728,"",679,[],"","",7877,7883,"skill_book","","",4119,[],""
51,357,2729,"",680,[],"","",7877,7883,"skill_book","","",4119,[],""
52,358,2804,"",681,[],"","",7877,7883,"skill_book","","",4119,[],""
53,359,2872,"",682,[],"","",8315,8316,"skill_book","","",4119,[],""
54,360,2873,"",683,[],"","",8315,8316,"skill_book","","",4119,[],""
55,361,2874,"",684,[],"","",8315,8316,"skill_book","","",4119,[],""
56,362,2875,"",685,[],"","",8315,8316,"skill_book","","",4119,[],""
57,367,1519,1517,4119,[],"","",921,"","sentinel_controller","","",4119,[],""
58,1656,2161,2725,4119,[],"","",923,"","grant_quest_flag_trigger_npc_audio","","",4119,[],""
59,3014,2163,4924,4119,[],"","",924,"","","","",4119,[],""
60,2601,2939,2940,4119,[],"","","","","","","",4119,[],""
61,2602,2949,2957,4119,[],"","","","","","","",4119,[],""
62,2607,3007,2948,4119,[],"","","","","","","",4119,[],""
63,2608,3008,2948,4119,[],"","","","","","","",4119,[],""
64,2609,3009,2948,4119,[],"","","","","","","",4119,[],""
65,2603,3734,3733,4119,[],"","",925,926,"skill_book","","",4119,[],""
66,2604,3736,3735,4119,[],"","",922,927,"skill_book","","",4119,[],""
67,2605,4850,4851,4119,[],"","",922,928,"skill_book","","",4119,[],""
68,2610,4703,4705,4119,[],"","","","","","","",4119,[],""
69,2611,4704,4705,4119,[],"","","","","","","",4119,[],""
70,2612,4706,4707,4119,[],"","","","","","",2980,4119,[],""
71,2606,3737,2992,4119,[],"","",929,930,"skill_book","","",4119,[],""
72,2614,3739,3738,4119,[],"","",931,932,"skill_book","","",4119,[],""
73,2615,3740,3741,4119,[],"","",933,934,"skill_book","","",4119,[],""
74,2616,3743,3742,4119,[],"","",935,936,"skill_book","","",4119,[],""
75,2617,4752,4753,4119,[],"","",937,938,"consume_quest_item_create_item","","",4119,[],""
76,2618,4942,"",4026,[],"","","","","","","",4119,[],""
77,2619,3745,3744,4119,[],"","",943,944,"skill_book","","",4119,[],""
78,2620,3747,3746,4119,[],"","",945,946,"skill_book","","",4119,[],""
79,2633,4329,4330,4119,[],"","",979,980,"skill_book","","",4119,[],""
80,2637,4332,4333,4119,[],"","",981,982,"skill_book","","",4119,[],""
81,2625,3189,4335,4119,[],"","",983,"","","","",4119,[],""
82,2626,4336,4337,4119,[],"","",984,"","","","",4119,[],""
83,2624,3187,3188,4119,[],"","",984,"","","","",4119,[],""
84,2627,4338,4339,4119,[],"","",985,"","","","",4119,[],""
85,2628,4340,4341,4119,[],"","",986,"","","","",4119,[],""
86,2629,4342,4343,4119,[],"","",987,"","","","",4119,[],""
87,2621,4344,4565,4119,[],"","",988,"","","","",4119,[],""
88,2622,4346,4347,4119,[],"","",989,990,"skill_book","","",4119,[],""
89,2623,4348,4349,4119,[],"","",991,992,"skill_book","","",4119,[],""
90,2638,4754,4755,4119,[],"","",939,940,"consume_quest_item_create_item","","",4119,[],""
91,2636,3242,3243,4119,[],"","","","","","","",4119,[],""
92,2630,3351,3282,4119,[],"","","","","","","",4119,[],""
93,2634,3207,3222,4119,[],"","","","","","","",4119,[],""
94,2635,3210,3223,4119,[],"","","","","","","",4119,[],""
95,2639,4350,4351,4119,[],"","",993,994,"skill_book","","",4119,[],""
96,2640,4352,4353,4119,[],"","",995,996,"skill_book","","",4119,[],""
97,2641,4681,4682,4119,[],"","",997,998,"skill_book","","",4119,[],""
98,2644,3782,2814,4119,[],"","",947,948,"skill_book","","",4119,[],3783
99,2645,4685,2814,4119,[],"","",949,950,"skill_book","","",4119,[],4686
100,2646,4687,2814,4119,[],"","",951,952,"skill_book","","",4119,[],4688
101,2647,2805,2814,4119,[],"","",953,954,"skill_book","","",4119,[],2808
102,2648,2806,2814,4119,[],"","",955,956,"skill_book","","",4119,[],2809
103,2649,2807,2814,4119,[],"","",957,958,"skill_book","","",4119,[],2810
104,2650,3901,3904,4119,[],"","","","","","","",4119,[],""
105,2658,3784,3785,4119,[],"","",960,959,"skill_book","","",4119,[],""
106,2657,3764,3854,4119,[],"","","","","","","",4119,[],""
107,2660,3786,3787,4119,[],"","","","","","","",4119,[],""
108,2659,3896,3853,4119,[],"","","","","","","",4119,[],""
109,2661,3788,3789,4119,[],"","",961,962,"skill_book","","",4119,[],""
110,2662,4676,4677,4119,[],"","","","","","","",4119,[],""
111,2665,4874,4875,4119,[],1,"",963,"","","","",4119,"[358,359,360]",""
112,2666,4876,4877,4119,[],1,"",963,"","","","",4119,"[358,359,360]",""
113,2667,4878,4879,4119,[],1,"",963,"","","","",4119,"[358,359,360]",""
114,2668,4971,4972,4119,[],1,"",963,"","","","",4119,"[358,359,360]",""
115,2669,4973,4974,4119,[],1,"",963,"","","","",4119,"[358,359,360]",""
116,2670,4975,4976,4119,[],1,"",963,"","","","",4119,"[358,359,360]",""
117,2671,4832,4833,4119,[],"","",964,965,"","","",4119,[],""
118,2672,3790,3791,4119,[],"","",966,967,"skill_book","","",4119,[],""
119,2643,3792,3793,4119,[],"","",968,969,"skill_book","","",4119,[],""
120,3007,4931,4932,4119,[],"","","","","","","",4119,[],""
121,3008,4933,4934,4119,[],"","","","","","","",4119,[],""
122,3009,4935,4936,4119,[],"","","","","","","",4119,[],""
123,2674,4821,4823,4119,[],"","",970,"","","","",4119,[],""
124,2673,3794,3795,4119,[],"","",971,972,"skill_book","","",4119,[],""
125,2675,4756,4757,4119,[],"","",941,942,"consume_quest_item_create_item","","",4119,[],""
