"rownum","BaseItemTypesKey","SpawnWeight","Cost","MinDepth","IsResonator","i32","i32"
0,179,100,300,0,1,1,600
1,180,100,750,0,1,1,1500
2,181,100,3750,0,1,1,7500
3,142,100,1000,0,"",0,2000
4,143,100,1000,0,"",0,2000
5,144,100,1000,0,"",0,2000
6,145,100,1000,0,"",0,2000
7,146,100,1000,0,"",0,2000
8,147,100,1000,0,"",0,2000
9,148,100,1000,0,"",0,2000
10,149,40,10000,19,"",0,20000
11,150,40,10000,19,"",0,20000
12,151,40,10000,19,"",0,20000
13,152,40,10000,19,"",0,20000
14,153,40,10000,19,"",0,20000
15,154,40,10000,19,"",0,20000
16,155,40,10000,19,"",0,20000
17,156,40,10000,19,"",0,20000
18,157,40,10000,19,"",0,20000
19,158,40,10000,19,"",0,20000
20,159,10,1000000,75,"",0,2000000
21,160,10,1000000,75,"",0,2000000
22,161,10,1000000,75,"",0,2000000
23,162,10,1000000,75,"",0,2000000
24,163,10,1000000,75,"",0,2000000
25,164,10,1000000,75,"",0,2000000
26,165,10,100000,35,"",0,200000
27,166,10,100000,35,"",0,200000
28,175,100,300,0,1,2,600
29,176,100,750,0,1,2,1500
30,177,100,3750,0,1,2,7500
