"rownum","Mod","Categories","DestroyAchievements"
0,3749,[3],[]
1,3756,[3],[]
2,3755,[3],[]
3,3763,[3],[]
4,3750,[0],[]
5,3751,[2],[]
6,3752,[0],[]
7,3761,[0],[]
8,3753,[2],[]
9,3754,[0],[]
10,3762,[0],[]
11,3760,[0],[]
12,3764,[0],[]
13,3748,[0],[]
14,3757,[3],[]
15,3758,[3],[]
16,3759,[3],[]
17,3715,[0],[]
18,3716,[0],[]
19,3717,[0],[]
20,3718,[0],[]
21,3719,[0],[]
22,3720,[0],[]
23,3721,[0],[]
24,3722,[0],[]
25,3723,[0],[]
26,3724,[0],[]
27,3725,[0],[]
28,3726,[1],[]
29,3727,[0],[]
30,3728,[0],[]
31,3729,[0],[]
32,3730,[1],[]
33,3731,[0],[]
34,3732,[0],[]
35,3733,[0],[]
36,3734,[0],[]
37,3735,[0],[]
38,3736,[0],[]
39,3737,[0],[]
40,3738,[0],[]
41,3739,[0],[]
42,3740,[0],[]
43,3741,[0],[]
44,3742,[0],[]
45,3743,[0],[]
46,3744,[0],[]
47,3745,[0],[]
48,3746,[0],[]
49,3747,[0],[]
