"rownum","BaseItemTypesKey","i32","Description","Hash","AchievementItemsKeys"
0,9333,111,"Essence Item",52571,[]
1,9334,131,"Currency Item",52259,[]
2,9335,151,"Unique Item",18701,[]
3,9336,121,"Map Item",22038,[]
4,9337,251,"Unique Map Item",6696,[]
5,9338,301,"Rare Abyss Item",41772,[]
6,9339,301,"Fragment Item",60390,[]
7,9340,301,"Scarab Item",32186,[]
8,9341,151,"Essence Item",23218,[]
9,9342,301,"Fossil Item",19642,[]
10,9343,221,"Expedition Item",40101,[]
11,9344,151,"Stacked Decks",34745,[]
12,9345,151,"Talisman Item",43064,[]
13,9346,161,"Labyrinth Item",19352,[]
14,9347,1001,"6-Linked Armour Item",6078,[]
15,9348,141,"Currency Item",14134,[]
16,9349,1501,"League-specific Unique Item",4526,[]
17,9350,501,"Shaper or Elder Armour Item",61377,[]
18,9351,501,"Shaper or Elder Weapon Item",53204,[]
19,9352,701,"Shaper or Elder Trinket Item",61894,[]
20,9353,501,"Elder Map Item",39336,[]
21,9354,351,"Breach Item",43164,[]
22,9355,351,"valuable Currency Shards or Harbinger Item",50482,[]
23,9356,501,"high level Corrupted Gem or Valuable Gem",15068,[]
24,9357,301,"Item",31223,[]
25,9358,121,"Quality Gem",16288,[]
26,9359,151,"Bestiary Item",28161,[]
27,9360,221,"Blight Item",19373,[]
28,9361,221,"Ultimatum Item",62324,[]
29,9362,431,"Delirium Item",23535,[]
30,9363,111,"Essence Item",46750,[]
31,9364,131,"Currency Item",54300,[]
32,9365,151,"Unique Item",59184,[]
33,9366,121,"Map Item",43361,[]
34,9367,251,"Unique Map Item",37492,[]
35,9368,301,"Rare Abyss Item",2531,[]
36,9369,301,"Fragment Item",4173,[]
37,9370,301,"Scarab Item",25303,[]
38,9371,151,"Essence Item",31454,[]
39,9372,301,"Fossil Item",51101,[]
40,9373,221,"Expedition Item",41074,[]
41,9374,151,"Stacked Decks",47490,[]
42,9375,151,"Talisman Item",23793,[]
43,9376,161,"Labyrinth Item",42868,[]
44,9377,1001,"6-Linked Armour Item",12755,[]
45,9378,141,"Currency Item",30048,[]
46,9379,1501,"League-specific Unique Item",32094,[]
47,9380,501,"Shaper or Elder Armour Item",38195,[]
48,9381,501,"Shaper or Elder Weapon Item",28068,[]
49,9382,701,"Shaper or Elder Trinket Item",52048,[]
50,9383,501,"Elder Map Item",56725,[]
51,9384,351,"Breach Item",39939,[]
52,9385,351,"valuable Currency Shards or Harbinger Item",19733,[]
53,9386,501,"high level Corrupted Gem or Valuable Gem",41974,[]
54,9387,301,"Item",55071,[]
55,9388,121,"Quality Gem",43471,[]
56,9389,151,"Bestiary Item",58563,[]
57,9390,221,"Blight Item",24651,[]
58,9391,221,"Ultimatum Item",65346,[]
59,9392,431,"Delirium Item",12740,[]
