"rownum","Id","WitnessesRequired","AreaLevel","i32","i32","BaseItemType","i32","MinMapTier","rid","i32","WitnessAreas","i32","rid","bool","[rid]","Achievements1","Achievements2"
0,"Void1",4,83,974,4,9875,225,0,2333,1100,"[1247,1249,1248,1246]",1323,2297,1,[],[8796],[9694]
1,"Void2",4,83,975,4,9876,225,0,2333,1101,"[1741,1740,1738,1739]",1323,2298,1,[],[8797],[9693]
2,"Void3",4,83,976,4,9877,225,0,2333,1102,"[457,455,454,456]",1323,2299,1,[],[8798],[9695]
3,"Void4",4,83,977,4,9878,225,0,2333,1103,"[1076,1078,1079,1080]",1323,2300,1,[],[8799],[9692]
4,"Void5",5,83,978,5,9879,225,0,2333,1104,"[453,1077,757,1250,1283]",1323,2348,1,[],[8800],[9691]
5,"Void6",4,83,1162,4,9880,225,0,2333,1161,"[1742,1743,1744,1745]",1323,2350,1,[],[8801],[9690]
6,"Atlas1",3,73,979,2,9881,225,6,2334,1019,[],1323,2301,"",[],[],[]
7,"Atlas2",4,75,980,2,9882,979,8,2334,1019,[],1323,2302,"",[],[],[]
8,"Atlas3",5,78,981,3,9883,980,10,2334,1019,[],1323,2303,"",[],[],[]
9,"Atlas4",6,80,982,3,9884,981,12,2334,1019,[],1323,2304,"",[],[],[]
10,"Atlas5",10,83,983,10,9885,982,14,2334,1019,[],1084,2349,"",[],[],[]
