"rownum","Item","TriggeredQuestFlag","rid","i32","rid","[rid]","bool","bool","rid","i32","rid","Script","rid"
0,9872,2284,"",225,"",[],"","","",1323,"","",""
1,9873,1870,"",351,"",[],"","","",1323,"","",""
2,9874,1869,"",352,"",[],"","","",1323,"","",""
3,9881,2301,"",979,"",[],"",1,888,1323,"","",""
4,9882,2302,"",980,"",[],"",1,888,1323,"","",""
5,9883,2303,"",981,"",[],"",1,888,1323,"","",""
6,9884,2304,"",982,"",[],"",1,888,1323,"","",""
7,6119,2583,"",1156,"",[],"","",903,1323,"","",""
8,6120,2584,"",1157,"",[],"","",904,1323,"","",""
9,6121,2594,"",1160,"",[],"","",905,1323,"","",""
10,10417,953,"",207,"",[],"",1,890,1323,"","",""
11,10419,954,"",212,"",[],"",1,6146,1323,"","",""
12,10421,955,"",323,"",[],"",1,891,1323,"","",""
13,10423,956,"",328,"",[],"",1,6147,1323,"","",""
14,6023,2007,"",662,"",[],"","",886,662,900,"skill_book",""
15,6024,2008,"",663,"",[],"","",886,663,900,"skill_book",""
16,6025,2009,"",664,"",[],"","",886,664,900,"skill_book",""
17,6026,2010,"",665,"",[],"","",886,665,900,"skill_book",""
18,6027,2012,"",675,"",[],"","",886,675,900,"skill_book",""
19,6028,2013,"",676,"",[],"","",886,676,900,"skill_book",""
20,6122,1518,1516,1323,1516,[],"","",906,1323,"","sentinel_controller",""
21,10555,2160,"",416,"",[],"","",908,1323,"","",""
