"rownum","Id","WorldAreasKey","BaseItemTypesKeys","SocketColour"
0,"ProxyKey1",1371,[5226],"R_G_B"
1,"ProxyKey2",1371,[5333],"R_G_B"
2,"ProxyKey3",1371,[5002],"R_G_B"
3,"ProxyKey4",1371,[5510],"R_G_B"
4,"ProxyKey5",1371,[5471],"R_G_B"
5,"ProxyKey6",1371,[5198],"R_G_B"
6,"ProxyKey7",1371,[5170],"R_G_B"
7,"ProxyKey8",1371,[5117],"R_G_B"
8,"ProxyKey9",1371,[5028],"R_G_B"
9,"ProxyKey28",1371,[5907],""
10,"ProxyKey29",1371,[5930],""
11,"ProxyKey30",1371,[5569],"R_G_B"
12,"ProxyKey31",1371,[1],""
13,"ProxyKey32",1371,[1],""
14,"ProxyKey33",1371,[1],""
15,"ProxyKey34",1371,[1],""
16,"ProxyKey35",1371,[1],""
17,"ProxyKey10",1371,[6130],""
18,"ProxyKey11",1371,[6137],""
19,"ProxyKey12",1371,[6138],""
20,"ProxyKey13",1371,[6141],""
21,"ProxyKey14",1371,[6145],""
22,"ProxyKey15",1371,[6149],""
23,"ProxyKey16",1371,[6155],""
24,"ProxyKey17",1371,[6157],""
25,"ProxyKey18",1371,[6193],""
26,"ProxyKey19",1371,[6195],""
27,"ProxyKey20",1371,[6198],""
28,"ProxyKey21",1371,[6221],""
29,"ProxyKey22",1371,[6251],""
30,"ProxyKey23",1371,[6269],""
31,"ProxyKey24",1371,[6272],""
32,"ProxyKey25",1371,[6309],""
33,"ProxyKey26",1371,[6363],""
34,"ProxyKey27",1371,[6384],""
35,"ProxyKey36",1371,[6404],""
36,"ProxyKey37",1371,[6410],""
37,"ProxyKey38",1371,[6414],""
