"rownum","SetId","AchievementsRequired","Rewards","TotemPieceEveryNAchievements","Message","NotificationIcon","HideoutName","Id"
0,8,1,[538],0,"","","","SeraphBootsCerulean"
1,8,2,[537],0,"","","","SeraphBodyCerulean"
2,8,3,[539],0,"","","","SeraphGlovesCerulean"
3,8,4,[540],0,"","","","SeraphHelmetCerulean"
4,9,1,[550],0,"","","","SeraphBootsSanguine"
5,9,2,[549],0,"","","","SeraphBodySanguine"
6,9,3,[551],0,"","","","SeraphGlovesSanguine"
7,9,4,[552],0,"","","","SeraphHelmetSanguine"
8,7,1,[7935],1,"","","","HideoutTotemPole1"
9,10,1,[7937],1,"","","","HideoutTotemPole2"
10,11,5,[542],0,"","","","SeraphBootsGolden"
11,11,10,[543],0,"","","","SeraphGlovesGolden"
12,11,15,[541],0,"","","","SeraphBodyGolden"
13,11,20,[544],0,"","","","SeraphHelmetGolden"
14,12,7,[689],0,"","","","RigwaldBoots"
15,12,14,[690],0,"","","","RigwaldGloves"
16,12,21,[691],0,"","","","RigwaldBody"
17,12,28,[688],0,"","","","RigwaldHelmet"
18,12,18,[7939],2,"","","","HideoutTotemPole3"
19,13,12,[724],0,"","","","PerandusFootprints"
20,13,24,[725],0,"","","","PerandusWeapon"
21,13,36,[726],0,"","","","PerandusPortal"
22,13,19,[7941],3,"","","","HideoutTotemPole4"
23,14,12,[747],0,"","","","ProphecyFootprints"
24,14,24,[748],0,"","","","ProphecyWeapon"
25,14,36,[4626],0,"","","","NavaliMonkey"
26,14,19,[7943],3,"","","","HideoutTotemPole5"
27,15,12,[815],0,"","","","EssenceFootprints"
28,15,24,[813],0,"","","","EssenceWings"
29,15,36,[814],0,"","","","EssencePortal"
30,15,19,[7945],3,"","","","HideoutTotemPole6"
31,16,12,[872],0,"","","","BreachFootprints"
32,16,24,[853],0,"","","","BreachPortal"
33,16,36,[843],0,"","","","DemonicWings"
34,16,19,[7947],3,"","","","HideoutTotemPole7"
35,17,12,[930],0,"","","","LegacyFootprintsEffect"
36,17,24,[936],0,"","","","LegacyWeaponEffect"
37,17,36,[885],0,"","","","LegacyPortalEffect"
38,17,19,[7949],3,"","","","HideoutTotemPole8"
39,18,12,[1036],0,"","","","HarbingerEyes"
40,18,24,"[1037,1038]",0,"","","","HarbingerCrownBundle"
41,18,36,[1039],0,"","","","HarbingerCharacterEffect"
42,18,19,[7951],3,"","","","HideoutTotemPole9"
43,19,12,[1236],0,"","","","AbyssHelmet"
44,19,24,[1112],0,"","","","AbyssWings"
45,19,36,[1239],0,"","","","AbyssPortalEffect"
46,19,19,[7953],3,"","","","HideoutTotemPole10"
47,20,12,[1624],0,"","","","BestiaryHelmet"
48,20,24,[1604],0,"","","","BestiaryWings"
49,20,36,[1625],0,"","","","BestiaryPortalEffect"
50,20,19,[7955],3,"","","","HideoutTotemPole11"
51,21,1,[],0,"Congratulations!\nYou earned a Sin and Innocence Mystery Box!","Art/2DItems/Effects/MysteryChest/SinInnocenceMysteryBox.dds","Sin and Innocence Mystery Box","MysteryPackSinAndInnocenceBox"
52,22,12,[1661],0,"","","","IncursionBandana"
53,22,24,[1663],0,"","","","IncursionCloak"
54,22,36,[1664],0,"","","","IncursionPortalEffect"
55,22,19,[7957],3,"","","","HideoutTotemPole12"
56,23,1,[],0,"Congratulations!\nYou earned an Apocalypse Mystery Box!","Art/2DItems/Effects/MysteryChest/ApocalypseMysteryBox.dds","Apocalypse Mystery Box","MysteryPackApocalypseBox"
57,24,12,[4690],0,"","","","DelvePet"
58,24,24,[1839],0,"","","","DelveBackAttachment"
59,24,36,[1829],0,"","","","DelvePortalEffect"
60,24,19,[7959],3,"","","","HideoutTotemPole13"
61,25,12,[1895],0,"","","","BetrayalHelmetAttachment"
62,25,24,[1896],0,"","","","BetrayalAuraEffect"
63,25,36,[1897],0,"","","","BetrayalCloak"
64,25,19,[7961],3,"","","","HideoutTotemPole14"
65,26,12,"[2078,2079]",0,"","","","SynthesisHelmetBundle"
66,26,24,[4704],0,"","","","SynthesisPet"
67,26,36,[2080],0,"","","","SynthesisWings"
68,26,19,[7963],3,"","","","HideoutTotemPole15"
69,27,1,[],0,"Congratulations!\nYou earned a Glimmerwood Mystery Box!","Art/2DItems/Effects/MysteryChest/DarkwoodMysteryBox.dds","Glimmerwood Mystery Box","MysteryPackGlimmerwoodBox"
70,28,12,[2264],0,"Earned Monolith Crown Microtransaction!","","","LegionHelmet"
71,28,24,[2265],0,"Earned Monolith Aura Effect Microtransaction!","","","LegionAuraEffect"
72,28,36,[2266],0,"Earned Monolith Wings Microtransaction!","","","LegionWings"
73,28,19,[7965],3,"Earned Legion Totem!\nThe more challenges you complete, the bigger it gets!","","","HideoutTotemPole16"
74,29,12,[2353],0,"Earned Blight Helmet Microtransaction!","","","BlightHelmet"
75,29,24,[2354],0,"Earned Blight Portal Effect Microtransaction!","","","BlightPortalEffect"
76,29,36,[2355],0,"Earned Blight Wings Microtransaction!","","","BlightWings"
77,29,19,[7967],3,"Earned Blight Totem!\nThe more challenges you complete, the bigger it gets!","","","HideoutTotemPole17"
78,30,12,[2482],0,"Earned Metamorph Footprints Effect Microtransaction!","","","MetamorphFootprintsEffect"
79,30,24,[2483],0,"Earned Metamorph Weapon Effect Microtransaction!","","","MetamorphWeaponEffect"
80,30,36,[2484],0,"Earned Metamorph Portal Effect Microtransaction!","","","MetamorphPortalEffect"
81,30,19,[7969],3,"Earned Metamorph Totem!\nThe more challenges you complete, the bigger it gets!","","","HideoutTotemPole18"
82,31,12,[2595],0,"Earned Delirium Horn Microtransaction!","","","DeliriumHorns"
83,31,24,[2596],0,"Earned Delirium Cloak Microtransaction!","","","DeliriumCloak"
84,31,36,[2597],0,"Earned Delirium Wings Microtransaction!","","","DeliriumWings"
85,31,19,[7971],3,"Earned Delirium Totem!\nThe more challenges you complete, the bigger it gets!","","","HideoutTotemPole19"
86,32,12,[2757],0,"Earned Harvest Footprints Effect Microtransaction!","","","HarvestFootprintsEffect"
87,32,24,[2758],0,"Earned Harvest Cloak Microtransaction!","","","HarvestCloak"
88,32,36,[2759],0,"Earned Harvest Portal Effect Microtransaction!","","","HarvestPortalEffect"
89,32,19,[7973],3,"Earned Harvest Totem!\nThe more challenges you complete, the bigger it gets!","","","HideoutTotemPole20"
90,33,12,"[2875,2876,2877]",0,"Earned Heist Helmet Pack!","Art/2DItems/Effects/Hats/HeistHelmetPack.dds","","HeistHelmetPack"
91,33,24,[4788],0,"Earned Heist Cat Pet Microtransaction!","","","HeistPet"
92,33,36,[2878],0,"Earned Heist Portal Effect Microtransaction!","","","HeistPortalEffect"
93,33,19,[7975],3,"Earned Heist Totem!\nThe more challenges you complete, the bigger it gets!","","","HideoutTotemPole21"
94,34,1,[],0,"Congratulations!\nYou earned a Twilight Mystery Box!","Art/2DItems/Effects/MysteryChest/TwilightMysteryBox.dds","Twilight Mystery Box","MysteryPackTwilightBox"
95,35,1,[],0,"Congratulations!\nYou earned a Twilight Mystery Box!","Art/2DItems/Effects/MysteryChest/TwilightMysteryBox.dds","Twilight Mystery Box","MysteryPackTwilightBox"
96,36,1,[],0,"Congratulations!\nYou earned a Twilight Mystery Box!","Art/2DItems/Effects/MysteryChest/TwilightMysteryBox.dds","Twilight Mystery Box","MysteryPackTwilightBox"
97,37,12,[3081],0,"Congratulations!\nYou earned the Ritual Weapon Effect!","","","RitualWeaponEffect"
98,37,24,[3082],0,"Congratulations!\nYou earned the Ritual Character Effect!","","","RitualCharacterEffect"
99,37,36,[],0,"Congratulations!\nYou earned the Ritualist's Hideout!","Art/2DItems/Hideout/RitualHideout.dds","Ritualist's Hideout","HideoutRitualLeague"
100,37,19,[7977],3,"Congratulations! You earned the Ritual Totem!\nThe more challenges you complete, the bigger it gets!","","","HideoutTotemPole22"
101,38,12,[3162],0,"Congratulations!\nYou earned the Ultimatum Helmet Skin!","","","UltimatumHelmet"
102,38,24,[4822],0,"Congratulations!\nYou earned the Ultimatum Pet!","","","UltimatumPet"
103,38,36,[3163],0,"Congratulations!\nYou earned the Ultimatum Portal Effect!","","","UltimatumPortalEffect"
104,38,19,[7979],3,"Congratulations! You earned the Ultimatum Totem!\nThe more challenges you complete, the bigger it gets!","","","HideoutTotemPole23"
105,39,12,[3305],0,"Congratulations!\nYou earned the Expedition Footprints Effect!","","","ExpeditionFootprintsEffect"
106,39,24,[3306],0,"Congratulations!\nYou earned the Expedition Weapon Effect!","","","ExpeditionWeaponEffect"
107,39,36,[3307],0,"Congratulations!\nYou earned the Expedition Portal Effect!","","","ExpeditionPortalEffect"
108,39,19,[7981],3,"Congratulations! You earned the Expedition Totem!\nThe more challenges you complete, the bigger it gets!","","","HideoutTotemPole24"
109,40,12,[3519],0,"Congratulations!\nYou earned the Scourge Weapon!","","","ScourgeWeapon"
110,40,24,[3520],0,"Congratulations!\nYou earned the Scourge Wings!","","","ScourgeWings"
111,40,36,[4856],0,"Congratulations!\nYou earned the Scourge Pet!","","","ScourgePet"
112,40,19,[7983],3,"Congratulations! You earned the Scourge Totem!\nThe more challenges you complete, the bigger it gets!","","","HideoutTotemPole25"
113,41,1,[],0,"Congratulations!\nYou earned a Atlantis Mystery Box!","Art/2DItems/Effects/MysteryChest/AtlantisMysteryBox.dds","Atlantis Mystery Box","MysteryPackAtlantisBox"
114,42,1,[],0,"Congratulations!\nYou earned a Atlantis Mystery Box!","Art/2DItems/Effects/MysteryChest/AtlantisMysteryBox.dds","Atlantis Mystery Box","MysteryPackAtlantisBox"
115,43,1,[],0,"Congratulations!\nYou earned a Atlantis Mystery Box!","Art/2DItems/Effects/MysteryChest/AtlantisMysteryBox.dds","Atlantis Mystery Box","MysteryPackAtlantisBox"
116,44,1,[],0,"Congratulations!\nYou earned a Atlantis Mystery Box!","Art/2DItems/Effects/MysteryChest/AtlantisMysteryBox.dds","Atlantis Mystery Box","MysteryPackAtlantisBox"
