"rownum","Id","BaseItemTypesKeys1","BaseItemTypesKeys2","BaseItemTypesKeys3","BaseItemTypesKeys4","BaseItemTypesKeys5","BaseItemTypesKeys6","BaseItemTypesKeys7","BaseItemTypesKeys8","BaseItemTypesKeys9","BaseItemTypesKeys10","BaseItemTypesKeys11","BaseItemTypesKeys12","WorldAreasKey","BaseItemTypesKeys13","BaseItemTypesKeys14"
0,"Descent1","[5930,5893,5908,1,1]","[5930,5930,1,1]","[5930,5893,5908,1,1]","[5930,5930,1,1]","[5930,5893,5908,1,1]","[5930,5930,1,1]","[5930,5893,5908,1,1]","[5930,5930,1,1]","[5930,5893,5908,1,1]","[5930,5930,1,1]","[5930,5893,5908,1,1]","[5930,5930,1,1]",1319,"[5930,5893,5908,1,1]","[5930,5930,1,1]"
1,"Descent2","[6270,6405,6,5457,6440]","[6270,6405,10,11,11,5456,6440]","[6270,6405,6,5457,6440]","[6270,6405,10,11,11,5456,6440]","[6153,6269,6155,6,5457,6417]","[6153,6269,6155,10,11,11,5456,6417]","[6267,6,5457,6428,6423]","[6267,10,11,11,5456,6428,6423]","[6276,6,5457,6428,6423]","[6276,10,11,11,5456,6428,6423]","[6405,6276,6270,6,5457,6423,6440]","[6405,6276,6270,10,11,11,5456,6423,6440]",1320,"[6270,6276,6405,6,5457,6440,6423]","[6270,6276,6405,10,11,11,5456,6423,6440]"
2,"Descent3","[10,15,10,15,5894,5909,5403,5404,5405,5360,5360,5334,5171,5171,5472]","[10,15,10,15,5894,5909,5403,5404,5405,5360,5361,5362,5334,5171,5171,5472]","[10,15,10,15,5894,5909,5403,5404,5405,5360,5360,5118,5088,5309,5284]","[10,15,10,15,5894,5909,5403,5404,5405,5360,5361,5362,5118,5088,5309,5284]","[10,15,10,15,5894,5909,5403,5404,5405,5360,5360,5118,5118,5227,5948]","[10,15,10,15,5894,5909,5403,5404,5405,5360,5361,5362,5118,5118,5227,5948]","[10,15,10,15,5894,5909,5403,5404,5405,5360,5360,5029,5029,5003,5003]","[10,15,10,15,5894,5909,5403,5404,5405,5360,5361,5362,5029,5029,5003,5003]","[10,15,10,15,5894,5909,5403,5404,5405,5360,5360,5003,5003,5199,5199]","[10,15,10,15,5894,5909,5403,5404,5405,5360,5361,5362,5003,5003,5199,5199]","[10,15,10,15,5894,5909,5403,5404,5405,5360,5360,5199,5199,5256]","[10,15,10,15,5894,5909,5403,5404,5405,5360,5361,5362,5199,5199,5256]",1321,"[10,15,10,15,5894,5909,5403,5404,5405,5360,5360,5199,5199,5309,5088,5088]","[10,15,10,15,5894,5909,5403,5404,5405,5360,5361,5362,5199,5199,5309,5088,5088]"
3,"Descent4","[5402,10,14,1,1,1,6294,6158]","[6,6,6294,6158]","[5402,10,14,1,1,1,6294,6158]","[6,6,6294,6158]","[5402,10,14,1,1,1,6161,6164,6158]","[6,6,6164,6161,6158]","[5402,10,14,1,1,1,6161,6167,6164,6303,6432]","[6,6,6161,6164,6167,6303,6432]","[5402,10,14,1,1,1,6167,6161,6164,6432]","[6,6,6164,6167,6161,6432]","[5402,10,14,1,1,1,6167,6158,6294]","[6,6,6158,6167,6294]",1322,"[5402,10,14,1,1,1,6164,6167,6158]","[6,6,6158,6167,6164]"
4,"Descent5","[6132,0,0,0,0,6,2]","[6132,0,0,0,0,10,11,11,11,11,15,15]","[6132,0,0,0,0,6,2,6146]","[6132,0,0,0,0,10,11,11,11,11,15,15,6146]","[6389,6146,0,0,0,0,6,2]","[6389,6146,0,0,0,0,10,11,11,11,11,15,15]","[6215,0,0,0,0,6,2,6403,6254]","[6403,0,0,0,0,10,11,11,11,11,15,15,6215,6254]","[6215,6403,0,0,0,0,6,2,6254]","[6215,6403,0,0,0,0,10,11,11,11,11,15,15,6254]","[6403,0,0,0,0,6,2,6215,6399,6132]","[6132,6399,0,0,0,0,10,11,11,11,11,15,15,6403,6215]",1323,"[6403,0,0,0,0,6,2,6132,6215]","[6132,0,0,0,0,10,11,11,11,11,15,15,6215,6403]"
5,"Descent6","[5365,6135,5895,5910,6,6,6437]","[5365,5895,5910,6135,11,11,11,11,15,15,6437]","[5365,6135,5895,5910,6300,6,6,6437]","[5365,6300,5895,5910,6135,11,11,11,11,15,15,6437]","[5365,6223,6300,5895,5910,6240,6,6]","[5365,6300,6240,5895,5910,6223,11,11,11,11,15,15]","[5365,6305,5895,5910,6323,6331,6,6,6431,6419]","[5365,5895,5910,6323,6331,6305,11,11,11,11,15,15,6431,6419]","[5365,6241,5895,5910,6331,6234,6131,6,6,6431,6419]","[5365,6131,5895,5910,6234,6331,6241,11,11,11,11,15,15,6431,6419]","[5365,6234,5895,5910,6131,6135,6296,6,6,6437]","[5365,5895,5910,6135,6131,6234,6296,11,11,11,11,15,15,6437]",1324,"[5365,5895,5910,6234,6135,6,6,6437]","[5365,5895,5910,6234,6135,11,11,11,11,15,15,6437]"
6,"Descent7","[0,0,0,0,21,21,21,21,21,20,20,19,19,2,6,5173,5173,5473,5335]","[0,0,0,0,21,21,20,20,20,20,20,19,19,2,6,5173,5173,5473,5335]","[0,0,0,0,21,21,21,21,21,20,20,19,19,2,6,5285,5310,5120,5089]","[0,0,0,0,21,21,20,20,20,20,20,19,19,2,6,5285,5310,5120,5089]","[0,0,0,0,21,21,21,21,21,20,20,19,19,2,6,5229,5120,5120,5948]","[0,0,0,0,21,21,20,20,20,20,20,19,19,2,6,6,5229,5120,5120,5948]","[0,0,0,0,21,21,21,21,21,20,20,19,19,2,6,5004,5004,5031,5031]","[0,0,0,0,21,21,20,20,20,20,20,19,19,2,6,5004,5004,5031,5031]","[0,0,0,0,21,21,21,21,21,20,20,19,19,2,6,5004,5004,5201,5201]","[0,0,0,0,21,21,20,20,20,20,20,19,19,2,6,5004,5004,5201,5201]","[0,0,0,0,21,21,21,21,21,20,20,19,19,2,6,5201,5201,5257]","[0,0,0,0,21,21,20,20,20,20,20,19,19,2,6,5201,5201,5257]",1325,"[0,0,0,0,21,21,21,21,21,20,20,19,19,2,6,5201,5201,5089,5089,5310]","[0,0,0,0,21,21,20,20,20,20,20,19,19,2,6,5201,5201,5089,5089,5310]"
7,"Descent8","[6378,6140,6274,5364,5366,5409,5410,5408,2,6,11]","[6378,6140,6274,5364,5366,5409,5410,5408,12,12,10,10,10,11]","[6378,6140,6274,5364,5366,5409,5410,5408,2,6,11]","[6378,6140,6274,5364,5366,12,12,10,10,10,11,5409,5410,5408]","[6378,6379,6147,6274,5364,5366,5409,5410,5408,2,6,11]","[6378,6379,6147,6274,5364,5366,12,12,10,10,10,11,5409,5410,5408]","[6380,6379,6274,5364,5366,5409,5410,5408,2,6,11]","[6380,6379,6274,5364,5366,12,12,10,10,10,11,5409,5410,5408]","[6380,6379,5364,5366,5409,5410,5408,2,6,11]","[6380,6379,5364,5366,12,12,10,10,10,11,5409,5410,5408]","[6378,6380,6140,5364,5366,5409,5410,5408,2,6,11]","[6378,6380,6140,5364,5366,12,12,10,10,10,11,5409,5410,5408]",1326,"[6379,6380,6378,5364,5366,5409,5410,5408,2,6,11]","[6379,6380,6378,5364,5366,12,12,10,10,10,11,5409,5410,5408]"
8,"Descent9","[4,4,4,6,6,5458,5649,5825,5571,5754,6201,5896,5911,6159,6231,4]","[5456,0,0,0,6,6,5336,5174,5474,6159,6231,5896,5911,6201,5174,0]","[4,4,4,6,6,5458,5701,5861,5602,5791,6201,5896,5911,6159,6231,4]","[5456,0,0,0,6,6,5311,5121,6231,6159,5896,5911,6201,5286,5091,0]","[4,4,4,6,6,5458,5667,5837,5582,5767,6329,5896,5911,6159,6231,6201,4]","[5456,0,0,0,6,6,5230,5948,6231,6159,5896,5911,5121,5121,6329,6201,0]","[4,4,4,6,6,5458,5735,5877,5629,5807,6224,5896,5911,6204,6411,4]","[5456,0,0,0,6,6,5457,5032,5032,6204,6411,5896,5911,6224,5005,5005,0]","[4,4,4,6,6,5458,5684,5849,5592,5779,6204,5896,5911,6224,4]","[5456,0,0,0,6,6,5457,6224,5896,5911,6204,5005,5005,5202,5202,0]","[4,4,4,6,6,5458,5718,5869,5615,5799,6204,6201,5896,5911,6159,6224,6231,4]","[5456,0,0,0,6,6,5457,5202,5202,6224,6231,5896,5911,6159,6201,6204,5258,0]",1327,"[4,4,4,6,6,5458,5701,5861,5602,5791,6204,6201,5896,5911,6224,6159,6231,4]","[5456,0,0,0,6,6,5311,6224,6159,5896,5911,6204,6231,6201,5202,5202,5091,5091,0]"
9,"Descent10","[21,21,20,20,19,19,21,21,20,20,19,19]","[21,21,20,20,19,19,10,11,11,14]","[21,21,20,20,19,19,21,21,20,20,19,19]","[21,21,20,20,19,19,10,11,11,14]","[21,21,20,20,19,19,21,21,20,20,19,19]","[21,21,20,20,19,19,10,11,11,14]","[21,21,20,20,19,19,21,21,20,20,19,19]","[21,21,20,20,19,19,10,11,11,14]","[21,21,20,20,19,19,21,21,20,20,19,19]","[21,21,20,20,19,19,10,11,11,14]","[21,21,20,20,19,19,21,21,20,20,19,19]","[21,21,20,20,19,19,10,11,11,14]",1328,"[21,21,20,20,19,19,21,21,20,20,19,19]","[21,21,20,20,19,19,10,11,11,14]"
10,"Descent11","[5456,5457,6,6,5364,5365,5366,2,14,11,11]","[5458,5459,5930,6,6,5364,5365,5366,2,2]","[5456,5457,6,6,5364,5365,5366,2,14,11,11]","[5458,5459,5930,6,6,5364,5365,5366,2,2]","[5456,5457,6,6,5364,5365,5366,2,14,11,11]","[5458,5459,5930,6,6,5364,5365,5366,2,2]","[5456,5457,6,6,5364,5365,5366,2,14,11,11]","[5458,5459,5930,6,6,5364,5365,5366,2,2]","[5456,5457,6,6,5364,5365,5366,2,14,11,11]","[5458,5459,5930,6,6,5364,5365,5366,2,2]","[5456,5457,6,6,5364,5365,5366,2,14,11,11]","[5458,5459,5930,6,6,5364,5365,5366,2,2]",1329,"[5456,5457,6,6,5364,5365,5366,2,14,11,11]","[5458,5459,5930,6,6,5364,5365,5366,2,2]"
11,"Descent12","[5407,1,1,1,6219,6209,5897,5912,6249,6248,14,6,2,15,15]","[1,1,1,5407,6248,5897,5912,6209,6249,6219,12,12,6,2]","[5407,1,1,1,6219,6209,5897,5912,6249,6208,14,6,2,15,15]","[1,1,1,5407,6249,6208,5897,5912,6219,6209,12,12,6,2]","[5407,1,1,1,6213,5897,5912,6383,6249,6246,14,6,2,15,15]","[1,1,1,5407,6249,5897,5912,6246,6383,6213,12,12,6,2]","[5407,1,1,1,6249,6212,5897,5912,6250,6207,14,6,2,15,15]","[1,1,1,5407,6250,6212,6207,6249,12,12,6,2]","[5407,1,1,1,5897,5912,6250,6248,6207,14,6,2,15,15]","[1,1,1,5407,6250,5897,5912,6248,6207,12,12,6,2]","[5407,1,1,1,5897,5912,6248,6207,6249,6208,14,6,2,15,15]","[1,1,1,5407,5897,5912,6248,6207,6249,6208,12,12,6,2]",1330,"[5407,1,1,1,5897,5912,6248,6249,6207,14,6,2,15,15]","[1,1,1,5407,5897,5912,6248,6249,6207,12,12,6,2]"
