"rownum","Width","Height","i32","Item"
0,1,1,0,4956
1,1,2,0,4957
2,1,3,0,4958
3,1,4,0,4959
4,2,1,0,4960
5,2,2,0,4961
6,2,3,0,4962
7,2,4,0,4963
8,3,1,0,4966
9,3,2,0,4964
10,3,3,0,4965
11,4,1,0,4967
12,1,1,1,4990
13,1,2,1,4991
14,1,3,1,4992
15,1,4,1,4993
16,2,1,1,4994
17,2,2,1,4995
18,2,3,1,4996
19,2,4,1,4997
20,3,1,1,4999
21,3,2,1,4998
22,4,1,1,5000
23,1,1,2,4968
24,1,2,2,4969
25,1,3,2,4970
26,1,4,2,4971
27,2,1,2,4972
28,2,2,2,4973
29,2,3,2,4974
30,2,4,2,4975
31,3,2,2,4976
32,3,1,2,4977
33,4,1,2,4978
34,1,1,3,4979
35,1,2,3,4980
36,1,3,3,4981
37,1,4,3,4982
38,2,1,3,4983
39,2,2,3,4984
40,2,3,3,4985
41,2,4,3,4986
42,3,2,3,4987
43,3,1,3,4988
44,4,1,3,4989
