"rownum","RewardOffer","i32","Characters","Reward","RewardLevel","rid","i32","string","[rid]","RewardStack","bool","bool","[rid]","i32","i32","[rid]","i32","rid","i32","[rid]"
0,0,0,[1],6195,1,"",0,"",[],1,"","",[],1323,0,[],0,"",0,[]
1,0,1,[1],6410,1,"",0,"",[],1,"","",[],1323,0,[],0,"",0,[]
2,0,2,[1],6384,1,"",0,"",[],1,"","",[],1323,0,[],0,"",0,[]
3,0,3,[1],6149,1,"",0,"",[],1,"","",[],1323,0,[],0,"",0,[]
4,0,4,[1],6430,1,"",0,"",[],1,"","",[],1323,0,[],0,"",0,[]
5,0,5,[1],6602,1,"",0,"",[],1,"","",[],1323,0,[],0,"",0,[]
6,0,6,[6],6491,1,"",0,"",[],1,"","",[],1323,0,[],0,"",0,[]
7,0,7,[6],6438,1,"",0,"",[],1,"","",[],1323,0,[],0,"",0,[]
8,0,8,[6],6410,1,"",0,"",[],1,"","",[],1323,0,[],0,"",0,[]
9,0,9,[6],6384,1,"",0,"",[],1,"","",[],1323,0,[],0,"",0,[]
10,0,10,[6],6363,1,"",0,"",[],1,"","",[],1323,0,[],0,"",0,[]
11,0,11,[6],6507,1,"",0,"",[],1,"","",[],1323,0,[],0,"",0,[]
12,0,12,[0],6137,1,"",0,"",[],1,"","",[],1323,0,[],0,"",0,[]
13,0,13,[0],6363,1,"",0,"",[],1,"","",[],1323,0,[],0,"",0,[]
14,0,14,[0],6655,1,"",0,"",[],1,"","",[],1323,0,[],0,"",0,[]
15,0,15,[4],6138,1,"",0,"",[],1,"","",[],1323,0,[],0,"",0,[]
16,0,16,[4],6363,1,"",0,"",[],1,"","",[],1323,0,[],0,"",0,[]
17,0,17,[4],6414,1,"",0,"",[],1,"","",[],1323,0,[],0,"",0,[]
18,0,18,[4],6527,1,"",0,"",[],1,"","",[],1323,0,[],0,"",0,[]
19,0,19,[4],6623,1,"",0,"",[],1,"","",[],1323,0,[],0,"",0,[]
20,0,20,[3],6157,1,"",0,"",[],1,"","",[],1323,0,[],0,"",0,[]
21,0,21,[3],6155,1,"",0,"",[],1,"","",[],1323,0,[],0,"",0,[]
22,0,22,[3],6404,1,"",0,"",[],1,"","",[],1323,0,[],0,"",0,[]
23,0,23,[3],6414,1,"",0,"",[],1,"","",[],1323,0,[],0,"",0,[]
24,0,24,[3],6153,1,"",0,"",[],1,"","",[],1323,0,[],0,"",0,[]
25,0,25,[5],6195,1,"",0,"",[],1,"","",[],1323,0,[],0,"",0,[]
26,0,26,[5],6479,1,"",0,"",[],1,"","",[],1323,0,[],0,"",0,[]
27,0,27,[5],6549,1,"",0,"",[],1,"","",[],1323,0,[],0,"",0,[]
28,0,28,[5],6272,1,"",0,"",[],1,"","",[],1323,0,[],0,"",0,[]
29,0,29,[5],6430,1,"",0,"",[],1,"","",[],1323,0,[],0,"",0,[]
30,0,30,[5],6540,1,"",0,"",[],1,"","",[],1323,0,[],0,"",0,[]
31,0,31,[2],6363,1,"",0,"",[],1,"","",[],1323,0,[],0,"",0,[]
32,0,32,[2],6157,1,"",0,"",[],1,"","",[],1323,0,[],0,"",0,[]
33,0,33,[2],6384,1,"",0,"",[],1,"","",[],1323,0,[],0,"",0,[]
34,0,34,[2],6623,1,"",0,"",[],1,"","",[],1323,0,[],0,"",0,[]
35,3,0,[1],6422,1,"",0,"",[],1,"","",[],1323,0,[],0,"",0,[]
36,3,1,[1],6423,1,"",0,"",[],1,"","",[],1323,0,[],0,"",0,[]
37,3,2,[1],6330,1,"",0,"",[],1,"","",[],1323,0,[],0,"",0,[]
38,3,3,[1],6428,1,"",0,"",[],1,"","",[],1323,0,[],0,"",0,[]
39,3,4,[1],6150,1,"",0,"",[],1,"","",[],1323,0,[],0,"",0,[]
40,3,5,[1],6625,1,"",0,"",[],1,"","",[],1323,0,[],0,"",0,[]
41,3,6,[6],6422,1,"",0,"",[],1,"","",[],1323,0,[],0,"",0,[]
42,3,7,[6],6494,1,"",0,"",[],1,"","",[],1323,0,[],0,"",0,[]
43,3,8,[6],6276,1,"",0,"",[],1,"","",[],1323,0,[],0,"",0,[]
44,3,9,[6],6440,1,"",0,"",[],1,"","",[],1323,0,[],0,"",0,[]
45,3,10,[6],6405,1,"",0,"",[],1,"","",[],1323,0,[],0,"",0,[]
46,3,11,[6],6625,1,"",0,"",[],1,"","",[],1323,0,[],0,"",0,[]
47,3,12,[0],6270,1,"",0,"",[],1,"","",[],1323,0,[],0,"",0,[]
48,3,13,[0],6237,1,"",0,"",[],1,"","",[],1323,0,[],0,"",0,[]
49,3,14,[0],6440,1,"",0,"",[],1,"","",[],1323,0,[],0,"",0,[]
50,3,15,[0],6405,1,"",0,"",[],1,"","",[],1323,0,[],0,"",0,[]
51,3,16,[4],6213,1,"",0,"",[],1,"","",[],1323,0,[],0,"",0,[]
52,3,17,[4],6440,1,"",0,"",[],1,"","",[],1323,0,[],0,"",0,[]
53,3,18,[4],6270,1,"",0,"",[],1,"","",[],1323,0,[],0,"",0,[]
54,3,19,[4],6239,1,"",0,"",[],1,"","",[],1323,0,[],0,"",0,[]
55,3,20,[4],6405,1,"",0,"",[],1,"","",[],1323,0,[],0,"",0,[]
