"rownum","BaseItemTypesKey","Critical","Speed","DamageMin","DamageMax","RangeMax","i32"
0,5001,500,833,1,1,13,0
1,5002,700,714,5,9,120,0
2,5003,700,833,9,16,120,0
3,5004,700,667,9,17,120,0
4,5005,700,769,14,27,120,0
5,5006,700,769,12,37,120,0
6,5007,800,833,23,42,120,0
7,5008,700,741,22,40,120,0
8,5009,700,833,26,48,120,0
9,5010,700,667,21,38,120,0
10,5011,700,769,28,52,120,0
11,5012,700,769,21,64,120,0
12,5013,800,833,33,61,120,0
13,5014,700,741,31,57,120,0
14,5015,700,833,38,71,120,0
15,5016,700,667,29,53,120,0
16,5017,700,769,35,65,120,0
17,5018,700,769,25,75,120,0
18,5019,800,833,35,64,120,0
19,5020,700,741,33,61,120,0
20,5021,750,714,16,30,120,0
21,5022,750,714,25,46,120,0
22,5023,750,714,29,54,120,0
23,5024,700,714,13,25,120,0
24,5025,700,714,27,50,120,0
25,5026,700,714,30,55,120,0
26,5027,700,800,5,9,120,0
27,5028,600,667,6,10,10,0
28,5029,600,690,4,17,10,0
29,5030,630,690,3,26,10,0
30,5031,610,667,7,27,10,0
31,5032,630,690,8,34,10,0
32,5033,650,769,10,41,10,0
33,5034,630,690,11,43,10,0
34,5035,650,833,15,59,10,0
35,5036,620,741,14,54,10,0
36,5037,600,714,11,45,10,0
37,5038,630,714,7,62,10,0
38,5039,610,667,13,52,10,0
39,5040,630,714,15,59,10,0
40,5041,650,833,19,75,10,0
41,5042,630,690,16,64,10,0
42,5043,650,833,22,87,10,0
43,5044,650,741,19,74,10,0
44,5045,650,714,19,76,10,0
45,5046,630,714,10,86,10,0
46,5047,610,667,19,74,10,0
47,5048,630,714,20,79,10,0
48,5049,650,833,24,95,10,0
49,5050,630,667,18,73,10,0
50,5051,650,833,24,97,10,0
51,5052,620,741,22,88,10,0
52,5053,630,714,12,46,10,0
53,5054,630,714,18,71,10,0
54,5055,630,714,20,79,10,0
55,5056,630,690,12,47,10,0
56,5057,630,690,18,73,10,0
57,5058,630,690,21,85,10,0
58,5059,620,625,4,11,11,0
59,5060,650,667,6,17,11,0
60,5061,630,645,7,23,11,0
