"rownum","UniqueBase","i32"
0,5002,1
1,5003,2
2,5004,3
3,5006,4
4,5007,5
5,5010,6
6,5013,7
7,5016,8
8,5019,9
9,5029,10
10,5031,11
11,5032,12
12,5037,13
13,5040,14
14,5042,15
15,5043,16
16,5046,17
17,5047,18
18,5048,19
19,5049,20
20,5050,21
21,5051,22
22,5059,23
23,5061,24
24,5064,25
25,5066,26
26,5068,27
27,5071,28
28,5077,29
29,5078,30
30,5080,31
31,5081,32
32,5082,33
33,5088,34
34,5090,35
35,5093,36
36,5097,37
37,5105,38
38,5108,39
39,5109,40
40,5110,41
41,5117,42
42,5119,43
43,5121,44
44,5123,45
45,5124,46
46,5130,47
47,5132,48
48,5135,49
49,5136,50
50,5137,51
51,5138,52
52,5139,53
53,5140,54
54,5146,55
55,5148,56
56,5149,57
57,5150,58
58,5156,59
59,5167,60
60,5172,61
61,5174,62
62,5177,63
63,5181,64
64,5184,65
65,5189,66
66,5192,67
67,5200,68
68,5204,69
69,5205,70
70,5207,71
71,5209,72
72,5212,73
73,5215,74
74,5216,75
75,5217,76
76,5218,77
77,5219,78
78,5220,79
79,5221,80
80,5226,81
81,5227,82
82,5228,83
83,5230,84
84,5232,85
85,5233,86
86,5241,87
87,5245,88
88,5246,89
89,5247,90
90,5248,91
91,5249,92
92,5255,93
93,5258,94
94,5260,95
95,5261,96
96,5265,97
97,5266,98
98,5267,99
99,5270,100
100,5271,101
101,5272,102
102,5273,103
103,5274,104
104,5275,105
105,5285,106
106,5286,107
107,5289,108
108,5291,109
109,5293,110
110,5296,111
111,5298,112
112,5300,113
113,5301,114
114,5302,115
115,5303,116
116,5310,117
117,5312,118
118,5313,119
119,5318,120
120,5320,121
121,5324,122
122,5325,123
123,5327,124
124,5328,125
125,5336,126
126,5337,127
127,5338,128
128,5342,129
129,5343,130
130,5346,131
131,5348,132
132,5351,133
133,5352,134
134,5353,135
135,5358,136
136,5473,137
137,5474,138
138,5476,139
139,5484,140
140,5486,141
141,5487,142
142,5492,143
143,5493,144
144,5495,145
145,5499,146
146,5503,147
147,5504,148
148,5513,149
149,5514,150
150,5515,151
151,5518,152
152,5519,153
153,5521,154
154,5524,155
155,5525,156
156,5529,157
157,5531,158
158,5537,159
159,5538,160
160,5541,161
161,5542,162
162,5548,163
163,5549,164
164,5551,165
165,5552,166
166,5553,167
167,5554,168
168,5561,169
169,5562,170
170,5566,171
171,5567,172
