"rownum","BaseItem","MonsterVariety","MonsterAbilities","MonsterCategory"
0,10714,9539,"Fires Barrage of Arrows\r\nFires Hail of Arrows",0
1,10715,9540,"Fires Barrage of Arrows\r\nFires Hail of Arrows\r\nFires Forking Arrow",0
2,10716,9541,"Fires Barrage of Arrows\r\nFires Hail of Arrows\r\nFires Forking Arrow\r\nCasts Hatred",0
3,10717,9542,"Casts Glacial Cascade\r\nCasts Arctic Armour\r\nUses Glacial Hammer\r\nBecomes Empowered if Allied Fiery Cannibal nearby\r\nGlacial Cascade Triggers Ice Nova on hit while Empowered",5
4,10718,9543,"Casts Glacial Cascade\r\nCasts Arctic Armour\r\nUses Glacial Hammer\r\nBecomes Empowered if Allied Fiery Cannibal nearby\r\nGlacial Cascade Triggers Ice Nova on hit while Empowered\r\nGlacial Hammer Triggers Ice Crash on hit while Empowered",5
5,10719,9544,"Casts Glacial Cascade\r\nCasts Arctic Armour\r\nUses Glacial Hammer\r\nBecomes Empowered if Allied Fiery Cannibal nearby\r\nGlacial Cascade Triggers Ice Nova on hit while Empowered\r\nGlacial Hammer Triggers Ice Crash on hit while Empowered\r\nCasts Purity of Ice",5
6,10720,9545,"Casts Firestorm\r\nCasts Flame Dash\r\nBecomes Empowered if allied Frozen Cannibal nearby\r\nCasts Cremation while Empowered",5
7,10721,9546,"Casts Firestorm\r\nCasts Flame Dash\r\nBecomes Empowered if allied Frozen Cannibal nearby\r\nCasts Cremation while Empowered\r\nUses Molten Strike while Empowered",5
8,10722,9547,"Casts Firestorm\r\nCasts Flame Dash\r\nBecomes Empowered if allied Frozen Cannibal nearby\r\nCasts Cremation while Empowered\r\nUses Molten Strike while Empowered\r\nCasts Purity of Fire",5
9,10723,9548,"Reforms after being killed",2
10,10724,9549,"Reforms after being killed\r\nExplodes on death for 5% of life as Physical, Fire, and Lightning Damage",2
11,10725,9550,"Reforms after being killed\r\nExplodes on death for 5% of life as Physical, Fire, and Lightning Damage\r\nExplosion Scorches",2
12,10726,9628,"Casts Cannon Barrage\r\nCasts Tidal Wave\r\nSummons Geysers",5
13,10727,9629,"Casts Cannon Barrage\r\nCasts Tidal Wave\r\nSummons Geysers\r\nPrecision",5
14,10728,9630,"Casts Cannon Barrage\r\nCasts Tidal Wave\r\nSummons Geysers\r\nPrecision\r\nNearby allies have +10 Fortification",5
15,10729,9638,"Cyclones\r\nLacerates\r\nRains down blades",2
16,10730,9639,"Cyclones\r\nLacerates\r\nRains down blades\r\nNearby allies have 20% increased Impale Effect",2
17,10731,9640,"Cyclones\r\nLacerates\r\nRains down blades\r\nNearby allies have 20% increased Impale Effect\r\nImpales of nearby allies last one additional hit",2
18,10732,9569,"Throws Physical Projectiles",1
19,10733,9570,"Throws Physical Projectiles\r\n100% increased Impale Effect",1
20,10734,9571,"Throws Physical Projectiles\r\n100% increased Impale Effect\r\nOwner gains 10% increased Impale Effect",1
21,10735,9551,"Attacks with swords when not Defensive\r\nFires Mortars when Defensive",0
22,10736,9552,"Attacks with swords when not Defensive\r\nFires Mortars when Defensive\r\nInflicts Withered for 2 seconds on Hit",0
23,10737,9553,"Attacks with swords when not Defensive\r\nFires Mortars when Defensive\r\nInflicts Withered for 2 seconds on Hit\r\nCreates Aura of Chaos when hitting Poisoned enemies",0
24,10738,9578,"Spells have 1% base Critical Strike Chance\r\nHas 400% base Critical Strike Multiplier",1
25,10739,9579,"Spells have 1% base Critical Strike Chance\r\nHas 400% base Critical Strike Multiplier\r\nNearby allies have +30% Critical Strike Multiplier",1
26,10740,9580,"Spells have 1% base Critical Strike Chance\r\nHas 400% base Critical Strike Multiplier\r\nNearby allies have +30% Critical Strike Multiplier\r\nCasts Zealotry",1
27,10741,9563,"Cyclones\r\nCleaves",1
28,10742,9564,"Cyclones\r\nCleaves\r\nMaims on hit",1
29,10743,9565,"Cyclones\r\nCleaves\r\nMaims on hit\r\nOwner gains 10% increased Effect of Maim",1
30,10744,9607,"",3
31,10745,9608,"",3
32,10746,9609,"",3
33,10747,9560,"Vomits Blood\r\nApplies Corrupting Blood",1
34,10748,9561,"Vomits Blood\r\nApplies Corrupting Blood\r\nAbsorbs Corrupting Blood, exploding it and dealing Physical Damage based on the damage of the Corrupting Blood",1
35,10749,9562,"Vomits Blood\r\nApplies Corrupting Blood\r\nAbsorbs Corrupting Blood, exploding it and dealing Physical Damage based on the damage of the Corrupting Blood\r\nCasts Pride",1
36,10750,9566,"Attacks with Dualstrike\r\nPeriodically enrages",1
37,10751,9567,"Attacks with Dualstrike\r\nPeriodically enrages\r\nAffected by Owner's Rage",1
38,10752,9568,"Attacks with Dualstrike\r\nPeriodically enrages\r\nAffected by Owner's Rage\r\nOwner gains 5% of Physical Damage as Extra Fire Damage",1
39,10753,9632,"",5
40,10754,9633,"",5
41,10755,9634,"",5
42,10756,9635,"Throws Poisonous Concoction",5
43,10757,9636,"Throws Poisonous Concoction\r\n200% increased effect of flasks",5
44,10758,9637,"Throws Poisonous Concoction\r\n200% increased effect of flasks\r\nOwner gains 1 life flask charge every 3 seconds",5
45,10759,9586,"",2
46,10760,9587,"",2
47,10761,9588,"",2
48,10762,9644,"Creates moving Cursed Ground",3
49,10763,9645,"Creates moving Cursed Ground\r\nUses Smite",3
50,10764,9646,"Creates moving Cursed Ground\r\nUses Smite\r\nHexes can affect Hexproof Enemies",3
51,10765,9598,"Summons skeletons\r\nFires mortars\r\nCreates Chaos Offering\r\nCreates Fire Offering",3
52,10766,9599,"Summons skeletons\r\nFires mortars\r\nCreates Chaos Offering\r\nCreates Fire Offering\r\nAlly skeletons deal additional fire and chaos damage with attacks",3
53,10767,9600,"Summons skeletons\r\nFires mortars\r\nCreates Chaos Offering\r\nCreates Fire Offering\r\nAlly skeletons deal additional fire and chaos damage with attacks\r\nCasts Discipline",3
54,10768,9613,"Casts Dash of Destruction\r\nCasts Screech of Splendor",4
55,10769,9614,"Casts Dash of Destruction\r\nCasts Screech of Splendor\r\nScreech of Splendor inflicts Lightning Exposure",4
56,10770,9615,"Casts Dash of Destruction\r\nCasts Screech of Splendor\r\nScreech of Splendor inflicts Lightning Exposure\r\nCasts Grace",4
57,10771,9592,"Casts Shock Nova\r\nCasts Spark\r\nCasts Lightning Warp",2
58,10772,9593,"Casts Shock Nova\r\nCasts Spark\r\nCasts Lightning Warp\r\nCasts Wrath",2
59,10773,9594,"Casts Shock Nova\r\nCasts Spark\r\nCasts Lightning Warp\r\nCasts Wrath\r\nLightning Damage of nearby allies is Lucky",2
60,10774,9557,"Casts Lightning Burst",0
61,10775,9558,"Casts Lightning Burst\r\nCasts Clarity",0
62,10776,9559,"Casts Lightning Burst inflicting Sap on Hit\r\nCasts Clarity",0
63,10777,9604,"20% increased Physical Weapon Damage per 10 Strength",3
64,10778,9605,"20% increased Physical Weapon Damage per 10 Strength\r\nCrushes on Hit",3
