"rownum","BattlePass","RewardTier","i32","i32","bool","Id","RewardedMTX","i32","RewardDescription","string","i32","i32","bool","RewardTitle","rid","bool","i32","i32","i32","i32","i32","i32","i32","i32","bool","bool","bool"
0,0,0,0,0,"","BattlePassOneArchnemesisWatchersEye",[3782],0,"","",375,399,"","","",1,0,0,0,-33554432,-16843010,-16843010,-16843010,16711422,"","",""
1,0,2,0,17,"","BattlePassOneArchnemesisDyingSun",[3784],0,"","",376,400,"","","",1,0,0,0,-33554432,-16843010,-16843010,-16843010,16711422,"","",""
2,0,4,0,33,"","BattlePassOneArchnemesisAegisAurora",[3781],0,"","",377,401,"","","",1,0,0,0,-33554432,-16843010,-16843010,-16843010,16711422,"","",""
3,0,6,0,50,"","BattlePassOneArchnemesisHandsoftheHighTemplar",[3780],0,"","",378,402,"","","",1,0,0,0,-33554432,-16843010,-16843010,-16843010,16711422,"","",""
4,0,8,0,67,"","BattlePassOneArchnemesisParadoxica",[3783],0,"","",379,403,"","","",1,0,0,0,-33554432,-16843010,-16843010,-16843010,16711422,"","",""
5,0,10,0,84,"","BattlePassOneArchnemesisMjolner",[3779],0,"","",380,404,"","","",1,0,0,0,-33554432,-16843010,-16843010,-16843010,16711422,"","",""
6,0,12,0,100,"","BattlePassOneArchnemesisBottledFaith",[3786],0,"","",381,405,"","","",1,0,0,0,-33554432,-16843010,-16843010,-16843010,16711422,"","",""
7,0,14,0,117,"","BattlePassOneArchnemesisHeadhunter",[3785],0,"","",382,406,"","","",1,0,0,0,-33554432,-16843010,-16843010,-16843010,16711422,"","",""
8,1,0,0,0,"","BattlePassTwoRumisConcoction",[3887],0,"","",375,399,"","","",1,0,0,0,-33554432,-16843010,-16843010,-16843010,16711422,"","",""
9,1,2,0,17,"","BattlePassTwoDeadReckoning",[3883],0,"","",376,400,"","","",1,0,0,0,-33554432,-16843010,-16843010,-16843010,16711422,"","",""
10,1,4,0,33,"","BattlePassTwoHyrrisIre",[3886],0,"","",377,401,"","","",1,0,0,0,-33554432,-16843010,-16843010,-16843010,16711422,"","",""
11,1,6,0,50,"","BattlePassTwoDevouringDiadem",[3884],0,"","",378,402,"","","",1,0,0,0,-33554432,-16843010,-16843010,-16843010,16711422,"","",""
12,1,9,0,67,"","BattlePassTwoVoidBattery",[3888],0,"","",379,403,"","","",1,0,0,0,-33554432,-16843010,-16843010,-16843010,16711422,"","",""
13,1,10,0,84,"","BattlePassTwoAshesoftheStars",[3882],0,"","",380,404,"","","",1,0,0,0,-33554432,-16843010,-16843010,-16843010,16711422,"","",""
14,1,12,0,100,"","BattlePassTwoArakaalisFang",[3881],0,"","",381,405,"","","",1,0,0,0,-33554432,-16843010,-16843010,-16843010,16711422,"","",""
15,1,14,0,115,"","BattlePassTwoMageblood",[3885],0,"","",382,406,"","","",1,0,0,0,-33554432,-16843010,-16843010,-16843010,16711422,"","",""
16,2,0,0,0,"","BattlePassThreeDarknessEnthroned",[3951],0,"","",375,399,"","","",1,0,0,0,-33554432,-16843010,-16843010,-16843010,16711422,"","",""
17,2,2,0,10,"","BattlePassThreeColdIronPoint",[3955],0,"","",376,400,"","","",1,0,0,0,-33554432,-16843010,-16843010,-16843010,16711422,"","",""
18,2,4,0,20,"","BattlePassThreeKaruiTimelessJewel",[3958],0,"","",377,401,"","","",1,0,0,0,-33554432,-16843010,-16843010,-16843010,16711422,"","",""
19,2,6,0,30,"","BattlePassThreeMagnaEclipsis",[3963],0,"","",378,402,"","","",1,0,0,0,-33554432,-16843010,-16843010,-16843010,16711422,"","",""
20,2,8,0,40,"","BattlePassThreeEternalTimelessJewel",[3960],0,"","",379,403,"","","",1,0,0,0,-33554432,-16843010,-16843010,-16843010,16711422,"","",""
21,2,10,0,50,"","BattlePassThreeGravebind",[3962],0,"","",380,404,"","","",1,0,0,0,-33554432,-16843010,-16843010,-16843010,16711422,"","",""
22,2,12,0,60,"","BattlePassThreeVaalTimelessJewel",[3957],0,"","",381,405,"","","",1,0,0,0,-33554432,-16843010,-16843010,-16843010,16711422,"","",""
23,2,14,0,70,"","BattlePassThreeLegacyOfFury",[3961],0,"","",382,406,"","","",1,0,0,0,-33554432,-16843010,-16843010,-16843010,16711422,"","",""
24,2,16,0,80,"","BattlePassThreeTemplarTimelessJewel",[3959],0,"","",1264,1268,"","","",1,0,0,0,-33554432,-16843010,-16843010,-16843010,16711422,"","",""
25,2,18,0,90,"","BattlePassThreeFarrulsFur",[3952],0,"","",1265,1269,"","","",1,0,0,0,-33554432,-16843010,-16843010,-16843010,16711422,"","",""
26,2,20,0,100,"","BattlePassThreeMarakethTimelessJewel",[3956],0,"","",1266,1270,"","","",1,0,0,0,-33554432,-16843010,-16843010,-16843010,16711422,"","",""
27,2,22,0,115,"","BattlePassThreeCosprisMalice",[3954],0,"","",1267,1271,"","","",1,0,0,0,-33554432,-16843010,-16843010,-16843010,16711422,"","",""
28,3,0,0,0,"","BattlePassFourTheGull",[4120],0,"","",375,399,"","","",1,0,0,0,-33554432,-16843010,-16843010,-16843010,16711422,"","",""
29,3,1,0,10,"","MysteryPackSinAndInnocenceBox",[9418],0,"Receive a random prize with a Sin or Innocence theme! It'll appear inside your MTX stash, waiting to be unwrapped.","",376,400,1,"","",1,0,0,0,-33554432,-16843010,-16843010,-16843010,16711422,"","",""
30,3,2,0,15,"","BattlePassFourShavronnesWrappings",[4121],0,"","",377,401,"","","",1,0,0,0,-33554432,-16843010,-16843010,-16843010,16711422,"","",""
31,3,3,0,20,"","MysteryPackPolarisBox",[9447],0,"Receive a random prize with a Polaris theme! It'll appear inside your MTX stash, waiting to be unwrapped.","",378,402,1,"","",1,0,0,0,-33554432,-16843010,-16843010,-16843010,16711422,"","",""
32,3,4,0,30,"","BattlePassFourOlrothsResolve",[4118],0,"","",379,403,"","","",1,0,0,0,-33554432,-16843010,-16843010,-16843010,16711422,"","",""
33,3,5,0,40,"","MysteryPackTwilightBox",[9456],0,"Receive a random prize with a Twilight theme! It'll appear inside your MTX stash, waiting to be unwrapped.","",380,404,1,"","",1,0,0,0,-33554432,-16843010,-16843010,-16843010,16711422,"","",""
34,3,6,0,45,"","BattlePassFourNebulis",[4119],0,"","",381,405,"","","",1,0,0,0,-33554432,-16843010,-16843010,-16843010,16711422,"","",""
35,3,8,0,60,"","BattlePassFourVentorsGamble",[4122],0,"","",382,406,"","","",1,0,0,0,-33554432,-16843010,-16843010,-16843010,16711422,"","",""
36,3,9,0,70,"","MysteryPackWarlordBox",[9459],0,"Receive a random prize with a Warlord theme! It'll appear inside your MTX stash, waiting to be unwrapped.","",1264,1268,1,"","",1,0,0,0,-33554432,-16843010,-16843010,-16843010,16711422,"","",""
37,3,10,0,75,"","BattlePassFourMeldingoftheFlesh",[4117],0,"","",1265,1269,"","","",1,0,0,0,-33554432,-16843010,-16843010,-16843010,16711422,"","",""
38,3,12,0,90,"","BattlePassFourHateforge",[4123],0,"","",1266,1270,"","","",1,0,0,0,-33554432,-16843010,-16843010,-16843010,16711422,"","",""
39,3,13,0,100,"","MysteryPackHarmonyBox",[9471],0,"Receive a random prize with a Harmony theme! It'll appear inside your MTX stash, waiting to be unwrapped.","",1267,1271,1,"","",1,0,0,0,-33554432,-16843010,-16843010,-16843010,16711422,"","",""
40,3,14,0,105,"","BattlePassFourStarforge",[4125],0,"","",1276,1278,"","","",1,0,0,0,-33554432,-16843010,-16843010,-16843010,16711422,"","",""
41,3,16,0,115,"","BattlePassFourVoidforge",[4124],0,"","",1277,1279,"","","",1,0,0,0,-33554432,-16843010,-16843010,-16843010,16711422,"","",""
42,4,0,0,1,"","MysteryPackApocalypseBox",[9421],0,"Receive a random prize with an Apocalypse theme! It'll appear inside your MTX stash, waiting to be unwrapped.","",375,1294,"","Apocalypse Mystery Box","",1,0,0,0,-33554432,-16843010,-16843010,-16843010,16711422,"","",""
43,4,0,1,1,"","",[],0,"Contains 3 Orbs of Horizons","",375,399,""," Orb of Horizons",5,"",0,0,0,-855638016,0,0,0,50331648,"","",""
44,4,1,0,8,"","IgneousEmperorBoots",[4268],0,"","",376,1295,"","Igneous Emperor Boots","",1,0,0,0,-33554432,-16843010,-16843010,-16843010,16711422,"","",""
45,4,1,1,8,"","",[],0,"Contains 3 Explorer's Scouting Reports","",376,400,"","Explorer's Scouting Report",5,"",0,0,0,-1040187392,40,0,0,50331648,"","",""
46,4,2,0,17,"","MysteryPackGlimmerwoodBox",[9430],0,"Receive a random prize with a Glimmerwood theme! It'll appear inside your MTX stash, waiting to be unwrapped.","",377,1296,"","Glimmerwood Mystery Box","",1,0,0,0,-33554432,-16843010,-16843010,-16843010,16711422,"","",""
