"rownum","BaseItemTypesKey","RequiredJob_HeistJobsKey","RequiredLevel"
0,9696,"",0
1,9697,"",0
2,9698,"",0
3,9699,"",0
4,9734,"",2
5,9735,"",3
6,9736,"",4
7,9737,"",5
8,9738,"",2
9,9739,"",3
10,9740,"",4
11,9741,"",5
12,9742,0,2
13,9743,0,3
14,9744,0,4
15,9745,0,5
16,9746,1,2
17,9747,1,3
18,9748,1,4
19,9749,1,5
20,9750,2,2
21,9751,2,3
22,9752,2,4
23,9753,2,5
24,9754,3,2
25,9755,3,3
26,9756,3,4
27,9757,3,5
28,9758,4,2
29,9759,4,3
30,9760,4,4
31,9761,4,5
32,9762,5,2
33,9763,5,3
34,9764,5,4
35,9765,5,5
36,9766,6,2
37,9767,6,3
38,9768,6,4
39,9769,6,5
40,9770,7,2
41,9771,7,3
42,9772,7,4
43,9773,7,5
44,9774,8,2
45,9775,8,3
46,9776,8,4
47,9777,8,5
48,9778,"",2
49,9779,"",3
50,9780,"",4
51,9781,"",5
52,9782,"",2
53,9783,"",3
54,9784,"",4
55,9785,"",5
56,9786,"",2
57,9787,"",3
58,9788,"",4
59,9789,"",5
