"rownum","WorldArea","CapturedVessel","QuestFlag","CapturedMonster","PanelLayout","CapturedMonsterDescription"
0,1172,9499,1389,[2451],0,""
1,1145,9500,1390,[2398],0,""
2,1244,9501,1391,[5251],0,""
3,1215,9502,1392,[5886],1,""
4,1158,9503,1393,[2425],1,""
5,1135,9504,1394,[2429],1,""
6,1140,9505,1395,[2415],2,""
7,1146,9506,1396,[2342],2,""
8,1183,9507,1397,[5430],2,""
9,1175,9508,1398,[5406],3,""
10,1261,9509,1399,[8319],3,""
11,1155,9510,1400,[3180],3,""
12,1214,9511,1402,[5731],6,""
13,1143,9512,1405,[5765],8,""
14,1169,9513,1406,[2711],9,""
15,1096,9514,1407,[5835],10,""
16,1189,9515,1401,[5520],11,""
17,1134,9516,1404,[5467],13,""
18,1239,9517,1408,[5817],14,""
19,1161,9518,1403,[1547],15,""
