"rownum","BaseItemTypesKey","SpawnWeight","ModsKey","Tier","bool","bool","rid","rid","i32"
0,5421,1818,10084,1,"","","","",3
1,5422,1818,10085,1,"","","","",0
2,5423,1818,10086,1,"","","","",0
3,5424,1818,10088,1,"","","","",0
4,5425,1818,10087,1,"","","","",0
5,5426,1818,10089,1,"","","","",0
6,5427,1818,10090,1,"","","","",0
7,5428,1818,10091,1,"","","","",0
8,5429,1,10109,1,"","","","",0
9,5430,1818,10110,1,"","","","",0
10,5431,1818,10111,1,"","","","",0
11,5432,1818,10112,1,"","","","",0
12,5445,2100,10113,2,"","","","",0
13,5433,2100,11857,2,"","","","",0
14,5434,2100,11853,2,"","","","",0
15,5435,2100,11856,2,"","","","",0
16,5436,2100,11858,2,"","","","",0
17,5437,2100,11854,2,"","","","",0
18,5438,350,11865,2,"","","","",0
19,5439,350,11865,2,"","","","",0
20,5440,350,11864,2,"","","","",0
21,5441,350,11864,2,"","","","",0
22,5442,350,11866,2,"","","","",0
23,5443,350,11866,2,"","","","",0
24,5444,2100,11862,2,"","","","",0
25,5446,2400,11855,3,"","","","",0
26,5447,2400,11863,3,"","","","",0
27,5448,2400,11861,3,"","","","",0
28,5449,2400,11867,3,"","","","",0
29,5450,2400,11859,3,"","","","",0
30,5451,800,11860,3,"","","","",0
31,5452,800,11860,3,"","","","",0
32,5453,800,11860,3,"","","","",0
33,5454,2400,11852,3,"","","","",0
34,5455,100,"",4,"","","","",0
