"rownum","Tattoo","Override","Set","Tribe","OverrideType"
0,10579,0,0,0,""
1,10580,1,0,0,""
2,10581,2,0,0,""
3,10582,3,0,0,""
4,10583,4,0,0,""
5,10584,5,0,0,""
6,10585,6,0,0,""
7,10586,7,0,1,""
8,10587,8,0,1,""
9,10588,9,0,1,""
10,10589,10,2,1,""
11,10590,11,0,1,""
12,10591,12,0,1,""
13,10592,13,0,1,""
14,10593,14,0,2,""
15,10594,15,0,2,""
16,10595,16,0,2,""
17,10596,17,0,2,""
18,10597,18,0,2,""
19,10598,19,0,2,""
20,10599,20,0,2,""
21,10600,21,0,3,""
22,10601,22,0,3,""
23,10602,23,0,3,""
24,10603,24,2,3,""
25,10604,25,0,3,""
26,10605,26,0,3,""
27,10606,27,0,3,""
28,10607,28,0,4,""
29,10608,29,1,4,""
30,10609,30,2,4,""
31,10610,31,1,4,""
32,10611,32,1,4,""
33,10612,33,1,4,""
34,10613,34,2,4,""
35,10614,35,1,5,""
36,10615,36,1,5,""
37,10616,37,1,5,""
38,10617,38,2,5,""
39,10618,39,2,5,""
40,10619,40,1,5,""
41,10620,41,1,5,""
42,10621,42,1,6,""
43,10622,43,1,6,""
44,10623,44,1,6,""
45,10624,45,1,6,""
46,10625,46,1,6,""
47,10626,47,1,6,""
48,10627,48,1,6,""
49,10628,49,2,7,""
50,10629,50,2,7,""
51,10630,51,2,7,""
52,10631,52,2,7,""
53,10632,53,2,7,""
54,10633,54,2,7,""
55,10634,55,2,7,""
56,10635,56,1,8,""
57,10636,57,1,8,""
58,10637,58,2,8,""
59,10638,59,1,8,""
60,10639,60,2,8,""
61,10640,61,2,8,""
62,10641,62,1,8,""
63,10642,63,2,9,""
64,10643,64,2,9,""
65,10644,65,2,9,""
66,10645,66,0,9,""
67,10646,67,2,9,""
68,10647,68,2,9,""
69,10648,69,2,9,""
70,10649,70,3,10,""
71,10650,71,3,10,""
72,10651,72,3,10,""
73,10652,73,3,10,""
74,10653,74,3,10,""
75,10654,75,3,10,""
76,10655,76,3,10,""
77,10656,77,3,10,""
78,10657,78,4,10,""
79,10658,79,4,10,""
80,10659,80,4,10,""
81,10660,81,5,10,""
82,10661,82,5,10,""
83,10662,83,5,10,""
84,10663,84,6,10,""
85,10664,85,6,10,""
86,10665,86,6,10,""
87,10666,87,3,10,""
88,10667,88,3,10,""
89,10668,89,4,10,""
90,10669,90,5,10,""
91,10670,91,6,10,""
92,10671,92,7,10,15
