"rownum","Id","i32","MapItem","Name","i32","Icon","Icon2","IsShaperGuardian","IsElderGuardian"
0,"Conqueror1",0,"","Baran, The Crusader",1,"Art/2DItems/Maps/AtlasMapCrusader.dds","Art/2DItems/Maps/Atlas2Maps/New/Base13Crusader.dds","",""
1,"Conqueror2",0,"","Veritania, The Redeemer",2,"Art/2DItems/Maps/AtlasMapRedeemer.dds","Art/2DItems/Maps/Atlas2Maps/New/Base13Redeemer.dds","",""
2,"Conqueror3",0,"","Al-Hezmin, The Hunter",3,"Art/2DItems/Maps/AtlasMapHunter.dds","Art/2DItems/Maps/Atlas2Maps/New/Base13Hunter.dds","",""
3,"Conqueror4",0,"","Drox, The Warlord",4,"Art/2DItems/Maps/AtlasMapWarlord.dds","Art/2DItems/Maps/Atlas2Maps/New/Base13Warlord.dds","",""
4,"ElderGuardian1",1,"","The Enslaver",1,"Art/2DItems/Maps/AtlasMapGuardianFireItem.dds","","",1
5,"ElderGuardian2",1,"","The Eradicator",2,"Art/2DItems/Maps/AtlasMapGuardianLightningItem.dds","","",1
6,"ElderGuardian3",1,"","The Constrictor",3,"Art/2DItems/Maps/AtlasMapGuardianChaosItem.dds","","",1
7,"ElderGuardian4",1,"","The Purifier",4,"Art/2DItems/Maps/AtlasMapGuardianHolyItem.dds","","",1
8,"ShaperGuardian1",2,6722,"Pit of the Chimera",1,"","",1,""
9,"ShaperGuardian2",2,6723,"Lair of the Hydra",2,"","",1,""
10,"ShaperGuardian3",2,6725,"Forge of the Phoenix",3,"","",1,""
11,"ShaperGuardian4",2,6724,"Maze of the Minotaur",4,"","",1,""
