"rownum","Id","Name","SpawnWeight","WorldAreasKey","Image","AchievementItemsKeys","[i32]","MinDepth","Description","i32","[i32]","[i32]","[i32]"
0,"Nothing","",[0],"","",[],[],[],"",0,[],[0],[]
1,"MineEntrance","Mine Entrance",[0],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/MineEntrance",[],[],[],"",0,[],[0],[]
2,"ObstructionNorth","",[0],"","",[],[],[],"",0,[],[0],[]
3,"ObstructionEast","",[0],"","",[],[],[],"",0,[],[0],[]
4,"ObstructionSouth","",[0],"","",[],[],[],"",0,[],[0],[]
5,"ObstructionWest","",[0],"","",[],[],[],"",0,[],[0],[]
6,"DarkChest","",[0],"","",[],[],[],"",0,[],[0],[]
7,"Azurite1_Q","Azurite Cavity",[0],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/AzuriteVein",[],[],[],"Contains Azurite",0,[],[0],[]
8,"Breach","Whispering Gallery",[100],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Breach",[],[2],[10],"Contains a Breach",0,[0],[0],[0]
9,"Harbinger","Runed Cavern",[100],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Harbinger",[],[2],[10],"Contains a Harbinger",0,[0],[0],[0]
10,"Azurite1_1","Azurite Cavity",[500],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/AzuriteVein",[],[0],[],"Contains Azurite",0,[],[0],[0]
11,"Azurite1_2","Azurite Cavity",[500],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/AzuriteVein",[],[0],[],"Contains Azurite",0,[],[0],[0]
12,"Azurite1_3","Azurite Cavity",[500],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/AzuriteVein",[],[0],[],"Contains Azurite",0,[],[0],[0]
13,"Azurite1_4","Azurite Cavity",[500],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/AzuriteVein",[],[0],[],"Contains Azurite",0,[],[0],[0]
14,"Azurite2_1","Azurite Vault",[300],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/AzuriteVeinII",[],[1],[20],"Contains Azurite",0,[0],[0],[0]
15,"Azurite2_2","Azurite Vault",[300],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/AzuriteVeinII",[],[1],[20],"Contains Azurite",0,[0],[0],[0]
16,"Azurite2_3","Azurite Vault",[300],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/AzuriteVeinII",[],[1],[20],"Contains Azurite",0,[0],[0],[0]
17,"Azurite2_4","Azurite Vault",[300],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/AzuriteVeinII",[],[1],[20],"Contains Azurite",0,[0],[0],[0]
