"rownum","Id","MonsterVarietiesKey","i32","rid","i32","bool"
0,"SkeletonMeleeFireTormentNecromancer",2275,136,"",1,""
1,"TormentMutilatorAnimatedWeapons","",8,"",1,""
2,"WbChaos2Skeleton",4349,136,"",1,""
3,"EssenceFleshmonsterSummonedOnDeath",4908,136,1031,2,1
4,"EssenceBloodworm",4216,136,"",1,""
5,"Essence Elemental Swarm 1st stage",389,136,108,4,1
6,"Essence Elemental Swarm 2nd stage",390,136,108,2,1
7,"Essence Elemental Swarm 3rd stage",391,136,108,2,1
8,"Essence Rock Golem",4469,136,"",1,1
9,"Essence Explosive Insect",1526,136,"",1,1
10,"Volatile Flameblood",4935,136,"",1,1
11,"Obsidian Golem",4151,136,"",1,1
12,"TormentedBetrayerBeacon",7307,136,"",1,""
13,"BlightDaemonFire",7621,136,108,1,""
14,"BlightDaemonCold",7623,136,110,1,""
15,"BlightDaemonLightning",7625,136,441,1,""
16,"BlightDaemonPhysical",7627,136,516,1,""
17,"BlightDaemonChaos",7629,136,1046,1,""
