"rownum","string","rid","i32","[rid]","[i32]","i32","i32","rid","i32","string","rid"
0,"MemoryLineAnarchy1",2,52576,[16628],[3],4,1224,1244,0,"of Organised Chaos",5719
1,"MemoryLineAnarchy2",2,45329,[],[],1,1225,1245,0,"of Ransacked Relics",5719
2,"MemoryLineDomination1",8,37208,"[15523,16618]","[10,100]",6,1226,1246,0,"of Formidable Shrines",5719
3,"MemoryLineDomination2",8,35260,[16481],[4],3,1227,1247,0,"of the Pantheon",30895
4,"MemoryLineEssence1",9,53818,[],[],1,1228,1248,0,"of Collective Stasis",5719
5,"MemoryLineEssence2",9,23679,"[16493,13592,13682,15526,13683]","[1,100,1,1,1]",5,1229,1249,0,"of Crystal Prisons",30896
6,"MemoryLineAmbush1",1,46590,"[16650,5136]","[4,1]",4,1230,1250,0,"of Cascading Fortunes",30897
7,"MemoryLineAmbush2",1,33628,"[5078,5139]","[1,2]",3,1231,1251,0,"of Hidden Behemoths",5719
8,"MemoryLineBreach1",6,40744,"[16536,13325,15952]","[1,40,1]",4,1232,1252,0,"of Demonic Onslaught",30898
9,"MemoryLineBreach2",6,36724,"[16612,13715,13565]","[1,200,100]",6,1233,1253,0,"of Grasping Hands",30899
10,"MemoryLineTorment1",17,19174,[2771],[1],1,1234,1254,0,"of Self-Possession",5719
11,"MemoryLineTorment2",17,24671,[2771],[1],3,1235,1255,0,"of Tormented Souls",30900
12,"MemoryLineHarbinger1",18,24813,"[16638,16693]","[1,50]",4,1236,1256,0,"of Survivor's Guilt",30901
13,"MemoryLineHarbinger2",18,29521,[16510],[1],4,1237,1257,0,"of Phaaryl",30902
14,"MemoryLineBestiary1",3,50665,[2312],[2],1,1238,1258,0,"of Harvest Beasts",5719
15,"MemoryLineBestiary2",3,46008,"[2312,13764]","[2,100]",4,1239,1259,0,"of the Menagerie",5719
16,"MemoryLineIncursion1",13,23896,"[1362,2336,13799]","[100,1,50]",4,1240,1260,0,"of Reverse Incursion",30903
17,"MemoryLineBetrayal1",4,60599,[2312],[6],1,1241,1261,0,"of Bounty Hunters",5719
18,"MemoryLineHarvest1",11,39024,"[16623,16625,16664]","[1,1,1]",4,1242,1262,0,"of the Sacred Grove",30904
19,"MemoryLineAbyss1",0,55290,[15948],[1],4,1243,1263,0,"of Chasms",30905
