"rownum","ScarabType","Tier","BaseItemTypesKey"
0,0,1,8792
1,0,2,8793
2,0,3,8794
3,0,4,8795
4,1,1,8780
5,1,2,8781
6,1,3,8782
7,1,4,8783
8,2,1,8784
9,2,2,8785
10,2,3,8786
11,2,4,8787
12,3,1,8788
13,3,2,8789
14,3,3,8790
15,3,4,8791
16,4,1,8800
17,4,2,8801
18,4,3,8802
19,4,4,8803
20,5,1,8804
21,5,2,8805
22,5,3,8806
23,5,4,8807
24,6,1,8812
25,6,2,8813
26,6,3,8814
27,6,4,8815
28,7,1,8816
29,7,2,8817
30,7,3,8818
31,7,4,8819
32,8,1,8820
33,8,2,8821
34,8,3,8822
35,8,4,8823
36,9,1,8824
37,9,2,8825
38,9,3,8826
39,9,4,8827
40,10,1,8828
41,10,2,8829
42,10,3,8830
43,10,4,8831
44,11,1,8832
45,11,2,8833
46,11,3,8834
47,11,4,8835
48,12,1,8836
49,12,2,8837
50,12,3,8838
51,12,4,8839
52,13,1,8808
53,13,2,8809
54,13,3,8810
55,13,4,8811
56,14,1,8840
57,14,2,8841
58,14,3,8842
59,14,4,8843
60,15,1,8844
61,15,2,8845
62,15,3,8846
63,15,4,8847
