"rownum","i32","i32"
0,1,38
1,2,40
2,3,41
3,4,42
4,5,44
5,6,45
6,7,46
7,8,47
8,9,49
9,10,50
10,11,51
11,12,53
12,13,53
13,14,56
14,15,58
15,16,59
16,17,62
17,18,62
18,19,65
19,20,68
20,21,69
21,22,71
22,23,74
23,24,77
24,25,79
25,26,82
26,27,84
27,28,88
28,29,91
29,30,95
30,31,97
31,32,101
32,33,104
33,34,109
34,35,113
35,36,116
36,37,120
37,38,125
38,39,130
39,40,135
40,41,140
41,42,146
42,43,151
43,44,157
44,45,164
45,46,170
46,47,176
47,48,184
48,49,191
49,50,199
50,51,208
51,52,215
52,53,226
53,54,235
54,55,245
55,56,255
56,57,266
57,58,279
58,59,291
59,60,305
60,61,317
61,62,333
62,63,348
63,64,364
64,65,381
65,66,399
66,67,419
67,68,439
68,69,459
69,70,482
70,71,505
71,72,530
72,73,557
73,74,585
74,75,614
75,76,647
76,77,680
77,78,716
78,79,754
79,80,793
80,81,836
81,82,881
82,83,930
83,84,930
84,85,930
85,86,930
86,87,930
87,88,930
88,89,930
89,90,930
90,91,930
91,92,930
92,93,930
93,94,930
94,95,930
95,96,930
96,97,930
97,98,930
98,99,930
99,100,930
