"rownum","QuestFlag","CompletionString","Boss","bool"
0,184,5033,"Atziri",""
1,977,5034,"UberAtziri",""
2,978,5035,"Shaper",""
3,979,5036,"Elder",""
4,980,5037,"UberElder",""
5,1897,6442,"Sirus",""
6,981,5075,"SiriusAL8",""
7,2182,5412,"Oshabi",""
8,2357,5803,"Maven",""
9,2611,6443,"SearingExarch",""
10,2612,6444,"EaterOfWorlds",""
11,2613,6445,"SotABossEvent",""
12,2618,6641,"UberEater",""
13,2619,6642,"UberExarch",""
14,2620,6643,"UberMaven",""
15,2624,6647,"UberShaper",""
16,2621,6644,"UberSirus",""
17,2623,6646,"UberUberElder",""
18,2622,6645,"UberVenarius",""
19,2617,6640,"UberUberBossEvent",""
20,42,"","Nessa",""
21,5,"","Brutus",1
22,47,"","Fairgraves",""
23,115,"","Dweller",""
24,530,"","Fairgraves2",""
25,492,"","Siosa",""
26,222,"","Dominus",1
27,645,"","Descent2Boss1",1
28,646,"","Descent2Boss2",1
29,647,"","Descent2Boss3",1
30,648,"","Descent2Boss4",1
31,653,"","Descent2Boss5",1
32,9,"","Merveil",1
33,85,"","VaalOversoul",1
34,216,"","Piety",1
35,693,"","Kaom",1
36,809,"","Daresso",1
37,664,"","Malachai",1
38,975,"","DescentKilledBoss1",1
39,976,"","Izaro",1
