"rownum","Id","BaseItemTypesKeys1","BaseItemTypesKeys2","BaseItemTypesKeys3","BaseItemTypesKeys4","BaseItemTypesKeys5","BaseItemTypesKeys6","BaseItemTypesKeys7","BaseItemTypesKeys8","BaseItemTypesKeys9","BaseItemTypesKeys10","BaseItemTypesKeys11","BaseItemTypesKeys12","WorldAreasKey","BaseItemTypesKeys13","BaseItemTypesKeys14"
0,"Descent1","[5332,5295,5310,1,1]","[5332,5332,1,1]","[5332,5295,5310,1,1]","[5332,5332,1,1]","[5332,5295,5310,1,1]","[5332,5332,1,1]","[5332,5295,5310,1,1]","[5332,5332,1,1]","[5332,5295,5310,1,1]","[5332,5332,1,1]","[5332,5295,5310,1,1]","[5332,5332,1,1]",1315,"[5332,5295,5310,1,1]","[5332,5332,1,1]"
1,"Descent2","[5673,5808,6,4859,5843]","[5673,5808,10,11,11,4858,5843]","[5673,5808,6,4859,5843]","[5673,5808,10,11,11,4858,5843]","[5556,5672,5558,6,4859,5820]","[5556,5672,5558,10,11,11,4858,5820]","[5670,6,4859,5831,5826]","[5670,10,11,11,4858,5831,5826]","[5678,6,4859,5831,5826]","[5678,10,11,11,4858,5831,5826]","[5808,5678,5673,6,4859,5826,5843]","[5808,5678,5673,10,11,11,4858,5826,5843]",1316,"[5673,5678,5808,6,4859,5843,5826]","[5673,5678,5808,10,11,11,4858,5826,5843]"
2,"Descent3","[10,15,10,15,5296,5311,4806,4807,4808,4767,4767,4741,4578,4578,4874]","[10,15,10,15,5296,5311,4806,4807,4808,4767,4768,4769,4741,4578,4578,4874]","[10,15,10,15,5296,5311,4806,4807,4808,4767,4767,4525,4495,4716,4691]","[10,15,10,15,5296,5311,4806,4807,4808,4767,4768,4769,4525,4495,4716,4691]","[10,15,10,15,5296,5311,4806,4807,4808,4767,4767,4525,4525,4634,5350]","[10,15,10,15,5296,5311,4806,4807,4808,4767,4768,4769,4525,4525,4634,5350]","[10,15,10,15,5296,5311,4806,4807,4808,4767,4767,4436,4436,4410,4410]","[10,15,10,15,5296,5311,4806,4807,4808,4767,4768,4769,4436,4436,4410,4410]","[10,15,10,15,5296,5311,4806,4807,4808,4767,4767,4410,4410,4606,4606]","[10,15,10,15,5296,5311,4806,4807,4808,4767,4768,4769,4410,4410,4606,4606]","[10,15,10,15,5296,5311,4806,4807,4808,4767,4767,4606,4606,4663]","[10,15,10,15,5296,5311,4806,4807,4808,4767,4768,4769,4606,4606,4663]",1317,"[10,15,10,15,5296,5311,4806,4807,4808,4767,4767,4606,4606,4716,4495,4495]","[10,15,10,15,5296,5311,4806,4807,4808,4767,4768,4769,4606,4606,4716,4495,4495]"
3,"Descent4","[4805,10,14,1,1,1,5696,5561]","[6,6,5696,5561]","[4805,10,14,1,1,1,5696,5561]","[6,6,5696,5561]","[4805,10,14,1,1,1,5564,5567,5561]","[6,6,5567,5564,5561]","[4805,10,14,1,1,1,5564,5570,5567,5705,5835]","[6,6,5564,5567,5570,5705,5835]","[4805,10,14,1,1,1,5570,5564,5567,5835]","[6,6,5567,5570,5564,5835]","[4805,10,14,1,1,1,5570,5561,5696]","[6,6,5561,5570,5696]",1318,"[4805,10,14,1,1,1,5567,5570,5561]","[6,6,5561,5570,5567]"
4,"Descent5","[5534,0,0,0,0,6,2]","[5534,0,0,0,0,10,11,11,11,11,15,15]","[5534,0,0,0,0,6,2,5548]","[5534,0,0,0,0,10,11,11,11,11,15,15,5548]","[5792,5548,0,0,0,0,6,2]","[5792,5548,0,0,0,0,10,11,11,11,11,15,15]","[5618,0,0,0,0,6,2,5806,5657]","[5806,0,0,0,0,10,11,11,11,11,15,15,5618,5657]","[5618,5806,0,0,0,0,6,2,5657]","[5618,5806,0,0,0,0,10,11,11,11,11,15,15,5657]","[5806,0,0,0,0,6,2,5618,5802,5534]","[5534,5802,0,0,0,0,10,11,11,11,11,15,15,5806,5618]",1319,"[5806,0,0,0,0,6,2,5534,5618]","[5534,0,0,0,0,10,11,11,11,11,15,15,5618,5806]"
5,"Descent6","[4772,5537,5297,5312,6,6,5840]","[4772,5297,5312,5537,11,11,11,11,15,15,5840]","[4772,5537,5297,5312,5702,6,6,5840]","[4772,5702,5297,5312,5537,11,11,11,11,15,15,5840]","[4772,5626,5702,5297,5312,5643,6,6]","[4772,5702,5643,5297,5312,5626,11,11,11,11,15,15]","[4772,5707,5297,5312,5725,5733,6,6,5834,5822]","[4772,5297,5312,5725,5733,5707,11,11,11,11,15,15,5834,5822]","[4772,5644,5297,5312,5733,5637,5533,6,6,5834,5822]","[4772,5533,5297,5312,5637,5733,5644,11,11,11,11,15,15,5834,5822]","[4772,5637,5297,5312,5533,5537,5698,6,6,5840]","[4772,5297,5312,5537,5533,5637,5698,11,11,11,11,15,15,5840]",1320,"[4772,5297,5312,5637,5537,6,6,5840]","[4772,5297,5312,5637,5537,11,11,11,11,15,15,5840]"
6,"Descent7","[0,0,0,0,21,21,21,21,21,20,20,19,19,2,6,4580,4580,4875,4742]","[0,0,0,0,21,21,20,20,20,20,20,19,19,2,6,4580,4580,4875,4742]","[0,0,0,0,21,21,21,21,21,20,20,19,19,2,6,4692,4717,4527,4496]","[0,0,0,0,21,21,20,20,20,20,20,19,19,2,6,4692,4717,4527,4496]","[0,0,0,0,21,21,21,21,21,20,20,19,19,2,6,4636,4527,4527,5350]","[0,0,0,0,21,21,20,20,20,20,20,19,19,2,6,6,4636,4527,4527,5350]","[0,0,0,0,21,21,21,21,21,20,20,19,19,2,6,4411,4411,4438,4438]","[0,0,0,0,21,21,20,20,20,20,20,19,19,2,6,4411,4411,4438,4438]","[0,0,0,0,21,21,21,21,21,20,20,19,19,2,6,4411,4411,4608,4608]","[0,0,0,0,21,21,20,20,20,20,20,19,19,2,6,4411,4411,4608,4608]","[0,0,0,0,21,21,21,21,21,20,20,19,19,2,6,4608,4608,4664]","[0,0,0,0,21,21,20,20,20,20,20,19,19,2,6,4608,4608,4664]",1321,"[0,0,0,0,21,21,21,21,21,20,20,19,19,2,6,4608,4608,4496,4496,4717]","[0,0,0,0,21,21,20,20,20,20,20,19,19,2,6,4608,4608,4496,4496,4717]"
7,"Descent8","[5781,5542,5677,4771,4773,4812,4813,4811,2,6,11]","[5781,5542,5677,4771,4773,4812,4813,4811,12,12,10,10,10,11]","[5781,5542,5677,4771,4773,4812,4813,4811,2,6,11]","[5781,5542,5677,4771,4773,12,12,10,10,10,11,4812,4813,4811]","[5781,5782,5549,5677,4771,4773,4812,4813,4811,2,6,11]","[5781,5782,5549,5677,4771,4773,12,12,10,10,10,11,4812,4813,4811]","[5783,5782,5677,4771,4773,4812,4813,4811,2,6,11]","[5783,5782,5677,4771,4773,12,12,10,10,10,11,4812,4813,4811]","[5783,5782,4771,4773,4812,4813,4811,2,6,11]","[5783,5782,4771,4773,12,12,10,10,10,11,4812,4813,4811]","[5781,5783,5542,4771,4773,4812,4813,4811,2,6,11]","[5781,5783,5542,4771,4773,12,12,10,10,10,11,4812,4813,4811]",1322,"[5782,5783,5781,4771,4773,4812,4813,4811,2,6,11]","[5782,5783,5781,4771,4773,12,12,10,10,10,11,4812,4813,4811]"
8,"Descent9","[4,4,4,6,6,4860,5051,5227,4973,5156,5604,5298,5313,5562,5634,4]","[4858,0,0,0,6,6,4743,4581,4876,5562,5634,5298,5313,5604,4581,0]","[4,4,4,6,6,4860,5103,5263,5004,5193,5604,5298,5313,5562,5634,4]","[4858,0,0,0,6,6,4718,4528,5634,5562,5298,5313,5604,4693,4498,0]","[4,4,4,6,6,4860,5069,5239,4984,5169,5731,5298,5313,5562,5634,5604,4]","[4858,0,0,0,6,6,4637,5350,5634,5562,5298,5313,4528,4528,5731,5604,0]","[4,4,4,6,6,4860,5137,5279,5031,5209,5627,5298,5313,5607,5814,4]","[4858,0,0,0,6,6,4859,4439,4439,5607,5814,5298,5313,5627,4412,4412,0]","[4,4,4,6,6,4860,5086,5251,4994,5181,5607,5298,5313,5627,4]","[4858,0,0,0,6,6,4859,5627,5298,5313,5607,4412,4412,4609,4609,0]","[4,4,4,6,6,4860,5120,5271,5017,5201,5607,5604,5298,5313,5562,5627,5634,4]","[4858,0,0,0,6,6,4859,4609,4609,5627,5634,5298,5313,5562,5604,5607,4665,0]",1323,"[4,4,4,6,6,4860,5103,5263,5004,5193,5607,5604,5298,5313,5627,5562,5634,4]","[4858,0,0,0,6,6,4718,5627,5562,5298,5313,5607,5634,5604,4609,4609,4498,4498,0]"
9,"Descent10","[21,21,20,20,19,19,21,21,20,20,19,19]","[21,21,20,20,19,19,10,11,11,14]","[21,21,20,20,19,19,21,21,20,20,19,19]","[21,21,20,20,19,19,10,11,11,14]","[21,21,20,20,19,19,21,21,20,20,19,19]","[21,21,20,20,19,19,10,11,11,14]","[21,21,20,20,19,19,21,21,20,20,19,19]","[21,21,20,20,19,19,10,11,11,14]","[21,21,20,20,19,19,21,21,20,20,19,19]","[21,21,20,20,19,19,10,11,11,14]","[21,21,20,20,19,19,21,21,20,20,19,19]","[21,21,20,20,19,19,10,11,11,14]",1324,"[21,21,20,20,19,19,21,21,20,20,19,19]","[21,21,20,20,19,19,10,11,11,14]"
