"rownum","BaseItemTypesKey","GrantedEffectsKey","Str","Dex","Int","GemTagsKeys","VaalVariant_BaseItemTypesKey","IsVaalVariant","Description","Consumed_ModsKey","GrantedEffectsKey2","MinionGlobalSkillLevelStat","SupportSkillName","IsSupport","bool","i32","i32","i32","i32"
0,5532,0,0,0,100,"[11,25,5,4,14,0]",5741,"","","","","","",1,1,-16843010,-16843010,-16843010,-16843010
1,5741,2929,0,0,100,"[11,25,5,4,14,24,0]","",1,"","",0,"","",1,1,-16843010,-16843010,-16843010,-16843010
2,5533,58,0,0,100,"[11,25,4,14,1,38]",5750,"","","","","","",1,1,-16843010,-16843010,-16843010,-16843010
3,5573,5023,0,0,100,"[11,25,4,14,5]",5741,"","","","","","",1,1,-16843010,-16843010,-16843010,-16843010
4,5750,67,0,0,100,"[11,25,4,14,24,1,38]","",1,"","",58,"","",1,1,-16843010,-16843010,-16843010,-16843010
5,5534,96,100,0,0,"[9,25,13,14,22,35,40,7]","","","","","","","",1,1,-16843010,-16843010,-16843010,-16843010
6,5586,4991,100,0,100,"[11,25,4,14,5,1]","","","","","","","",1,1,-16843010,-16843010,-16843010,-16843010
7,5535,7808,0,100,0,"[10,25,22,14,30,13,2,7]","","","","","","","",1,1,-16843010,-16843010,-16843010,-16843010
8,5536,5009,0,60,40,"[10,25,13,14,30,33,7]","","","","","","","",1,1,-16843010,-16843010,-16843010,-16843010
9,5537,100,100,0,0,"[9,25,13,14,33,7]","","","","","","","",1,1,-16843010,-16843010,-16843010,-16843010
10,5538,7158,100,0,0,"[9,25,13,14,7]","","","","","","","",1,1,-16843010,-16843010,-16843010,-16843010
11,5771,102,100,0,0,"[9,25,13,14,24,33,7]","",1,"","","","","",1,1,-16843010,-16843010,-16843010,-16843010
12,5751,5078,0,0,0,"[25,4,5,22]","","","","","","","",1,1,-16843010,-16843010,-16843010,-16843010
13,5539,7865,100,0,0,"[9,25,13,14,40,7]",5753,"","","","","","",1,1,-16843010,-16843010,-16843010,-16843010
14,5753,7869,100,0,0,"[9,25,13,14,24,40,7]","",1,"","",7865,"","",1,1,-16843010,-16843010,-16843010,-16843010
15,5540,163,60,40,0,"[9,25,13,14,33,7]","","","","","","","",1,1,-16843010,-16843010,-16843010,-16843010
16,5541,184,100,0,0,"[9,25,13,14,22,35,33,7]","","","","","","","",1,1,-16843010,-16843010,-16843010,-16843010
17,5542,224,100,0,0,"[27,9,25,14,15]","","","","","","","",1,1,-16843010,-16843010,-16843010,-16843010
18,5543,234,0,100,0,"[10,25,13,7,36,33]",5759,"","","","","","",1,1,-16843010,-16843010,-16843010,-16843010
19,5759,7863,0,100,0,"[10,25,13,7,36,15,24,33]","",1,"","",234,"","",1,1,-16843010,-16843010,-16843010,-16843010
20,5544,5057,40,60,0,"[10,25,13,14,33,7]","","","","","","","",1,1,-16843010,-16843010,-16843010,-16843010
21,5545,242,0,100,0,"[10,25,13,5,7,36,0,1,2,14,45,6]","","","","","","","",1,1,-16843010,-16843010,-16843010,-16843010
22,5546,254,100,0,0,"[9,25,4,15,34]","","","","","","","",1,1,-16843010,-16843010,-16843010,-16843010
23,5747,256,100,0,0,"[9,25,4,15,24,34]","",1,"","",254,"","",1,1,-16843010,-16843010,-16843010,-16843010
24,5547,260,40,60,0,"[47,10,25,13,7,36]","","","","","","","",1,1,-16843010,-16843010,-16843010,-16843010
25,5548,271,0,60,40,"[10,25,13,22,35,7]","","","","","","","",1,1,-16843010,-16843010,-16843010,-16843010
26,5549,304,0,100,0,"[10,25,13,5,7,36,6]","","","","","","","",1,1,-16843010,-16843010,-16843010,-16843010
27,5552,310,0,60,40,"[10,25,4,14,0]",5752,"","","","","","",1,1,-16843010,-16843010,-16843010,-16843010
28,5752,7864,0,60,40,"[10,25,4,14,24,0]","",1,"","",310,"","",1,1,-16843010,-16843010,-16843010,-16843010
29,5553,7150,0,60,40,"[10,25,4,14,0]","","","","","","","",1,1,-16843010,-16843010,-16843010,-16843010
30,5554,7159,0,60,40,"[10,25,4,5,14,33]","","","","","","","",1,1,-16843010,-16843010,-16843010,-16843010
31,5555,328,0,100,0,"[10,25,13,5,6]","","","","","","","",1,1,-16843010,-16843010,-16843010,-16843010
32,5560,329,0,100,0,"[10,25,13,5,33,6]","","","","","","","",1,1,-16843010,-16843010,-16843010,-16843010
33,5561,516,100,0,0,"[0,33,9,16]","","","Supports any skill that hits enemies.",13368,"","","",1,1,433,0,-16843010,-16843010
34,5562,517,0,100,0,"[13,10,16]","","","Supports attack skills.",13463,"","","",1,1,-16843010,-16843010,-16843010,-16843010
35,5563,519,0,100,0,"[10,16,5]","","","Supports projectile skills.",13407,"","","",1,1,450,0,-16843010,-16843010
36,5564,521,0,100,0,"[10,16,5]","","","Supports projectile skills.",13395,"","","",1,1,-16843010,-16843010,-16843010,-16843010
37,5566,523,0,100,0,"[10,16,5]","","","Supports projectile skills.",13383,"","","",1,1,-16843010,-16843010,-16843010,-16843010
38,5567,525,0,100,0,"[1,10,16]","","","Supports any skill that hits enemies.",13372,"","","",1,1,443,0,-16843010,-16843010
39,5568,527,40,60,0,"[13,10,16]","","","Supports attack skills.",13374,"","","",1,1,-16843010,-16843010,-16843010,-16843010
40,5569,528,0,0,100,"[11,16,14]","","","Supports any skill with an area of effect.",13391,"","","",1,1,461,0,-16843010,-16843010
41,5570,530,0,0,100,"[2,11,16]","","","Supports any skill that hits enemies.",13471,"","","",1,1,455,0,-16843010,-16843010
