"rownum","Id","Part","string","ActNumber","i32","WorldPanelImage","WorldPanelImageEpilogue","i32","IsPostGame","i32","i32","i32","string"
0,"Act1",0,"",0,1,"Art/2DArt/UIImages/InGame/WorldPanelMapAct1","",0,"",1275,2,0,"{"
1,"Act2",0,"",0,2,"Art/2DArt/UIImages/InGame/WorldPanelMapAct2","",0,"",1275,2,0,"\n"
2,"Act3",0,"",0,3,"Art/2DArt/UIImages/InGame/WorldPanelMapAct3","",0,"",1275,2,0,""
3,"Act4",0,"",0,4,"Art/2DArt/UIImages/InGame/WorldPanelMapAct4","",0,"",1275,2,0,"ʡ"
4,"Act5",0,"",0,5,"Art/2DArt/UIImages/InGame/WorldPanelMapAct5","",0,"",1275,2,0,"Ľ"
5,"Act6",1,"",0,6,"Art/2DArt/UIImages/InGame/WorldPanelMapAct6","",0,"",1275,2,0,"ѳ"
6,"Act7",1,"",0,7,"Art/2DArt/UIImages/InGame/WorldPanelMapAct7","",0,"",1275,2,0,"ӧ"
7,"Act8",1,"",0,8,"Art/2DArt/UIImages/InGame/WorldPanelMapAct8","",0,"",1275,2,0,"՝"
8,"Act9",1,"",0,9,"Art/2DArt/UIImages/InGame/WorldPanelMapAct9","",0,"",1275,2,0,"ל"
9,"Act10",1,"",0,10,"Art/2DArt/UIImages/InGame/WorldPanelMapAct10","",0,"",1275,2,0,"؃"
10,"Epilogue",2,"",0,11,"Art/2DArt/UIImages/InGame/WorldPanelMapAct11","Art/2DArt/UIImages/InGame/WorldPanelMapEpilogue2",0,"",1275,1,0,"،"
11,"Atlas",2,"The Atlas of Worlds",0,12,"Art/2DArt/UIImages/InGame/WorldPanelMaven","",0,1,1036,1,0,";"
