"rownum","Hideout_NPCsKey","Regular_NPCsKeys","HideoutDoodadsKey","NPCMasterKey","rid","rid","i32","rid","i32","bool","rid"
0,169,[171],1264,1,"","",112,108,46,"",""
1,326,"[341,325]",1265,2,"","",606,110,46,"",""
2,339,"[24,226,338]",1261,3,"",242,1275,11,46,1,""
3,334,"[329,332]",1266,4,"","",68,111,46,"",76
4,337,[335],1267,5,"","",592,118,46,"",87
5,393,"[391,392]",1268,13,"","",372,122,46,"",""
6,397,[394],1269,14,"","",660,123,46,"",""
7,408,[406],1270,15,"","",353,106,46,"",15
8,507,[507],1271,21,"","",1092,"",46,1,""
9,516,[508],1272,22,"","",1093,"",46,1,""
10,517,[509],1273,23,"","",1094,"",46,1,""
11,518,[510],1274,24,"","",1095,"",46,1,""
12,526,"[524,525]",1275,26,"","",1155,"",41,1,""
13,528,"[189,295,310,311]",1276,0,"","",1163,73,46,1,""
