"rownum","NPCsKey","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","string","string","rid"
0,0,1254,0,0,0,-16843010,-16843010,-16843010,-16843010,1275,1275,25,"Metadata/NPC/Act1/Tarkleigh.ao","",""
1,16,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,1275,1275,25,"Metadata/NPC/Act3/Hargan.ao","",""
2,186,-16843010,-16843010,-16843010,-16843010,1085,0,0,0,1275,1275,25,"Metadata/NPC/Act5/Lilly.ao","",""
3,341,-16843010,-16843010,-16843010,-16843010,1254,0,0,0,1275,1275,25,"Metadata/NPC/League/Incursion/TreasureHunter.ao","",""
4,100,-16843010,-16843010,-16843010,-16843010,672,0,0,0,1275,1275,25,"Metadata/NPC/Act4/Petarus.ao","",""
5,391,-16843010,-16843010,-16843010,-16843010,59,0,0,0,1275,1275,25,"Metadata/NPC/League/Blight/BlightBuilder.ao","",""
6,343,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,1275,1275,0,"Metadata/Monsters/LeagueHeist/NPCAllies/TownVisitors/BetrayalHaku.ao","idle_axe_01",1
7,344,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,1275,1275,0,"Metadata/Monsters/LeagueHeist/NPCAllies/TownVisitors/BetrayalElreon.ao","idle_maul_01",2
8,345,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,1275,1275,0,"Metadata/Monsters/LeagueHeist/NPCAllies/TownVisitors/BetrayalTora.ao","idle_bow_01",3
9,346,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,1275,1275,0,"Metadata/Monsters/LeagueHeist/NPCAllies/TownVisitors/BetrayalVagan.ao","idle_sword_sword_01",4
10,347,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,1275,1275,0,"Metadata/Monsters/LeagueHeist/NPCAllies/TownVisitors/BetrayalVorici.ao","idle_dagger_dagger_01",5
11,348,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,1275,1275,25,"Metadata/Monsters/LeagueHeist/NPCAllies/TownVisitors/BetrayalHillock.ao","idle_town_01",6
12,349,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,1275,1275,25,"Metadata/Monsters/LeagueHeist/NPCAllies/TownVisitors/BetrayalLeo.ao","idle_town_01",7
13,350,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,1275,1275,25,"Metadata/Monsters/LeagueHeist/NPCAllies/TownVisitors/BetrayalGrenn.ao","idle_town_01",8
14,351,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,1275,1275,25,"Metadata/Monsters/LeagueHeist/NPCAllies/TownVisitors/BetrayalJanus.ao","idle_town_01",9
15,352,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,1275,1275,25,"Metadata/Monsters/LeagueHeist/NPCAllies/TownVisitors/BetrayalBreach.ao","idle_town_01",10
16,353,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,1275,1275,25,"Metadata/Monsters/LeagueHeist/NPCAllies/TownVisitors/BetrayalGravicius.ao","idle_town_01",11
17,354,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,1275,1275,25,"Metadata/Monsters/LeagueHeist/NPCAllies/TownVisitors/BetrayalThane.ao","idle_town_01",12
18,355,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,1275,1275,25,"Metadata/Monsters/LeagueHeist/NPCAllies/TownVisitors/BetrayalKeema.ao","idle_town_01",13
19,356,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,1275,1275,25,"Metadata/Monsters/LeagueHeist/NPCAllies/TownVisitors/BetrayalRin.ao","idle_town_01",14
20,357,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,1275,1275,25,"Metadata/Monsters/LeagueHeist/NPCAllies/TownVisitors/BetrayalCameria.ao","idle_town_01",15
21,358,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,1275,1275,25,"Metadata/Monsters/LeagueHeist/NPCAllies/TownVisitors/BetrayalAislin.ao","idle_town_01",16
22,359,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,1275,1275,25,"Metadata/Monsters/LeagueHeist/NPCAllies/TownVisitors/BetrayalRiker.ao","idle_town_01",17
