"rownum","Id","MonsterVarietiesKey","Buff_BuffDefinitionsKey","Buff_StatValues","OTFile"
0,"ExtraBoss",4041,"",[],""
1,"HardBoss",4440,"",[],""
2,"Lieutenants1_Bull",4524,"",[],""
3,"Lieutenants2_Bull",4527,650,"[500,667]",""
4,"Lieutenants1_Ranged",4522,"",[],""
5,"Lieutenants2_Ranged",4525,650,"[500,667]",""
6,"Lieutenants1_Melee",4523,"",[],""
7,"Lieutenants2_Melee",4526,650,"[500,667]",""
8,"PowerSymbols1_Physical","",538,"[20,-25]","Metadata/Terrain/Labyrinth/Objects/PowerSymbols/PowerSymbol1.ot"
9,"PowerSymbols1_Fire","",532,"[20,-25]","Metadata/Terrain/Labyrinth/Objects/PowerSymbols/PowerSymbol2.ot"
10,"PowerSymbols1_Cold","",534,"[20,-25]","Metadata/Terrain/Labyrinth/Objects/PowerSymbols/PowerSymbol3.ot"
11,"PowerSymbols1_Lightning","",536,"[20,-25]","Metadata/Terrain/Labyrinth/Objects/PowerSymbols/PowerSymbol4.ot"
12,"PowerSymbols2_Physical","",539,"[40,-50,500,400]","Metadata/Terrain/Labyrinth/Objects/PowerSymbols/PowerDoodad1.ot"
13,"PowerSymbols2_Fire","",533,"[40,-50,500,400]","Metadata/Terrain/Labyrinth/Objects/PowerSymbols/PowerDoodad2.ot"
14,"PowerSymbols2_Cold","",535,"[40,-50,500,400]","Metadata/Terrain/Labyrinth/Objects/PowerSymbols/PowerDoodad3.ot"
15,"PowerSymbols2_Lightning","",537,"[40,-50,500,400]","Metadata/Terrain/Labyrinth/Objects/PowerSymbols/PowerDoodad4.ot"
16,"ToggleStatuesNormal_Fire","",540,"[15,-20,10]","Metadata/Terrain/Labyrinth/Objects/ToggleStatues/EmpowerStatue1.ot"
17,"ToggleStatuesNormal_Cold","",542,"[15,-20,10]","Metadata/Terrain/Labyrinth/Objects/ToggleStatues/EmpowerStatue2.ot"
18,"ToggleStatuesNormal_Lightning","",544,"[15,-20,10]","Metadata/Terrain/Labyrinth/Objects/ToggleStatues/EmpowerStatue3.ot"
19,"ToggleStatuesNormal_Fire2","",541,"[15,-20,10,500,667]","Metadata/Terrain/Labyrinth/Objects/ToggleStatues/StatueDoodad1.ot"
20,"ToggleStatuesNormal_Cold2","",543,"[15,-20,10,500,667]","Metadata/Terrain/Labyrinth/Objects/ToggleStatues/StatueDoodad2.ot"
21,"ToggleStatuesNormal_Lightning2","",545,"[15,-20,10,500,667]","Metadata/Terrain/Labyrinth/Objects/ToggleStatues/StatueDoodad3.ot"
22,"ToggleStatuesCruel_Fire","",540,"[20,-20,20]","Metadata/Terrain/Labyrinth/Objects/ToggleStatues/EmpowerStatue1.ot"
23,"ToggleStatuesCruel_Cold","",542,"[20,-20,20]","Metadata/Terrain/Labyrinth/Objects/ToggleStatues/EmpowerStatue2.ot"
24,"ToggleStatuesCruel_Lightning","",544,"[20,-20,20]","Metadata/Terrain/Labyrinth/Objects/ToggleStatues/EmpowerStatue3.ot"
25,"ToggleStatuesCruel_Fire2","",541,"[20,-20,20,500,667]","Metadata/Terrain/Labyrinth/Objects/ToggleStatues/StatueDoodad1.ot"
26,"ToggleStatuesCruel_Cold2","",543,"[20,-20,20,500,667]","Metadata/Terrain/Labyrinth/Objects/ToggleStatues/StatueDoodad2.ot"
27,"ToggleStatuesCruel_Lightning2","",545,"[20,-20,20,500,667]","Metadata/Terrain/Labyrinth/Objects/ToggleStatues/StatueDoodad3.ot"
28,"ToggleStatuesMerciless_Fire","",540,"[20,-20,20]","Metadata/Terrain/Labyrinth/Objects/ToggleStatues/EmpowerStatue1.ot"
29,"ToggleStatuesMerciless_Cold","",542,"[20,-20,20]","Metadata/Terrain/Labyrinth/Objects/ToggleStatues/EmpowerStatue2.ot"
30,"ToggleStatuesMerciless_Lightning","",544,"[20,-20,20]","Metadata/Terrain/Labyrinth/Objects/ToggleStatues/EmpowerStatue3.ot"
31,"ToggleStatuesMerciless_Fire2","",541,"[20,-20,20,500,667]","Metadata/Terrain/Labyrinth/Objects/ToggleStatues/StatueDoodad1.ot"
32,"ToggleStatuesMerciless_Cold2","",543,"[20,-20,20,500,667]","Metadata/Terrain/Labyrinth/Objects/ToggleStatues/StatueDoodad2.ot"
33,"ToggleStatuesMerciless_Lightning2","",545,"[20,-20,20,500,667]","Metadata/Terrain/Labyrinth/Objects/ToggleStatues/StatueDoodad3.ot"
34,"ToggleStatuesEndgame_Fire","",540,"[30,-20,30]","Metadata/Terrain/Labyrinth/Objects/ToggleStatues/EmpowerStatue1.ot"
35,"ToggleStatuesEndgame_Cold","",542,"[30,-20,30]","Metadata/Terrain/Labyrinth/Objects/ToggleStatues/EmpowerStatue2.ot"
36,"ToggleStatuesEndgame_Lightning","",544,"[30,-20,30]","Metadata/Terrain/Labyrinth/Objects/ToggleStatues/EmpowerStatue3.ot"
37,"ToggleStatuesEndgame_Fire2","",541,"[30,-20,30,500,667]","Metadata/Terrain/Labyrinth/Objects/ToggleStatues/StatueDoodad1.ot"
38,"ToggleStatuesEndgame_Cold2","",543,"[30,-20,30,500,667]","Metadata/Terrain/Labyrinth/Objects/ToggleStatues/StatueDoodad2.ot"
39,"ToggleStatuesEndgame_Lightning2","",545,"[30,-20,30,500,667]","Metadata/Terrain/Labyrinth/Objects/ToggleStatues/StatueDoodad3.ot"
40,"PowerPylonsCruel_Vulnerability",4719,"",[],""
41,"PowerPylonsCruel_TempChains",4717,"",[],""
42,"PowerPylonsCruel_EleWeakness",4721,"",[],""
43,"PowerPylonsCruel_Vulnerability2","",650,"[500,667]","Metadata/Terrain/Labyrinth/Objects/PowerPylons/BossPylonVulnerabilityDoodad.ot"
44,"PowerPylonsCruel_TempChains2","",650,"[500,667]","Metadata/Terrain/Labyrinth/Objects/PowerPylons/BossPylonTempChainsDoodad.ot"
45,"PowerPylonsCruel_EleWeakness2","",650,"[500,667]","Metadata/Terrain/Labyrinth/Objects/PowerPylons/BossPylonEleWeaknessDoodad.ot"
46,"PowerPylonsMerciless_Vulnerability",4718,"",[],""
47,"PowerPylonsMerciless_TempChains",4716,"",[],""
48,"PowerPylonsMerciless_EleWeakness",4720,"",[],""
49,"PowerPylonsMerciless_Vulnerability2","",650,"[500,667]","Metadata/Terrain/Labyrinth/Objects/PowerPylons/BossPylonVulnerabilityDoodad.ot"
50,"PowerPylonsMerciless_TempChains2","",650,"[500,667]","Metadata/Terrain/Labyrinth/Objects/PowerPylons/BossPylonTempChainsDoodad.ot"
51,"PowerPylonsMerciless_EleWeakness2","",650,"[500,667]","Metadata/Terrain/Labyrinth/Objects/PowerPylons/BossPylonEleWeaknessDoodad.ot"
52,"PowerPylonsEndgame_Vulnerability",4718,"",[],""
53,"PowerPylonsEndgame_TempChains",4716,"",[],""
