"rownum","BaseItemTypesKey","Id","AOFile","MapAOFile","f32","MiscObject","PortalEffect","f32","string","PortalEffectLarge","i32","i32"
0,489,1,"Metadata/Effects/Microtransactions/Town_Portals/supporter_01/rig.ao","Metadata/Effects/Microtransactions/Town_Portals/supporter_01/rig_map.ao",1,"","",1,"","",0,0
1,496,2,"Metadata/Effects/Microtransactions/Town_Portals/supporter_02/rig.ao","Metadata/Effects/Microtransactions/Town_Portals/supporter_02/rig_map.ao",1,"","",1,"","",0,0
2,497,3,"Metadata/Effects/Microtransactions/Town_Portals/supporter_03/supporter_portal_03.ao","Metadata/Effects/Microtransactions/Town_Portals/supporter_03/supporter_portal_03_map.ao",1,"","",1,"","",0,0
3,498,4,"Metadata/Effects/Microtransactions/Town_Portals/supporter_04/supporter_04.ao","Metadata/Effects/Microtransactions/Town_Portals/supporter_04/supporter_04_map.ao",1,"","",1,"","",0,0
4,499,5,"Metadata/Effects/Microtransactions/Town_Portals/supporter_05/rig.ao","Metadata/Effects/Microtransactions/Town_Portals/supporter_05/rig_map.ao",1,"","",1,"","",0,0
5,495,6,"Metadata/Effects/Microtransactions/Town_Portals/black_hole/rig.ao","Metadata/Effects/Microtransactions/Town_Portals/black_hole/rig_map.ao",1,"","",1,"","",0,0
6,490,7,"Metadata/Effects/Microtransactions/Town_Portals/supporter_red_01/rig.ao","Metadata/Effects/Microtransactions/Town_Portals/supporter_red_01/rig_map.ao",1,"","",1,"","",0,0
7,491,8,"Metadata/Effects/Microtransactions/Town_Portals/steam_portals/steam_portal_01/rig.ao","Metadata/Effects/Microtransactions/Town_Portals/steam_portals/steam_portal_01/rig_map.ao",1,"","",1,"","",0,0
8,492,9,"Metadata/Effects/Microtransactions/Town_Portals/steam_portals/steam_portal_04/rig.ao","Metadata/Effects/Microtransactions/Town_Portals/steam_portals/steam_portal_04/rig_map.ao",1,"","",1,"","",0,0
9,493,10,"Metadata/Effects/Microtransactions/Town_Portals/steam_portals/steam_portal_02/rig.ao","Metadata/Effects/Microtransactions/Town_Portals/steam_portals/steam_portal_02/rig_map.ao",1,"","",1,"","",0,0
10,624,11,"Metadata/Effects/Microtransactions/Town_Portals/arctic_portal/arctic_portal.ao","Metadata/Effects/Microtransactions/Town_Portals/arctic_portal/arctic_portal_map.ao",1,"","",1,"","",0,0
11,688,12,"Metadata/Effects/Microtransactions/Town_Portals/sovereign_portal/rig.ao","Metadata/Effects/Microtransactions/Town_Portals/sovereign_portal/rig_map.ao",1,"","",1,"","",0,0
12,689,13,"Metadata/Effects/Microtransactions/Town_Portals/ascendant_portal/rig.ao","Metadata/Effects/Microtransactions/Town_Portals/ascendant_portal/rig_map.ao",1,"","",1,"","",0,0
13,686,14,"Metadata/Effects/Microtransactions/Town_Portals/aspirant_portal/rig.ao","Metadata/Effects/Microtransactions/Town_Portals/aspirant_portal/rig_map.ao",1,"","",1,"","",0,0
14,687,15,"Metadata/Effects/Microtransactions/Town_Portals/challenger_portal/rig.ao","Metadata/Effects/Microtransactions/Town_Portals/challenger_portal/rig_map.ao",1,"","",1,"","",0,0
15,705,16,"Metadata/Effects/Microtransactions/Town_Portals/malachai_portal/rig.ao","Metadata/Effects/Microtransactions/Town_Portals/malachai_portal/rig_map.ao",1,"","",1,"","",0,0
16,712,17,"Metadata/Effects/Microtransactions/Town_Portals/Perandus_portal/player.ao","Metadata/Effects/Microtransactions/Town_Portals/Perandus_portal/player_map.ao",1,"","",1,"","",0,0
17,735,18,"Metadata/Effects/Microtransactions/Town_Portals/prophecy_portal/rig.ao","Metadata/Effects/Microtransactions/Town_Portals/prophecy_portal/rig_map.ao",1,"","",1,"","",0,0
18,737,19,"Metadata/Effects/Microtransactions/Town_Portals/DemonkingPortal/rig.ao","Metadata/Effects/Microtransactions/Town_Portals/DemonkingPortal/rig_map.ao",1,"","",1,"","",0,0
19,800,20,"Metadata/Effects/Microtransactions/Town_Portals/essence_portal/rig.ao","Metadata/Effects/Microtransactions/Town_Portals/essence_portal/rig_map.ao",1,"","",1,"","",0,0
20,500,21,"Metadata/Effects/Microtransactions/Town_Portals/ShaperPortal/rig.ao","Metadata/Effects/Microtransactions/Town_Portals/ShaperPortal/rig_map.ao",1,"","",1,"","",0,0
21,813,22,"Metadata/Effects/Microtransactions/Town_Portals/GorePortal/GorePortal.ao","Metadata/Effects/Microtransactions/Town_Portals/GorePortal/GorePortal_map.ao",1,"","",1,"","",0,0
22,857,23,"Metadata/Effects/Microtransactions/Town_Portals/BreachSupporterPortal/rig.ao","Metadata/Effects/Microtransactions/Town_Portals/BreachSupporterPortal/rig_map.ao",1,"","",1,"","",0,0
23,839,24,"Metadata/Effects/Microtransactions/Town_Portals/Breach_portal/Breach_portal_player.ao","Metadata/Effects/Microtransactions/Town_Portals/Breach_portal/Breach_portal_player_map.ao",1,"","",1,"","",0,0
24,494,25,"Metadata/Effects/Microtransactions/Town_Portals/VaalPortal/portal_vaal_inmap.ao","Metadata/Effects/Microtransactions/Town_Portals/VaalPortal/portal_vaal_inmap.ao",1,"","",1,"","Metadata/Effects/Microtransactions/Town_Portals/VaalPortal/portal_vaal.ao",0,0
25,865,26,"Metadata/Effects/Microtransactions/Town_Portals/KaomPortal/KaomPortal.ao","Metadata/Effects/Microtransactions/Town_Portals/KaomPortal/KaomPortalMap.ao",1,"","",1,"","",0,0
